"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Gender",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,School Code,School,Subject,Gender,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0280011,Colchester School District,0285111,William J. Johnston Middle School,Math,Female,284,273,263,257,206,211,36.60%,60.40%,59.30%,56.40%,56.30%,55.50%,52.10%,78.20%,75.30%,74.60%,77.10%,74.20%
0290011,Colebrook School District,0290111,Colebrook Consolidated School,ELA,Male,13,11,17,23,23,18,*,*,*,60.90%,39.10%,*,*,*,*,74.10%,63.50%,*
0290011,Colebrook School District,0290111,Colebrook Consolidated School,ELA,Female,18,19,16,12,15,14,*,*,*,*,*,*,*,*,*,*,*,*
0290011,Colebrook School District,0290111,Colebrook Consolidated School,Math,Male,13,11,17,23,23,18,*,*,*,43.50%,39.10%,*,*,*,*,54.70%,64.10%,*
0290011,Colebrook School District,0290111,Colebrook Consolidated School,Math,Female,18,19,16,12,15,14,*,*,*,*,*,*,*,*,*,*,*,*
0300011,Columbia School District,0300111,Horace W. Porter School,ELA,Male,110,100,105,105,109,122,43.60%,26.00%,41.00%,42.90%,33.90%,36.90%,65.60%,48.10%,58.10%,64.70%,58.00%,60.70%
0300011,Columbia School District,0300111,Horace W. Porter School,ELA,Female,116,112,109,96,99,108,51.70%,34.80%,54.10%,50.00%,36.40%,36.10%,69.60%,50.50%,72.30%,67.80%,61.30%,56.50%
0300011,Columbia School District,0300111,Horace W. Porter School,Math,Male,110,100,105,103,110,122,36.40%,35.00%,25.70%,33.00%,55.50%,42.60%,62.50%,59.20%,47.90%,52.70%,76.20%,62.60%
0300011,Columbia School District,0300111,Horace W. Porter School,Math,Female,115,112,108,95,99,106,39.10%,45.50%,43.50%,29.50%,57.60%,34.00%,60.20%,69.10%,65.40%,55.20%,81.50%,54.60%
2430014,Cooperative Educational Services,2439214,Developmental Learning Center (DLC),ELA,Male,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2430014,Cooperative Educational Services,2439214,Developmental Learning Center (DLC),Math,Male,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2430014,Cooperative Educational Services,2430114,Six-Six Magnet School,ELA,Male,94,103,102,103,87,89,40.40%,25.20%,34.30%,40.80%,43.70%,29.20%,66.70%,42.80%,58.40%,60.80%,72.50%,52.10%
2430014,Cooperative Educational Services,2430114,Six-Six Magnet School,ELA,Female,103,104,103,91,88,99,39.80%,33.70%,50.50%,42.90%,35.20%,31.30%,57.30%,54.40%,73.70%,67.80%,59.80%,53.90%
2430014,Cooperative Educational Services,2430114,Six-Six Magnet School,Math,Male,95,102,102,103,87,89,46.30%,43.10%,41.20%,35.90%,55.20%,34.80%,64.90%,63.30%,61.00%,56.90%,72.90%,57.70%
2430014,Cooperative Educational Services,2430114,Six-Six Magnet School,Math,Female,104,105,103,91,88,99,35.60%,28.60%,52.40%,45.10%,48.90%,39.40%,56.70%,53.40%,73.60%,66.00%,68.80%,61.30%
2430014,Cooperative Educational Services,2439414,Therapeutic Day Program,ELA,Male,62,*,48,41,37,31,21.00%,18.20%,29.20%,24.40%,24.30%,16.10%,45.80%,35.10%,44.20%,43.40%,54.20%,44.70%
2430014,Cooperative Educational Services,2439414,Therapeutic Day Program,ELA,Female,8,*,6,8,9,8,*,*,*,*,*,*,*,*,*,*,*,*
2430014,Cooperative Educational Services,2439414,Therapeutic Day Program,Math,Male,61,*,48,42,35,30,26.20%,29.50%,25.00%,35.70%,22.90%,20.00%,47.30%,41.60%,39.20%,60.20%,43.90%,39.40%
2430014,Cooperative Educational Services,2439414,Therapeutic Day Program,Math,Female,8,*,6,8,9,8,*,*,*,*,*,*,*,*,*,*,*,*
0310011,Cornwall School District,0310111,Cornwall Consolidated School,ELA,Male,29,25,27,24,32,17,37.90%,48.00%,44.40%,50.00%,59.40%,*,59.50%,65.00%,69.80%,65.50%,82.10%,*
0310011,Cornwall School District,0310111,Cornwall Consolidated School,ELA,Female,16,14,11,18,23,25,*,*,*,*,43.50%,44.00%,*,*,*,*,66.90%,68.10%
0310011,Cornwall School District,0310111,Cornwall Consolidated School,Math,Male,29,25,27,24,32,17,48.30%,52.00%,44.40%,66.70%,68.80%,*,64.90%,65.40%,58.80%,77.90%,81.20%,*
0310011,Cornwall School District,0310111,Cornwall Consolidated School,Math,Female,16,14,11,18,23,25,*,*,*,*,47.80%,48.00%,*,*,*,*,71.90%,67.70%
0320011,Coventry School District,0325111,Capt. Nathan Hale School,ELA,Male,184,175,171,164,198,182,58.70%,38.30%,40.90%,44.50%,39.40%,40.10%,78.60%,51.60%,59.10%,66.80%,58.30%,60.10%
0320011,Coventry School District,0325111,Capt. Nathan Hale School,ELA,Female,189,189,189,182,181,178,55.60%,46.00%,48.10%,53.80%,50.30%,46.10%,77.00%,63.50%,66.30%,68.40%,68.30%,61.00%
0320011,Coventry School District,0325111,Capt. Nathan Hale School,Math,Male,184,172,168,164,195,181,50.50%,47.70%,32.70%,39.60%,29.20%,43.10%,71.00%,65.60%,53.40%,57.80%,43.50%,56.70%
0320011,Coventry School District,0325111,Capt. Nathan Hale School,Math,Female,188,187,185,180,174,178,54.80%,52.40%,42.20%,37.80%,33.30%,44.40%,75.60%,73.30%,63.30%,57.00%,50.20%,57.40%
0320011,Coventry School District,0320111,Coventry Academy,ELA,Male,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0320011,Coventry School District,0320111,Coventry Academy,Math,Male,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0320011,Coventry School District,0320411,George Hersey Robertson School,ELA,Male,103,115,135,130,127,116,41.70%,51.30%,64.40%,56.90%,52.80%,53.40%,70.40%,73.40%,83.20%,74.20%,74.60%,70.50%
0320011,Coventry School District,0320411,George Hersey Robertson School,ELA,Female,130,127,118,119,115,107,57.70%,52.80%,65.30%,66.40%,43.50%,49.50%,78.20%,75.10%,84.70%,83.40%,64.70%,66.00%
0320011,Coventry School District,0320411,George Hersey Robertson School,Math,Male,103,115,135,130,127,115,55.30%,57.40%,66.70%,66.90%,59.10%,71.30%,78.00%,82.80%,88.50%,88.00%,79.70%,90.70%
0320011,Coventry School District,0320411,George Hersey Robertson School,Math,Female,130,126,118,119,115,107,47.70%,54.80%,52.50%,72.30%,46.10%,58.90%,79.50%,79.70%,76.60%,93.60%,70.80%,83.50%
0330011,Cromwell School District,0335111,Cromwell Middle School,ELA,Male,226,232,229,250,222,221,46.00%,34.50%,48.00%,53.20%,37.80%,36.70%,65.90%,52.30%,66.10%,70.30%,53.60%,54.10%
0330011,Cromwell School District,0335111,Cromwell Middle School,ELA,Female,207,233,220,218,221,242,59.90%,35.20%,54.10%,55.00%,43.00%,35.50%,77.00%,51.20%,72.90%,71.50%,63.60%,54.50%
0330011,Cromwell School District,0335111,Cromwell Middle School,Math,Male,225,231,229,250,219,219,44.90%,51.90%,56.30%,60.80%,46.10%,36.50%,66.00%,68.40%,75.30%,79.50%,63.10%,53.50%
0330011,Cromwell School District,0335111,Cromwell Middle School,Math,Female,207,229,219,218,218,239,48.80%,52.80%,62.60%,60.10%,40.40%,42.70%,67.10%,73.30%,78.80%,78.40%,60.20%,59.60%
0330011,Cromwell School District,0330311,Woodside Intermediate School,ELA,Male,165,157,149,160,142,138,35.80%,30.60%,45.00%,31.30%,43.70%,29.00%,59.60%,51.10%,70.20%,63.40%,67.50%,50.80%
0330011,Cromwell School District,0330311,Woodside Intermediate School,ELA,Female,151,131,135,138,159,139,29.10%,41.20%,53.30%,36.20%,39.60%,30.20%,59.30%,63.90%,77.80%,62.10%,62.00%,54.30%
0330011,Cromwell School District,0330311,Woodside Intermediate School,Math,Male,165,157,149,160,141,137,30.90%,45.90%,51.70%,46.30%,44.70%,36.50%,52.80%,70.10%,76.10%,73.80%,68.30%,61.20%
0330011,Cromwell School District,0330311,Woodside Intermediate School,Math,Female,151,131,135,138,159,138,19.90%,40.50%,61.50%,40.60%,39.60%,37.70%,44.20%,66.90%,84.50%,72.70%,63.20%,62.70%
0340011,Danbury School District,0345111,Broadview Middle School,ELA,Male,432,458,434,425,509,496,43.50%,27.90%,29.70%,30.40%,32.40%,22.00%,65.60%,46.80%,46.50%,48.90%,53.40%,40.50%
0340011,Danbury School District,0345111,Broadview Middle School,ELA,Female,430,457,435,461,433,448,41.20%,29.50%,35.90%,34.50%,33.90%,25.00%,61.00%,46.10%,55.90%,55.90%,53.00%,42.30%
0340011,Danbury School District,0345111,Broadview Middle School,Math,Male,429,454,432,424,505,495,38.20%,25.60%,26.60%,26.90%,27.10%,30.10%,58.20%,41.60%,43.10%,42.40%,43.30%,45.20%
0340011,Danbury School District,0345111,Broadview Middle School,Math,Female,422,451,433,457,421,448,36.00%,29.70%,26.80%,24.50%,29.50%,25.70%,54.60%,48.60%,44.00%,43.00%,45.20%,43.70%
0340011,Danbury School District,0341411,Ellsworth Avenue School,ELA,Male,58,65,83,84,62,72,58.60%,30.80%,42.20%,47.60%,59.70%,27.80%,78.80%,53.50%,78.70%,75.20%,79.40%,51.40%
0340011,Danbury School District,0341411,Ellsworth Avenue School,ELA,Female,51,60,78,82,72,67,47.10%,26.70%,46.20%,46.30%,44.40%,14.90%,67.70%,55.30%,72.60%,72.90%,73.00%,42.60%
0340011,Danbury School District,0341411,Ellsworth Avenue School,Math,Male,59,65,83,84,62,71,66.10%,63.10%,42.20%,64.30%,69.40%,42.30%,93.70%,88.80%,70.80%,84.50%,87.90%,71.60%
0340011,Danbury School District,0341411,Ellsworth Avenue School,Math,Female,52,60,78,82,72,67,67.30%,48.30%,42.30%,63.40%,62.50%,26.90%,90.10%,73.60%,71.90%,86.50%,85.70%,54.40%
0340011,Danbury School District,0341111,Great Plain School,ELA,Male,38,47,43,40,37,39,47.40%,66.00%,48.80%,75.00%,56.80%,38.50%,61.40%,80.10%,67.80%,86.70%,83.30%,60.70%
0340011,Danbury School District,0341111,Great Plain School,ELA,Female,35,45,41,46,32,38,42.90%,55.60%,63.40%,67.40%,68.80%,31.60%,66.30%,81.00%,84.10%,86.10%,87.00%,61.50%
0340011,Danbury School District,0341111,Great Plain School,Math,Male,46,47,42,40,37,39,52.20%,68.10%,69.00%,67.50%,75.70%,46.20%,78.70%,84.50%,86.10%,81.90%,92.40%,63.50%
0340011,Danbury School District,0341111,Great Plain School,Math,Female,43,45,41,46,32,38,48.80%,62.20%,58.50%,67.40%,71.90%,42.10%,74.20%,77.00%,80.30%,84.20%,93.90%,62.90%
0340011,Danbury School District,0340211,Hayestown Avenue School,ELA,Male,55,60,64,54,56,59,49.10%,25.00%,40.60%,63.00%,51.80%,37.30%,70.70%,48.00%,67.00%,83.10%,76.90%,64.90%
0340011,Danbury School District,0340211,Hayestown Avenue School,ELA,Female,56,64,62,49,66,58,57.10%,29.70%,51.60%,44.90%,48.50%,32.80%,82.70%,57.80%,75.20%,65.60%,73.90%,66.00%
0340011,Danbury School District,0340211,Hayestown Avenue School,Math,Male,56,60,64,54,56,59,69.60%,55.00%,43.80%,72.20%,58.90%,40.70%,93.00%,80.70%,78.10%,91.50%,80.00%,61.30%
0340011,Danbury School District,0340211,Hayestown Avenue School,Math,Female,57,64,62,48,66,58,45.60%,53.10%,48.40%,58.30%,59.10%,34.50%,76.90%,81.50%,78.40%,84.80%,76.50%,61.80%
0340011,Danbury School District,0341711,King Street Intermediate School,ELA,Male,169,167,167,171,168,195,36.70%,22.20%,48.50%,29.80%,35.10%,39.50%,62.90%,52.70%,71.20%,55.30%,61.90%,64.50%
0340011,Danbury School District,0341711,King Street Intermediate School,ELA,Female,171,156,169,171,167,153,43.90%,31.40%,43.80%,31.60%,44.30%,30.10%,71.20%,54.00%,71.50%,61.20%,70.40%,59.50%
0340011,Danbury School District,0341711,King Street Intermediate School,Math,Male,171,167,167,170,167,195,29.20%,35.30%,40.70%,38.80%,47.90%,42.60%,54.10%,62.70%,67.00%,64.20%,78.20%,67.70%
0340011,Danbury School District,0341711,King Street Intermediate School,Math,Female,172,156,169,169,166,153,30.20%,39.70%,32.50%,39.10%,49.40%,34.60%,58.00%,72.30%,59.80%,67.00%,78.40%,67.60%
0340011,Danbury School District,0340611,Morris Street School,ELA,Male,43,66,62,43,51,52,60.50%,22.70%,50.00%,20.90%,51.00%,28.80%,84.90%,48.40%,71.00%,50.90%,78.00%,49.30%
0340011,Danbury School District,0340611,Morris Street School,ELA,Female,53,56,67,58,65,64,49.10%,28.60%,55.20%,27.60%,46.20%,39.10%,73.80%,49.10%,81.30%,60.40%,73.80%,63.70%
0340011,Danbury School District,0340611,Morris Street School,Math,Male,44,66,62,43,51,52,65.90%,53.00%,45.20%,27.90%,60.80%,32.70%,90.90%,79.80%,71.00%,59.20%,84.50%,65.50%
0340011,Danbury School District,0340611,Morris Street School,Math,Female,53,56,67,58,65,64,64.20%,37.50%,46.30%,43.10%,61.50%,51.60%,89.70%,68.10%,70.60%,72.60%,83.30%,78.70%
0340011,Danbury School District,0340811,Park Avenue School,ELA,Male,90,97,95,106,87,84,57.80%,33.00%,41.10%,30.20%,43.70%,26.20%,85.20%,54.70%,65.60%,62.60%,68.80%,51.80%
0340011,Danbury School District,0340811,Park Avenue School,ELA,Female,71,80,96,91,90,98,53.50%,33.80%,42.70%,37.40%,42.20%,40.80%,81.40%,58.00%,69.00%,68.70%,67.30%,68.10%
0340011,Danbury School District,0340811,Park Avenue School,Math,Male,93,97,95,106,87,84,68.80%,43.30%,33.70%,54.70%,56.30%,50.00%,92.10%,73.30%,66.10%,78.50%,81.20%,72.90%
0340011,Danbury School District,0340811,Park Avenue School,Math,Female,74,80,96,91,91,98,64.90%,51.30%,46.90%,48.40%,62.60%,42.90%,83.90%,79.90%,72.40%,72.60%,83.10%,71.30%
0340011,Danbury School District,0341511,Pembroke School,ELA,Male,46,53,62,60,60,68,41.30%,37.70%,40.30%,28.30%,26.70%,36.80%,64.60%,60.50%,63.90%,61.80%,56.20%,62.70%
0340011,Danbury School District,0341511,Pembroke School,ELA,Female,59,41,39,47,38,45,37.30%,22.00%,35.90%,38.30%,34.20%,33.30%,67.80%,50.10%,61.70%,63.30%,60.70%,57.60%
0340011,Danbury School District,0341511,Pembroke School,Math,Male,47,53,62,60,60,68,38.30%,35.80%,35.50%,38.30%,51.70%,36.80%,70.90%,64.00%,59.60%,65.20%,78.30%,66.50%
0340011,Danbury School District,0341511,Pembroke School,Math,Female,59,41,39,47,38,45,35.60%,17.10%,25.60%,51.10%,65.80%,46.70%,68.90%,49.10%,55.90%,75.80%,85.00%,76.40%
0340011,Danbury School District,0345211,Rogers Park Middle School,ELA,Male,373,411,396,429,414,437,33.00%,30.90%,33.30%,26.10%,31.60%,29.30%,53.20%,48.70%,55.20%,43.50%,49.90%,48.70%
0340011,Danbury School District,0345211,Rogers Park Middle School,ELA,Female,405,416,431,431,414,409,37.30%,29.60%,36.90%,31.30%,30.00%,35.90%,58.50%,48.30%,58.00%,51.90%,52.40%,56.60%
0340011,Danbury School District,0345211,Rogers Park Middle School,Math,Male,385,410,393,426,405,435,41.30%,30.50%,27.00%,26.30%,26.70%,33.80%,58.90%,47.80%,44.00%,39.30%,41.50%,50.80%
0340011,Danbury School District,0345211,Rogers Park Middle School,Math,Female,425,415,428,429,408,407,42.80%,34.20%,33.60%,26.60%,25.00%,32.90%,62.70%,52.10%,52.40%,43.30%,40.20%,51.80%
0340011,Danbury School District,0341211,Shelter Rock School,ELA,Male,74,85,89,85,83,86,37.80%,40.00%,73.00%,42.40%,45.80%,31.40%,61.20%,65.20%,89.70%,65.30%,72.50%,61.30%
0340011,Danbury School District,0341211,Shelter Rock School,ELA,Female,77,60,56,87,69,85,41.60%,40.00%,57.10%,44.80%,56.50%,32.90%,69.10%,68.20%,79.90%,74.00%,80.10%,55.60%
0340011,Danbury School District,0341211,Shelter Rock School,Math,Male,75,85,89,85,81,86,49.30%,47.10%,78.70%,55.30%,60.50%,40.70%,73.30%,69.00%,98.00%,73.30%,87.20%,66.10%
0340011,Danbury School District,0341211,Shelter Rock School,Math,Female,76,59,56,87,67,85,52.60%,37.30%,78.60%,49.40%,56.70%,47.10%,81.00%,60.40%,95.60%,71.60%,81.10%,65.40%
0340011,Danbury School District,0341011,South Street School,ELA,Male,49,46,57,56,59,56,53.10%,32.60%,47.40%,51.80%,57.60%,48.20%,83.10%,65.20%,73.50%,78.80%,78.50%,69.40%
0340011,Danbury School District,0341011,South Street School,ELA,Female,60,61,53,62,61,64,50.00%,34.40%,35.80%,51.60%,60.70%,43.80%,74.30%,63.10%,63.60%,72.50%,84.60%,69.60%
0340011,Danbury School District,0341011,South Street School,Math,Male,49,46,57,56,59,56,49.00%,58.70%,45.60%,71.40%,64.40%,55.40%,76.90%,75.90%,77.40%,93.10%,90.50%,74.90%
0340011,Danbury School District,0341011,South Street School,Math,Female,62,61,53,62,61,64,51.60%,44.30%,30.20%,59.70%,67.20%,43.80%,79.50%,74.30%,63.80%,84.20%,92.00%,73.20%
0340011,Danbury School District,0341611,Stadley Rough School,ELA,Male,71,69,87,99,68,77,35.20%,31.90%,34.50%,43.40%,42.60%,23.40%,61.90%,61.70%,58.80%,67.80%,67.70%,48.70%
0340011,Danbury School District,0341611,Stadley Rough School,ELA,Female,82,98,70,55,76,79,31.70%,38.80%,42.90%,34.50%,47.40%,24.10%,64.00%,64.30%,66.50%,54.80%,80.40%,52.20%
0340011,Danbury School District,0341611,Stadley Rough School,Math,Male,74,69,87,99,68,77,37.80%,39.10%,33.30%,50.50%,57.40%,41.60%,65.80%,71.60%,59.00%,79.10%,77.00%,67.40%
0340011,Danbury School District,0341611,Stadley Rough School,Math,Female,83,99,70,54,76,79,33.70%,41.40%,44.30%,44.40%,51.30%,44.30%,60.80%,69.40%,68.00%,80.20%,78.60%,72.70%
0340011,Danbury School District,0341911,Western CT Academy of International Studies Elementary Magnet School,ELA,Male,54,49,44,52,51,63,50.00%,38.80%,43.20%,48.10%,52.90%,23.80%,69.60%,59.10%,66.90%,68.70%,78.50%,52.20%
0340011,Danbury School District,0341911,Western CT Academy of International Studies Elementary Magnet School,ELA,Female,67,72,79,76,44,45,49.30%,34.70%,55.70%,64.50%,52.30%,35.60%,72.00%,55.00%,77.20%,82.00%,81.60%,56.30%
0340011,Danbury School District,0341911,Western CT Academy of International Studies Elementary Magnet School,Math,Male,54,49,44,52,51,63,66.70%,53.10%,56.80%,69.20%,84.30%,33.30%,89.10%,76.00%,81.50%,89.60%,100.00%,56.70%
0340011,Danbury School District,0341911,Western CT Academy of International Studies Elementary Magnet School,Math,Female,67,72,79,76,44,45,65.70%,37.50%,60.80%,68.40%,63.60%,28.90%,88.60%,63.30%,88.30%,86.80%,84.80%,55.50%
0340011,Danbury School District,0340311,Westside Middle School Academy,ELA,Male,252,287,283,317,322,344,33.70%,36.20%,23.30%,27.10%,24.80%,46.80%,50.70%,52.10%,43.40%,46.40%,42.00%,67.20%
0340011,Danbury School District,0340311,Westside Middle School Academy,ELA,Female,225,294,293,296,338,377,37.30%,33.30%,32.10%,34.80%,34.90%,50.90%,59.00%,50.60%,50.80%,51.40%,52.30%,68.50%
0340011,Danbury School District,0340311,Westside Middle School Academy,Math,Male,250,287,283,317,318,343,34.00%,34.50%,30.40%,24.60%,38.70%,36.40%,51.40%,51.40%,44.50%,38.80%,58.30%,54.90%
0340011,Danbury School District,0340311,Westside Middle School Academy,Math,Female,225,294,294,295,332,376,34.70%,33.70%,30.30%,32.90%,35.50%,40.70%,50.30%,53.20%,44.80%,48.40%,55.60%,59.20%
0350011,Darien School District,0350211,Hindley Elementary School,ELA,Male,84,74,78,85,66,71,53.60%,51.40%,61.50%,72.90%,53.00%,62.00%,73.10%,66.00%,79.40%,87.70%,67.60%,80.80%
0350011,Darien School District,0350211,Hindley Elementary School,ELA,Female,92,90,78,75,70,64,59.80%,63.30%,62.80%,73.30%,64.30%,56.30%,81.40%,78.90%,82.00%,89.10%,77.60%,73.40%
0350011,Darien School District,0350211,Hindley Elementary School,Math,Male,84,74,78,85,66,71,69.00%,47.30%,61.50%,81.20%,63.60%,67.60%,85.60%,67.60%,82.60%,96.50%,84.50%,85.50%
0350011,Darien School District,0350211,Hindley Elementary School,Math,Female,92,89,77,75,70,64,55.40%,50.60%,63.60%,81.30%,71.40%,59.40%,78.90%,71.10%,79.00%,96.70%,88.20%,79.60%
0350011,Darien School District,0350711,Holmes Elementary School,ELA,Male,60,59,69,75,74,66,51.70%,49.20%,53.60%,61.30%,48.60%,53.00%,75.10%,62.40%,69.10%,78.90%,66.90%,73.20%
0350011,Darien School District,0350711,Holmes Elementary School,ELA,Female,74,80,81,76,78,74,68.90%,51.30%,55.60%,57.90%,59.00%,59.50%,85.00%,69.50%,75.20%,78.10%,78.00%,79.80%
0350011,Darien School District,0350711,Holmes Elementary School,Math,Male,60,59,68,75,74,66,48.30%,61.00%,60.30%,64.00%,55.40%,78.80%,79.70%,77.50%,76.80%,79.20%,80.00%,92.40%
0350011,Darien School District,0350711,Holmes Elementary School,Math,Female,74,80,81,76,78,73,59.50%,51.30%,61.70%,52.60%,44.90%,65.80%,83.70%,74.30%,78.40%,81.30%,69.50%,89.40%
0350011,Darien School District,0355111,Middlesex Middle School,ELA,Male,591,569,535,519,524,494,56.20%,45.50%,44.30%,45.70%,44.10%,41.10%,72.00%,61.40%,59.40%,61.60%,60.00%,54.10%
0350011,Darien School District,0355111,Middlesex Middle School,ELA,Female,511,499,524,522,518,505,57.90%,50.30%,58.40%,56.90%,52.70%,45.10%,72.80%,65.80%,71.60%,70.10%,66.80%,58.50%
0350011,Darien School District,0355111,Middlesex Middle School,Math,Male,592,570,535,519,523,494,74.30%,67.00%,68.20%,70.90%,60.40%,59.70%,88.50%,78.40%,80.10%,83.60%,71.50%,74.10%
0350011,Darien School District,0355111,Middlesex Middle School,Math,Female,511,498,523,521,517,504,70.60%,67.90%,67.90%,73.50%,56.30%,57.30%,86.40%,83.70%,81.30%,86.40%,71.30%,72.10%
0350011,Darien School District,0351311,Ox Ridge Elementary School,ELA,Male,81,74,74,67,60,64,56.80%,55.40%,55.40%,64.20%,55.00%,50.00%,80.80%,75.20%,74.90%,81.60%,76.40%,67.20%
0350011,Darien School District,0351311,Ox Ridge Elementary School,ELA,Female,57,67,80,63,83,88,70.20%,64.20%,62.50%,73.00%,63.90%,54.50%,84.40%,82.40%,80.10%,89.20%,77.80%,73.30%
0350011,Darien School District,0351311,Ox Ridge Elementary School,Math,Male,82,74,74,67,60,64,64.60%,55.40%,66.20%,70.10%,51.70%,62.50%,85.40%,71.80%,89.70%,92.60%,71.80%,83.80%
0350011,Darien School District,0351311,Ox Ridge Elementary School,Math,Female,57,67,80,63,83,88,52.60%,50.70%,63.80%,66.70%,53.00%,54.50%,75.30%,73.50%,85.60%,87.60%,73.30%,79.40%
0350011,Darien School District,0350511,Royle Elementary School,ELA,Male,59,60,68,64,55,49,67.80%,36.70%,48.50%,40.60%,70.90%,63.30%,86.40%,51.20%,70.10%,60.30%,89.10%,82.60%
0350011,Darien School District,0350511,Royle Elementary School,ELA,Female,65,53,43,53,50,46,66.20%,45.30%,69.80%,49.10%,56.00%,67.40%,86.00%,68.10%,84.40%,63.80%,76.30%,76.80%
0350011,Darien School District,0350511,Royle Elementary School,Math,Male,59,60,68,64,55,49,67.80%,70.00%,57.40%,56.30%,60.00%,59.20%,93.40%,81.60%,81.30%,71.00%,83.80%,82.70%
0350011,Darien School District,0350511,Royle Elementary School,Math,Female,65,53,43,53,50,45,56.90%,39.60%,60.50%,47.20%,44.00%,68.90%,81.80%,64.30%,86.70%,73.10%,68.80%,85.00%
0350011,Darien School District,0350611,Tokeneke Elementary School,ELA,Male,58,61,69,73,80,65,70.70%,44.30%,55.10%,61.60%,53.80%,63.10%,86.20%,69.90%,74.50%,82.30%,73.10%,87.40%
0350011,Darien School District,0350611,Tokeneke Elementary School,ELA,Female,75,75,83,82,58,62,66.70%,64.00%,54.20%,68.30%,65.50%,64.50%,87.90%,80.80%,74.70%,85.10%,82.20%,92.40%
0350011,Darien School District,0350611,Tokeneke Elementary School,Math,Male,58,61,69,73,80,65,75.90%,45.90%,68.10%,61.60%,77.50%,69.20%,92.40%,62.80%,88.80%,77.50%,92.40%,95.20%
0350011,Darien School District,0350611,Tokeneke Elementary School,Math,Female,75,75,83,82,58,61,58.70%,42.70%,56.60%,63.40%,63.80%,72.10%,83.90%,66.20%,83.00%,85.00%,85.40%,88.50%
0360011,Deep River School District,0360111,Deep River Elementary School,ELA,Male,69,68,61,53,48,42,42.00%,45.60%,49.20%,37.70%,39.60%,42.90%,62.60%,70.50%,65.70%,59.50%,55.00%,56.00%
0360011,Deep River School District,0360111,Deep River Elementary School,ELA,Female,76,69,66,56,38,36,55.30%,53.60%,56.10%,44.60%,36.80%,38.90%,72.70%,70.50%,74.30%,67.00%,60.10%,63.10%
0360011,Deep River School District,0360111,Deep River Elementary School,Math,Male,69,68,61,53,48,42,46.40%,61.80%,44.30%,54.70%,52.10%,28.60%,68.30%,85.10%,74.40%,77.60%,73.50%,46.90%
0360011,Deep River School District,0360111,Deep River Elementary School,Math,Female,76,69,66,56,38,36,55.30%,49.30%,50.00%,57.10%,57.90%,41.70%,77.30%,73.60%,76.50%,79.30%,78.20%,68.70%
0370011,Derby School District,0370611,Bradley School,ELA,Male,59,52,54,49,41,47,39.00%,7.70%,25.90%,42.90%,41.50%,31.90%,73.10%,27.30%,49.00%,59.20%,61.70%,56.70%
0370011,Derby School District,0370611,Bradley School,ELA,Female,61,63,51,39,29,38,41.00%,22.20%,31.40%,41.00%,44.80%,18.40%,65.10%,46.30%,59.50%,65.10%,72.90%,47.90%
0370011,Derby School District,0370611,Bradley School,Math,Male,59,52,54,49,41,47,28.80%,25.00%,63.00%,36.70%,39.00%,38.30%,63.70%,51.30%,83.20%,66.60%,66.30%,57.60%
0370011,Derby School District,0370611,Bradley School,Math,Female,62,63,51,39,29,38,24.20%,25.40%,56.90%,41.00%,34.50%,15.80%,55.80%,53.40%,88.60%,73.40%,62.20%,46.50%
0370011,Derby School District,0375011,Derby Middle School,ELA,Male,158,160,162,157,131,131,20.30%,26.30%,25.90%,21.70%,29.00%,35.90%,34.20%,42.00%,42.90%,38.20%,44.40%,57.70%
0370011,Derby School District,0375011,Derby Middle School,ELA,Female,138,139,156,157,117,136,36.20%,26.60%,35.90%,23.60%,32.50%,35.30%,53.30%,40.30%,56.50%,41.40%,49.70%,52.30%
0370011,Derby School District,0375011,Derby Middle School,Math,Male,158,160,162,157,127,131,20.90%,28.10%,17.30%,25.50%,35.40%,22.10%,36.20%,45.00%,36.30%,42.10%,48.40%,34.50%
0370011,Derby School District,0375011,Derby Middle School,Math,Female,137,139,156,157,112,134,23.40%,17.30%,27.60%,27.40%,20.50%,20.10%,44.00%,35.90%,41.30%,43.10%,39.90%,37.60%
0370011,Derby School District,0370411,Irving School,ELA,Male,49,52,52,59,36,39,30.60%,21.20%,23.10%,44.10%,25.00%,30.80%,60.30%,54.30%,54.50%,71.10%,40.20%,50.30%
0370011,Derby School District,0370411,Irving School,ELA,Female,53,53,48,49,44,44,35.80%,30.20%,27.10%,26.50%,11.40%,25.00%,63.50%,59.40%,50.70%,61.10%,37.10%,47.80%
