"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades, Gender",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Grade,Subject,Gender,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0370011,Derby School District,4,Math,Female,67,57,45,43,32,45,23.90%,22.80%,48.90%,34.90%,25.00%,11.10%,60.50%,55.70%,79.10%,75.00%,65.60%,42.20%
0370011,Derby School District,4,Math,Male,54,49,55,49,41,40,27.80%,32.70%,56.40%,55.10%,29.30%,22.50%,62.90%,66.00%,84.30%,81.90%,56.40%,43.70%
0370011,Derby School District,5,ELA,Female,47,62,54,45,40,37,38.30%,25.80%,27.80%,44.40%,35.00%,27.00%,66.00%,49.20%,57.80%,77.50%,61.90%,56.00%
0370011,Derby School District,5,ELA,Male,54,57,53,59,36,46,31.50%,10.50%,28.30%,52.50%,36.10%,37.00%,62.80%,34.70%,54.30%,77.20%,49.00%,61.60%
0370011,Derby School District,5,Math,Female,48,62,54,45,40,36,16.70%,27.40%,51.90%,62.20%,47.50%,22.20%,30.40%,48.80%,75.30%,88.50%,69.30%,42.80%
0370011,Derby School District,5,Math,Male,54,57,53,59,36,46,25.90%,22.80%,34.00%,45.80%,47.20%,32.60%,51.00%,47.70%,59.70%,69.80%,73.70%,53.20%
0370011,Derby School District,6,ELA,Female,51,44,62,52,43,41,27.50%,6.80%,22.60%,32.70%,41.90%,41.50%,39.80%,14.70%,39.70%,46.00%,62.00%,61.60%
0370011,Derby School District,6,ELA,Male,55,50,58,54,36,41,3.60%,8.00%,12.10%,9.30%,30.60%,46.30%,10.90%,17.30%,27.80%,24.20%,50.00%,73.60%
0370011,Derby School District,6,Math,Female,51,44,62,52,43,41,43.10%,15.90%,21.00%,26.90%,20.90%,26.80%,66.50%,37.70%,35.60%,43.90%,42.60%,42.70%
0370011,Derby School District,6,Math,Male,54,49,58,54,36,41,20.40%,26.50%,12.10%,16.70%,41.70%,24.40%,36.70%,47.70%,32.70%,25.90%,51.40%,37.60%
0370011,Derby School District,7,ELA,Female,46,54,40,64,37,50,34.80%,44.40%,52.50%,26.60%,27.00%,34.00%,58.80%,62.50%,67.30%,50.50%,44.20%,49.90%
0370011,Derby School District,7,ELA,Male,56,60,49,56,44,42,33.90%,43.30%,40.80%,35.70%,31.80%,35.70%,48.80%,62.60%,64.90%,54.90%,50.00%,51.00%
0370011,Derby School District,7,Math,Female,45,54,40,64,36,49,11.10%,20.40%,40.00%,25.00%,16.70%,18.40%,30.10%,38.70%,48.80%,43.20%,38.60%,35.10%
0370011,Derby School District,7,Math,Male,57,60,48,56,43,42,22.80%,35.00%,27.10%,33.90%,41.90%,16.70%,36.70%,51.90%,43.60%,56.10%,59.20%,32.70%
0370011,Derby School District,8,ELA,Female,43,43,57,43,37,45,46.50%,23.30%,36.80%,7.00%,27.00%,31.10%,63.60%,37.70%,64.30%,22.10%,40.80%,46.50%
0370011,Derby School District,8,ELA,Male,47,54,60,51,51,48,23.40%,25.90%,25.00%,17.60%,25.50%,27.10%,44.10%,43.20%,37.60%,31.80%,35.60%,50.00%
0370011,Derby School District,8,Math,Female,43,43,57,43,33,44,14.00%,14.00%,26.30%,30.20%,24.20%,15.90%,32.30%,30.90%,42.10%,40.50%,37.70%,35.80%
0370011,Derby School District,8,Math,Male,47,54,60,52,48,48,19.10%,20.40%,16.70%,23.10%,25.00%,25.00%,35.10%,33.80%,35.50%,41.00%,36.40%,33.30%
0400011,East Granby School District,4,ELA,Female,20,31,41,34,28,31,55.00%,45.20%,53.70%,61.80%,32.10%,61.30%,72.30%,67.80%,77.90%,76.60%,67.50%,87.80%
0400011,East Granby School District,4,ELA,Male,28,37,31,29,41,27,50.00%,40.50%,54.80%,51.70%,36.60%,63.00%,74.30%,64.70%,69.80%,76.20%,60.90%,83.50%
0400011,East Granby School District,4,Math,Female,20,31,41,34,28,31,60.00%,29.00%,46.30%,50.00%,42.90%,51.60%,86.00%,50.60%,66.40%,73.90%,71.50%,85.60%
0400011,East Granby School District,4,Math,Male,28,37,31,29,40,27,46.40%,32.40%,58.10%,55.20%,60.00%,63.00%,75.40%,58.30%,81.40%,74.10%,82.70%,83.80%
0400011,East Granby School District,5,ELA,Female,32,21,32,42,25,30,56.30%,57.10%,37.50%,69.00%,64.00%,56.70%,75.10%,71.30%,51.70%,87.40%,84.70%,78.10%
0400011,East Granby School District,5,ELA,Male,37,28,37,33,39,44,43.20%,64.30%,45.90%,54.50%,56.40%,52.30%,69.70%,84.30%,67.20%,71.60%,73.20%,77.10%
0400011,East Granby School District,5,Math,Female,32,21,32,41,25,30,62.50%,71.40%,65.60%,85.40%,72.00%,56.70%,84.10%,87.90%,82.20%,100.00%,91.00%,82.90%
0400011,East Granby School District,5,Math,Male,37,28,37,33,39,44,56.80%,64.30%,78.40%,66.70%,74.40%,72.70%,77.60%,92.10%,95.50%,88.50%,89.60%,92.90%
0400011,East Granby School District,6,ELA,Female,21,35,23,31,23,28,28.60%,28.60%,47.80%,29.00%,26.10%,42.90%,39.40%,48.80%,61.60%,45.50%,38.00%,63.60%
0400011,East Granby School District,6,ELA,Male,39,35,26,37,29,38,33.30%,22.90%,26.90%,45.90%,34.50%,21.10%,50.10%,37.20%,36.90%,63.30%,55.80%,33.40%
0400011,East Granby School District,6,Math,Female,21,36,23,31,23,28,52.40%,27.80%,30.40%,32.30%,34.80%,35.70%,64.40%,40.90%,43.40%,48.50%,41.40%,58.10%
0400011,East Granby School District,6,Math,Male,39,35,26,37,29,38,35.90%,22.90%,30.80%,35.10%,27.60%,18.40%,51.10%,33.00%,41.00%,46.90%,42.60%,36.00%
0400011,East Granby School District,7,ELA,Female,41,20,34,25,32,22,24.40%,80.00%,50.00%,40.00%,56.30%,63.60%,48.20%,88.30%,67.70%,60.30%,75.90%,77.60%
0400011,East Granby School District,7,ELA,Male,32,43,34,28,31,31,37.50%,53.50%,55.90%,71.40%,41.90%,29.00%,46.10%,73.00%,68.80%,88.40%,69.70%,42.80%
0400011,East Granby School District,7,Math,Female,41,20,34,25,32,22,46.30%,60.00%,61.80%,68.00%,68.80%,59.10%,68.50%,82.40%,78.90%,81.10%,85.80%,73.00%
0400011,East Granby School District,7,Math,Male,32,40,33,28,31,31,56.30%,55.00%,63.60%,57.10%,83.90%,54.80%,71.60%,71.60%,72.40%,74.90%,95.00%,81.80%
0400011,East Granby School District,8,ELA,Female,38,43,22,33,36,32,47.40%,58.10%,45.50%,60.60%,50.00%,34.40%,64.60%,80.90%,57.00%,72.80%,73.60%,52.80%
0400011,East Granby School District,8,ELA,Male,22,32,41,35,33,32,36.40%,65.60%,29.30%,60.00%,60.60%,34.40%,61.70%,78.20%,48.50%,74.20%,77.60%,54.60%
0400011,East Granby School District,8,Math,Female,38,42,22,33,35,31,63.20%,40.50%,40.90%,42.40%,28.60%,29.00%,84.00%,60.20%,54.80%,59.30%,40.50%,44.40%
0400011,East Granby School District,8,Math,Male,22,31,38,34,33,32,18.20%,51.60%,18.40%,47.10%,18.20%,15.60%,39.50%,69.80%,34.10%,59.40%,30.20%,23.00%
0410011,East Haddam School District,4,ELA,Female,34,34,35,31,37,31,44.10%,41.20%,54.30%,64.50%,70.30%,51.60%,62.80%,70.50%,83.70%,86.20%,93.50%,68.50%
0410011,East Haddam School District,4,ELA,Male,33,31,38,35,34,38,27.30%,45.20%,47.40%,54.30%,67.60%,55.30%,46.70%,65.20%,64.70%,81.40%,89.40%,78.90%
0410011,East Haddam School District,4,Math,Female,34,34,35,31,37,31,11.80%,29.40%,45.70%,58.10%,62.20%,29.00%,35.60%,61.90%,69.20%,76.40%,90.40%,61.30%
0410011,East Haddam School District,4,Math,Male,33,31,38,34,34,38,21.20%,38.70%,36.80%,52.90%,55.90%,44.70%,48.30%,76.50%,60.30%,77.70%,84.60%,73.00%
0410011,East Haddam School District,5,ELA,Female,34,34,34,35,34,40,61.80%,44.10%,41.20%,37.10%,35.30%,30.00%,73.90%,76.10%,59.80%,60.70%,45.50%,48.10%
0410011,East Haddam School District,5,ELA,Male,33,35,31,38,26,35,57.60%,40.00%,25.80%,34.20%,30.80%,28.60%,71.70%,67.60%,47.20%,57.10%,44.90%,44.90%
0410011,East Haddam School District,5,Math,Female,34,34,34,34,34,40,47.10%,61.80%,32.40%,41.20%,32.40%,20.00%,69.10%,73.80%,49.70%,67.90%,51.40%,35.30%
0410011,East Haddam School District,5,Math,Male,33,35,31,38,26,35,57.60%,48.60%,16.10%,39.50%,30.80%,25.70%,77.90%,69.80%,31.20%,58.10%,53.70%,38.70%
0410011,East Haddam School District,6,ELA,Female,32,30,31,35,37,36,53.10%,46.70%,45.20%,57.10%,37.80%,50.00%,72.70%,61.60%,58.30%,71.60%,50.60%,67.40%
0410011,East Haddam School District,6,ELA,Male,43,38,36,34,40,25,53.50%,36.80%,47.20%,44.10%,35.00%,56.00%,68.60%,53.70%,65.20%,60.30%,53.40%,73.20%
0410011,East Haddam School District,6,Math,Female,32,30,31,35,37,36,34.40%,33.30%,22.60%,48.60%,18.90%,38.90%,59.60%,54.30%,46.10%,61.90%,44.00%,68.80%
0410011,East Haddam School District,6,Math,Male,43,37,36,34,40,24,25.60%,35.10%,33.30%,47.10%,10.00%,25.00%,51.90%,52.90%,55.90%,64.30%,22.20%,41.60%
0410011,East Haddam School District,7,ELA,Female,39,32,28,35,28,45,66.70%,37.50%,32.10%,42.90%,35.70%,35.60%,79.30%,56.60%,55.20%,62.30%,51.90%,51.30%
0410011,East Haddam School District,7,ELA,Male,52,45,36,37,36,42,34.60%,37.80%,36.10%,32.40%,30.60%,31.00%,53.00%,58.40%,52.00%,58.00%,44.90%,43.50%
0410011,East Haddam School District,7,Math,Female,39,32,28,33,28,45,51.30%,46.90%,39.30%,48.50%,39.30%,31.10%,72.20%,68.40%,71.30%,63.30%,55.30%,63.90%
0410011,East Haddam School District,7,Math,Male,52,45,36,36,34,42,46.20%,60.00%,44.40%,41.70%,29.40%,59.50%,62.50%,75.20%,63.80%,63.70%,59.30%,81.80%
0410011,East Haddam School District,8,ELA,Female,42,39,33,30,31,33,54.80%,46.20%,30.30%,50.00%,19.40%,30.30%,69.80%,63.50%,41.10%,64.40%,29.40%,40.90%
0410011,East Haddam School District,8,ELA,Male,52,53,44,40,38,38,36.50%,50.90%,43.20%,45.00%,21.10%,26.30%,52.50%,61.80%,52.50%,64.40%,35.20%,36.10%
0410011,East Haddam School District,8,Math,Female,41,39,33,30,31,33,9.80%,48.70%,33.30%,46.70%,35.50%,48.50%,25.50%,74.50%,53.60%,68.00%,56.50%,69.30%
0410011,East Haddam School District,8,Math,Male,51,53,44,40,34,37,21.60%,45.30%,27.30%,47.50%,35.30%,37.80%,30.90%,63.40%,42.90%,65.50%,52.80%,49.30%
0420011,East Hampton School District,4,ELA,Female,72,83,78,73,60,59,27.80%,27.70%,42.30%,34.20%,33.30%,37.30%,54.00%,50.70%,61.00%,58.70%,56.10%,64.60%
0420011,East Hampton School District,4,ELA,Male,74,76,68,54,72,58,39.20%,32.90%,33.80%,29.60%,40.30%,55.20%,66.00%,59.30%,56.60%,57.70%,70.30%,77.40%
0420011,East Hampton School District,4,Math,Female,71,83,78,73,59,58,47.90%,37.30%,47.40%,37.00%,40.70%,36.20%,76.70%,72.70%,79.20%,71.70%,65.00%,69.30%
0420011,East Hampton School District,4,Math,Male,73,76,68,53,72,58,57.50%,47.40%,39.70%,50.90%,51.40%,48.30%,83.20%,82.50%,69.20%,80.90%,79.30%,77.00%
0420011,East Hampton School District,5,ELA,Female,55,75,85,75,70,59,47.30%,56.00%,52.90%,50.70%,41.40%,54.20%,65.90%,79.40%,71.00%,72.10%,67.30%,75.00%
0420011,East Hampton School District,5,ELA,Male,65,77,76,65,71,77,27.70%,53.20%,40.80%,44.60%,39.40%,44.20%,46.40%,75.80%,76.50%,62.10%,61.90%,68.10%
0420011,East Hampton School District,5,Math,Female,55,75,85,75,70,58,45.50%,42.70%,43.50%,45.30%,41.40%,44.80%,75.10%,68.80%,62.30%,66.10%,63.50%,69.40%
0420011,East Hampton School District,5,Math,Male,64,77,76,65,71,77,42.20%,40.30%,34.20%,36.90%,36.60%,40.30%,65.90%,66.30%,55.70%,59.10%,63.20%,61.40%
0420011,East Hampton School District,6,ELA,Female,63,55,76,82,76,68,22.20%,34.50%,27.60%,34.10%,35.50%,32.40%,36.60%,51.50%,42.10%,47.40%,50.40%,57.00%
0420011,East Hampton School District,6,ELA,Male,78,64,75,73,67,70,34.60%,40.60%,33.30%,21.90%,19.40%,40.00%,47.40%,64.80%,50.50%,40.00%,40.90%,56.90%
0420011,East Hampton School District,6,Math,Female,63,55,76,82,76,67,17.50%,36.40%,35.50%,36.60%,36.80%,19.40%,40.30%,60.20%,59.70%,57.00%,59.80%,39.00%
0420011,East Hampton School District,6,Math,Male,78,64,75,73,66,70,20.50%,39.10%,36.00%,23.30%,34.80%,17.10%,37.20%,60.50%,55.60%,44.10%,50.00%,38.60%
0420011,East Hampton School District,7,ELA,Female,54,62,57,74,66,76,37.00%,37.10%,40.40%,47.30%,36.40%,34.20%,55.50%,57.20%,59.00%,70.20%,56.00%,53.20%
0420011,East Hampton School District,7,ELA,Male,62,77,70,76,54,67,30.60%,33.80%,11.40%,26.30%,38.90%,40.30%,46.50%,55.20%,30.10%,53.00%,51.50%,56.30%
0420011,East Hampton School District,7,Math,Female,54,62,57,74,66,76,16.70%,37.10%,24.60%,58.10%,45.50%,31.60%,31.00%,51.80%,38.90%,77.80%,70.20%,53.10%
0420011,East Hampton School District,7,Math,Male,61,77,70,76,54,67,37.70%,35.10%,27.10%,52.60%,50.00%,32.80%,51.30%,57.50%,41.30%,74.60%,67.80%,52.70%
0420011,East Hampton School District,8,ELA,Female,54,53,63,59,71,69,53.70%,34.00%,49.20%,45.80%,31.00%,46.40%,71.90%,52.10%,68.70%,62.50%,46.10%,62.90%
0420011,East Hampton School District,8,ELA,Male,71,65,75,72,53,56,29.60%,41.50%,21.30%,33.30%,41.50%,46.40%,46.90%,56.00%,44.80%,50.60%,56.00%,62.80%
0420011,East Hampton School District,8,Math,Female,54,53,63,59,70,67,33.30%,50.90%,49.20%,49.20%,30.00%,17.90%,49.60%,68.20%,65.40%,72.00%,45.70%,33.80%
0420011,East Hampton School District,8,Math,Male,71,65,75,72,54,56,25.40%,29.20%,29.30%,45.80%,29.60%,28.60%,38.20%,45.60%,48.20%,61.00%,45.90%,38.80%
0430011,East Hartford School District,4,ELA,Female,230,243,243,223,186,183,38.30%,40.70%,39.90%,37.20%,36.60%,35.00%,67.30%,67.00%,65.50%,65.70%,63.30%,59.60%
0430011,East Hartford School District,4,ELA,Male,239,233,273,225,223,223,39.70%,33.00%,30.40%,42.70%,35.90%,38.10%,66.10%,56.30%,58.80%,65.30%,63.90%,65.00%
0430011,East Hartford School District,4,Math,Female,228,239,237,222,184,183,38.20%,20.90%,25.70%,32.90%,54.90%,45.40%,70.20%,56.10%,56.90%,64.30%,80.20%,75.80%
0430011,East Hartford School District,4,Math,Male,241,233,268,225,218,223,27.40%,26.20%,32.80%,37.30%,55.00%,49.30%,62.70%,59.20%,64.10%,68.10%,81.00%,77.50%
0430011,East Hartford School District,5,ELA,Female,234,232,257,238,221,194,44.90%,34.50%,35.00%,44.10%,38.00%,39.20%,70.20%,57.30%,64.40%,70.20%,64.70%,63.20%
0430011,East Hartford School District,5,ELA,Male,243,251,250,262,181,229,35.80%,22.30%,34.40%,43.90%,34.80%,29.70%,59.20%,47.80%,62.90%,69.50%,56.70%,54.40%
0430011,East Hartford School District,5,Math,Female,235,230,252,236,217,195,21.30%,29.60%,30.20%,40.70%,53.00%,48.20%,40.90%,49.50%,55.60%,61.80%,75.50%,74.90%
0430011,East Hartford School District,5,Math,Male,242,243,247,259,178,229,14.50%,23.00%,24.70%,40.50%,51.10%,46.70%,34.30%,46.10%,44.60%,59.80%,72.20%,68.20%
0430011,East Hartford School District,6,ELA,Female,183,217,217,221,169,190,40.40%,30.00%,32.70%,25.30%,48.50%,50.50%,60.70%,53.40%,54.20%,49.30%,73.00%,69.60%
0430011,East Hartford School District,6,ELA,Male,199,203,231,231,176,178,36.70%,27.60%,29.90%,24.20%,46.00%,41.00%,61.40%,48.50%,49.10%,45.60%,65.20%,65.70%
0430011,East Hartford School District,6,Math,Female,182,208,213,217,164,190,32.40%,28.40%,34.70%,35.00%,53.00%,44.70%,53.20%,46.20%,53.80%,55.50%,68.50%,68.30%
0430011,East Hartford School District,6,Math,Male,201,191,227,228,170,176,24.90%,26.20%,31.30%,31.10%,47.60%,42.60%,43.40%,44.70%,47.10%,51.00%,65.90%,62.90%
0430011,East Hartford School District,7,ELA,Female,193,178,213,208,170,174,28.50%,28.10%,40.40%,39.40%,57.10%,39.70%,52.70%,44.30%,59.20%,59.10%,76.80%,62.00%
0430011,East Hartford School District,7,ELA,Male,236,202,208,228,182,179,25.40%,24.30%,34.10%,31.60%,42.90%,39.70%,45.30%,46.10%,57.30%,52.80%,65.60%,61.90%
0430011,East Hartford School District,7,Math,Female,191,169,205,206,161,171,24.60%,39.60%,55.60%,30.10%,49.70%,39.20%,42.60%,61.50%,74.90%,49.90%,68.40%,58.10%
0430011,East Hartford School District,7,Math,Male,237,184,195,225,178,171,27.00%,46.70%,50.30%,31.60%,47.80%,40.90%,42.40%,69.70%,69.80%,47.90%,62.70%,60.20%
0430011,East Hartford School District,8,ELA,Female,224,182,190,207,195,185,37.90%,30.20%,53.70%,36.70%,42.60%,27.00%,57.40%,51.40%,73.90%,54.60%,63.20%,44.80%
0430011,East Hartford School District,8,ELA,Male,211,238,223,205,231,192,31.80%,24.80%,44.40%,31.20%,34.60%,23.40%,53.40%,45.40%,63.00%,49.40%,54.20%,41.80%
0430011,East Hartford School District,8,Math,Female,225,180,178,207,193,182,28.40%,26.70%,53.90%,31.90%,37.30%,31.90%,45.20%,45.20%,70.40%,46.90%,53.30%,49.30%
0430011,East Hartford School District,8,Math,Male,213,238,205,202,224,187,30.50%,26.10%,35.10%,24.30%,40.60%,23.00%,45.40%,40.80%,52.30%,36.30%,56.40%,41.20%
0440011,East Haven School District,4,ELA,Female,113,90,90,88,80,103,46.00%,37.80%,37.80%,33.00%,42.50%,37.90%,71.30%,62.20%,60.40%,56.70%,72.10%,68.80%
0440011,East Haven School District,4,ELA,Male,92,96,86,101,63,93,34.80%,40.60%,43.00%,35.60%,34.90%,45.20%,66.10%,63.80%,65.70%,64.40%,61.60%,71.90%
0440011,East Haven School District,4,Math,Female,114,90,89,88,80,103,38.60%,34.40%,37.10%,23.90%,38.80%,44.70%,71.60%,64.80%,68.70%,55.50%,71.70%,77.50%
0440011,East Haven School District,4,Math,Male,92,96,85,101,63,93,41.30%,30.20%,37.60%,21.80%,44.40%,41.90%,72.90%,65.20%,67.40%,59.70%,70.00%,73.60%
0440011,East Haven School District,5,ELA,Female,102,109,91,97,81,88,29.40%,21.10%,46.20%,34.00%,46.90%,39.80%,63.40%,51.00%,73.80%,60.90%,68.60%,61.60%
0440011,East Haven School District,5,ELA,Male,90,88,95,100,94,69,30.00%,20.50%,40.00%,32.00%,45.70%,34.80%,55.90%,51.30%,66.70%,56.40%,68.50%,59.70%
0440011,East Haven School District,5,Math,Female,102,109,91,95,81,88,38.20%,26.60%,30.80%,32.60%,43.20%,38.60%,65.90%,53.80%,56.10%,54.00%,63.50%,59.40%
0440011,East Haven School District,5,Math,Male,90,88,95,99,93,69,40.00%,23.90%,30.50%,27.30%,48.40%,49.30%,67.00%,45.70%,49.60%,49.30%,68.90%,67.90%
0440011,East Haven School District,6,ELA,Female,109,102,103,90,97,85,49.50%,40.20%,37.90%,36.70%,25.80%,21.20%,68.60%,57.30%,59.30%,51.50%,51.20%,40.40%
0440011,East Haven School District,6,ELA,Male,95,92,90,94,92,99,43.20%,33.70%,31.10%,39.40%,33.70%,25.30%,63.80%,50.10%,50.80%,59.70%,52.20%,44.50%
0440011,East Haven School District,6,Math,Female,111,103,103,90,94,86,48.60%,41.70%,36.90%,40.00%,36.20%,31.40%,74.00%,64.50%,61.30%,59.40%,59.20%,52.00%
0440011,East Haven School District,6,Math,Male,96,91,89,94,90,97,36.50%,24.20%,36.00%,50.00%,45.60%,33.00%,58.60%,45.60%,52.50%,64.80%,66.10%,53.60%
0440011,East Haven School District,7,ELA,Female,108,111,98,107,85,106,57.40%,18.00%,37.80%,47.70%,42.40%,34.00%,78.90%,34.50%,50.70%,71.30%,59.90%,51.60%
0440011,East Haven School District,7,ELA,Male,122,92,97,90,108,88,41.00%,21.70%,28.90%,32.20%,29.60%,28.40%,67.70%,36.50%,43.80%,55.50%,46.40%,47.60%
0440011,East Haven School District,7,Math,Female,105,112,99,107,82,105,24.80%,17.90%,15.20%,31.80%,39.00%,32.40%,41.10%,30.90%,25.10%,51.40%,57.50%,48.00%
0440011,East Haven School District,7,Math,Male,121,92,97,90,108,87,30.60%,38.00%,16.50%,33.30%,35.20%,36.80%,48.40%,54.20%,34.40%,50.30%,52.10%,55.70%
0440011,East Haven School District,8,ELA,Female,102,114,104,103,87,93,52.90%,24.60%,24.00%,38.80%,41.40%,37.60%,78.40%,39.50%,39.30%,55.20%,63.30%,52.70%
0440011,East Haven School District,8,ELA,Male,126,123,93,92,103,114,38.10%,24.40%,20.40%,28.30%,31.10%,26.30%,60.20%,35.90%,38.00%,47.60%,43.70%,41.30%
0440011,East Haven School District,8,Math,Female,103,111,105,103,87,93,42.70%,32.40%,31.40%,38.80%,26.40%,21.50%,58.70%,45.90%,48.80%,56.50%,35.60%,39.60%
0440011,East Haven School District,8,Math,Male,125,122,93,90,101,112,36.80%,32.00%,31.20%,22.20%,21.80%,21.40%,55.20%,44.10%,49.00%,44.60%,38.40%,35.50%
0450011,East Lyme School District,4,ELA,Female,83,70,92,87,72,68,54.20%,41.40%,67.40%,62.10%,50.00%,55.90%,77.70%,65.60%,86.00%,83.60%,76.10%,77.00%
0450011,East Lyme School District,4,ELA,Male,97,91,98,72,72,86,56.70%,44.00%,53.10%,48.60%,58.30%,50.00%,80.60%,72.50%,76.50%,67.20%,80.70%,73.20%
0450011,East Lyme School District,4,Math,Female,83,70,92,87,72,67,55.40%,45.70%,63.00%,62.10%,75.00%,62.70%,84.00%,74.80%,88.50%,84.60%,96.40%,88.30%
0450011,East Lyme School District,4,Math,Male,97,91,98,72,72,85,56.70%,50.50%,68.40%,56.90%,79.20%,71.80%,83.60%,80.10%,91.90%,83.20%,95.90%,93.40%
0450011,East Lyme School District,5,ELA,Female,100,89,70,94,82,77,44.00%,24.70%,38.60%,36.20%,54.90%,29.90%,60.90%,43.80%,61.90%,50.00%,73.70%,53.70%
0450011,East Lyme School District,5,ELA,Male,88,94,88,99,77,74,50.00%,28.70%,31.80%,26.30%,23.40%,25.70%,66.20%,44.70%,54.50%,46.30%,38.70%,40.10%
0450011,East Lyme School District,5,Math,Female,100,89,70,94,81,77,34.00%,31.50%,15.70%,18.10%,24.70%,22.10%,54.20%,50.90%,25.30%,31.40%,38.30%,33.70%
0450011,East Lyme School District,5,Math,Male,87,94,88,99,77,73,39.10%,29.80%,23.90%,34.30%,28.60%,26.00%,59.30%,45.70%,34.70%,45.30%,40.20%,38.30%
0450011,East Lyme School District,6,ELA,Female,86,101,91,73,74,87,46.50%,36.60%,49.50%,37.00%,41.90%,46.00%,65.40%,54.80%,66.10%,55.50%,60.40%,60.80%
0450011,East Lyme School District,6,ELA,Male,107,100,99,83,81,89,42.10%,36.00%,47.50%,48.20%,32.10%,49.40%,61.20%,50.70%,62.80%,62.80%,48.90%,69.10%
0450011,East Lyme School District,6,Math,Female,86,101,91,73,74,86,64.00%,53.50%,42.90%,56.20%,44.60%,48.80%,88.80%,72.90%,63.80%,75.40%,67.90%,70.70%
0450011,East Lyme School District,6,Math,Male,106,100,99,83,81,89,61.30%,47.00%,45.50%,49.40%,35.80%,41.60%,83.90%,67.00%,64.90%,71.70%,58.40%,61.70%
0450011,East Lyme School District,7,ELA,Female,91,91,97,91,80,78,52.70%,45.10%,47.40%,50.50%,40.00%,39.70%,66.30%,62.70%,63.70%,68.40%,61.20%,59.00%
0450011,East Lyme School District,7,ELA,Male,121,108,103,103,83,87,45.50%,46.30%,55.30%,40.80%,39.80%,44.80%,59.30%,62.90%,70.60%,62.20%,60.30%,66.50%
0450011,East Lyme School District,7,Math,Female,91,91,97,91,80,78,54.90%,38.50%,46.40%,39.60%,46.30%,50.00%,69.10%,53.00%,61.90%,61.60%,68.60%,68.00%
0450011,East Lyme School District,7,Math,Male,121,107,103,103,83,86,58.70%,35.50%,50.50%,54.40%,66.30%,54.70%,75.90%,54.40%,71.80%,74.20%,80.80%,70.80%
0450011,East Lyme School District,8,ELA,Female,101,89,95,95,102,84,47.50%,37.10%,45.30%,54.70%,42.20%,48.80%,63.50%,50.50%,63.60%,73.10%,58.70%,63.50%
0450011,East Lyme School District,8,ELA,Male,87,122,109,100,103,85,32.20%,42.60%,37.60%,50.00%,37.90%,36.50%,50.90%,56.70%,53.60%,65.40%,52.60%,52.30%
0450011,East Lyme School District,8,Math,Female,100,89,95,95,102,84,47.00%,47.20%,37.90%,41.10%,41.20%,41.70%,62.20%,63.10%,54.20%,55.90%,56.20%,52.00%
0450011,East Lyme School District,8,Math,Male,86,122,109,100,103,85,29.10%,50.80%,30.30%,47.00%,36.90%,36.50%,44.30%,61.40%,39.40%,57.90%,54.10%,49.70%
0470011,East Windsor School District,4,ELA,Female,36,41,34,33,28,32,30.60%,22.00%,38.20%,30.30%,57.10%,43.80%,60.20%,58.90%,70.70%,53.40%,87.60%,68.20%
0470011,East Windsor School District,4,ELA,Male,32,34,41,33,35,35,40.60%,20.60%,34.10%,30.30%,51.40%,48.60%,65.00%,42.90%,66.30%,68.70%,74.70%,72.80%
0470011,East Windsor School District,4,Math,Female,37,41,34,33,27,32,37.80%,19.50%,50.00%,24.20%,63.00%,46.90%,72.80%,58.50%,84.00%,67.20%,88.90%,81.40%
0470011,East Windsor School District,4,Math,Male,32,34,41,34,34,34,40.60%,29.40%,63.40%,38.20%,67.60%,38.20%,76.70%,59.30%,87.50%,74.70%,99.70%,70.50%
0470011,East Windsor School District,5,ELA,Female,34,35,41,36,39,37,29.40%,20.00%,26.80%,30.60%,48.70%,51.40%,53.80%,46.50%,55.70%,54.70%,71.50%,72.20%
0470011,East Windsor School District,5,ELA,Male,40,34,38,39,35,37,25.00%,23.50%,15.80%,23.10%,42.90%,32.40%,54.80%,43.00%,38.70%,49.70%,72.10%,60.40%
0470011,East Windsor School District,5,Math,Female,34,35,41,36,38,37,2.90%,14.30%,29.30%,25.00%,65.80%,45.90%,27.40%,42.40%,50.20%,40.20%,78.90%,70.40%
0470011,East Windsor School District,5,Math,Male,40,34,38,39,35,37,20.00%,20.60%,21.10%,25.60%,88.60%,29.70%,36.60%,37.20%,43.80%,49.20%,100.00%,54.10%
0470011,East Windsor School District,6,ELA,Female,29,37,30,41,29,40,31.00%,37.80%,30.00%,41.50%,37.90%,20.00%,54.40%,59.40%,53.70%,57.90%,61.90%,47.20%
0470011,East Windsor School District,6,ELA,Male,44,36,31,37,35,37,40.90%,50.00%,45.20%,37.80%,40.00%,29.70%,62.20%,68.70%,67.40%,62.00%,55.30%,45.50%
