"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades, Gender",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Grade,Subject,Gender,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2880013,Achievement First Hartford Academy District,5,ELA,Female,74,66,52,48,42,47,35.10%,30.30%,51.90%,25.00%,35.70%,27.70%,61.40%,52.90%,67.40%,43.30%,69.10%,53.40%
2880013,Achievement First Hartford Academy District,5,ELA,Male,57,57,59,48,36,34,40.40%,24.60%,27.10%,35.40%,25.00%,26.50%,62.00%,44.20%,50.70%,49.10%,47.80%,54.30%
2880013,Achievement First Hartford Academy District,5,Math,Female,73,66,52,48,36,47,34.20%,33.30%,44.20%,41.70%,38.90%,6.40%,54.00%,50.80%,64.40%,58.70%,64.00%,20.10%
2880013,Achievement First Hartford Academy District,5,Math,Male,57,55,58,48,33,34,35.10%,21.80%,55.20%,16.70%,36.40%,11.80%,49.10%,34.90%,70.90%,31.50%,63.80%,18.00%
2880013,Achievement First Hartford Academy District,6,ELA,Female,61,67,59,46,44,32,52.50%,65.70%,61.00%,54.30%,59.10%,37.50%,78.30%,81.10%,78.90%,72.80%,80.10%,55.40%
2880013,Achievement First Hartford Academy District,6,ELA,Male,70,45,51,58,43,31,45.70%,46.70%,58.80%,44.80%,48.80%,29.00%,70.30%,70.00%,74.40%,61.10%,74.00%,47.50%
2880013,Achievement First Hartford Academy District,6,Math,Female,60,67,59,46,40,31,55.00%,59.70%,54.20%,41.30%,67.50%,6.50%,77.50%,79.60%,75.00%,66.80%,85.20%,21.50%
2880013,Achievement First Hartford Academy District,6,Math,Male,70,43,51,58,38,30,52.90%,58.10%,52.90%,34.50%,65.80%,13.30%,75.00%,76.50%,72.10%,57.30%,84.20%,29.90%
2880013,Achievement First Hartford Academy District,7,ELA,Female,32,60,65,58,41,45,56.30%,38.30%,44.60%,44.80%,63.40%,31.10%,70.00%,55.60%,71.10%,67.10%,82.00%,52.30%
2880013,Achievement First Hartford Academy District,7,ELA,Male,23,63,51,41,44,43,34.80%,36.50%,47.10%,36.60%,59.10%,30.20%,64.60%,50.20%,69.10%,59.40%,80.20%,55.90%
2880013,Achievement First Hartford Academy District,7,Math,Female,32,60,65,57,35,45,18.80%,41.70%,63.10%,52.60%,51.40%,26.70%,44.80%,64.00%,79.80%,75.20%,78.00%,44.80%
2880013,Achievement First Hartford Academy District,7,Math,Male,23,63,51,41,41,41,34.80%,36.50%,64.70%,51.20%,58.50%,19.50%,48.10%,55.20%,81.40%,71.20%,76.50%,37.80%
2880013,Achievement First Hartford Academy District,8,ELA,Female,29,31,62,62,44,39,62.10%,58.10%,61.30%,48.40%,45.50%,33.30%,79.70%,72.30%,79.80%,65.40%,70.60%,47.80%
2880013,Achievement First Hartford Academy District,8,ELA,Male,32,19,56,44,45,44,56.30%,*,64.30%,34.10%,53.30%,40.90%,74.70%,*,83.30%,56.50%,71.60%,58.70%
2880013,Achievement First Hartford Academy District,8,Math,Female,29,31,62,62,42,36,48.30%,67.70%,67.70%,46.80%,42.90%,8.30%,66.90%,81.50%,87.50%,65.90%,63.50%,20.20%
2880013,Achievement First Hartford Academy District,8,Math,Male,33,19,55,44,44,41,57.60%,*,58.20%,45.50%,50.00%,9.80%,68.20%,*,75.70%,60.40%,73.00%,15.40%
2790013,Amistad Academy District,4,ELA,Female,39,44,46,43,45,52,56.40%,31.80%,65.20%,41.90%,57.80%,30.80%,77.90%,47.10%,91.60%,71.40%,80.70%,60.00%
2790013,Amistad Academy District,4,ELA,Male,46,40,39,40,46,40,47.80%,45.00%,64.10%,55.00%,45.70%,47.50%,73.50%,60.20%,86.50%,80.60%,69.40%,75.90%
2790013,Amistad Academy District,4,Math,Female,39,44,46,43,44,51,69.20%,34.10%,56.50%,48.80%,38.60%,33.30%,92.20%,57.00%,82.90%,69.60%,72.40%,67.80%
2790013,Amistad Academy District,4,Math,Male,45,39,39,40,42,40,51.10%,23.10%,59.00%,52.50%,40.50%,47.50%,83.30%,42.30%,86.00%,78.70%,66.90%,76.10%
2790013,Amistad Academy District,5,ELA,Female,44,44,47,40,51,48,56.80%,40.90%,36.20%,37.50%,51.00%,25.00%,79.10%,58.30%,57.50%,62.80%,82.80%,46.80%
2790013,Amistad Academy District,5,ELA,Male,41,47,43,39,39,46,34.10%,29.80%,20.90%,28.20%,46.20%,17.40%,59.80%,43.70%,42.40%,46.50%,74.10%,42.40%
2790013,Amistad Academy District,5,Math,Female,44,44,47,40,50,45,38.60%,27.30%,14.90%,45.00%,50.00%,15.60%,61.00%,44.40%,46.10%,61.90%,69.10%,36.30%
2790013,Amistad Academy District,5,Math,Male,41,47,43,39,38,44,34.10%,29.80%,34.90%,35.90%,55.30%,20.50%,59.30%,47.10%,51.30%,56.20%,66.90%,33.10%
2790013,Amistad Academy District,6,ELA,Female,38,47,45,45,52,48,47.40%,31.90%,33.30%,51.10%,44.20%,25.00%,70.10%,51.00%,57.60%,66.70%,67.80%,50.80%
2790013,Amistad Academy District,6,ELA,Male,44,38,43,35,32,42,45.50%,31.60%,41.90%,25.70%,56.30%,31.00%,67.00%,49.70%,60.90%,50.70%,76.20%,49.70%
2790013,Amistad Academy District,6,Math,Female,38,47,45,45,49,49,81.60%,72.30%,68.90%,62.20%,34.70%,26.50%,96.90%,90.20%,84.10%,85.00%,60.20%,45.40%
2790013,Amistad Academy District,6,Math,Male,44,38,43,36,29,43,68.20%,57.90%,65.10%,27.80%,44.80%,32.60%,84.40%,75.00%,83.90%,58.40%,62.80%,59.40%
2790013,Amistad Academy District,7,ELA,Female,44,42,48,48,45,54,38.60%,35.70%,33.30%,47.90%,64.40%,50.00%,59.90%,53.60%,54.90%,65.50%,84.30%,77.90%
2790013,Amistad Academy District,7,ELA,Male,41,43,39,37,36,29,22.00%,39.50%,25.60%,43.20%,63.90%,65.50%,46.10%,52.90%,40.60%,63.10%,83.50%,86.60%
2790013,Amistad Academy District,7,Math,Female,44,42,48,48,44,53,31.80%,45.20%,39.60%,50.00%,70.50%,58.50%,54.20%,52.60%,54.40%,65.40%,87.50%,80.40%
2790013,Amistad Academy District,7,Math,Male,41,43,38,37,35,29,46.30%,39.50%,34.20%,45.90%,77.10%,69.00%,67.10%,51.70%,47.30%,57.40%,93.40%,91.20%
2790013,Amistad Academy District,8,ELA,Female,37,44,39,46,48,45,45.90%,40.90%,48.70%,50.00%,56.30%,33.30%,69.90%,51.70%,64.80%,70.40%,74.10%,54.10%
2790013,Amistad Academy District,8,ELA,Male,39,39,38,37,37,38,46.20%,28.20%,28.90%,35.10%,59.50%,39.50%,68.40%,45.80%,43.10%,53.90%,80.00%,55.80%
2790013,Amistad Academy District,8,Math,Female,37,44,39,45,47,41,75.70%,68.20%,76.90%,48.90%,40.40%,22.00%,87.70%,91.90%,90.80%,64.00%,55.40%,42.80%
2790013,Amistad Academy District,8,Math,Male,38,39,38,34,37,37,63.20%,51.30%,36.80%,23.50%,51.40%,32.40%,79.20%,66.10%,55.10%,43.60%,63.10%,46.10%
0010011,Andover School District,4,ELA,Female,18,15,13,13,9,9,*,*,*,*,*,*,*,*,*,*,*,*
0010011,Andover School District,4,ELA,Male,20,12,13,8,9,13,40.00%,*,*,*,*,*,63.20%,*,*,*,*,*
0010011,Andover School District,4,Math,Female,18,15,13,13,9,9,*,*,*,*,*,*,*,*,*,*,*,*
0010011,Andover School District,4,Math,Male,20,12,13,8,9,12,40.00%,*,*,*,*,*,73.10%,*,*,*,*,*
0010011,Andover School District,5,ELA,Female,15,17,15,14,8,9,*,*,*,*,*,*,*,*,*,*,*,*
0010011,Andover School District,5,ELA,Male,27,20,11,13,10,8,40.70%,55.00%,*,*,*,*,62.70%,77.80%,*,*,*,*
0010011,Andover School District,5,Math,Female,15,17,15,14,8,9,*,*,*,*,*,*,*,*,*,*,*,*
0010011,Andover School District,5,Math,Male,27,20,11,13,10,8,48.10%,50.00%,*,*,*,*,74.50%,77.60%,*,*,*,*
0010011,Andover School District,6,ELA,Female,25,16,16,15,10,9,56.00%,*,*,*,*,*,70.30%,*,*,*,*,*
0010011,Andover School District,6,ELA,Male,20,26,19,12,10,8,40.00%,23.10%,*,*,*,*,55.00%,53.30%,*,*,*,*
0010011,Andover School District,6,Math,Female,27,16,16,15,10,9,51.90%,*,*,*,*,*,73.90%,*,*,*,*,*
0010011,Andover School District,6,Math,Male,20,26,19,12,10,8,70.00%,50.00%,*,*,*,*,85.90%,68.90%,*,*,*,*
0020011,Ansonia School District,4,ELA,Female,72,76,73,78,79,76,37.50%,18.40%,27.40%,19.20%,17.70%,26.30%,63.90%,44.40%,49.80%,40.70%,49.00%,51.00%
0020011,Ansonia School District,4,ELA,Male,83,88,84,84,82,85,27.70%,22.70%,20.20%,15.50%,29.30%,25.90%,55.80%,43.10%,46.00%,38.90%,54.20%,53.70%
0020011,Ansonia School District,4,Math,Female,72,76,73,78,79,76,19.40%,26.30%,30.10%,17.90%,27.80%,36.80%,58.20%,57.50%,58.90%,39.00%,66.20%,70.80%
0020011,Ansonia School District,4,Math,Male,83,87,81,84,81,85,30.10%,32.20%,28.40%,7.10%,35.80%,43.50%,65.50%,61.70%,60.40%,35.00%,66.30%,75.70%
0020011,Ansonia School District,5,ELA,Female,90,72,79,68,84,88,15.60%,19.40%,29.10%,27.90%,36.90%,28.40%,42.30%,44.30%,60.90%,55.00%,59.30%,55.30%
