"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Special Education Status (SWD)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Subject,Special Education Status (SWD),2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0030011,Ashford School District,Math,Special Education,20,22,26,24,20,26,50.00%,31.80%,19.20%,37.50%,30.00%,34.60%,80.70%,40.30%,42.00%,51.10%,56.10%,57.30%
0030011,Ashford School District,Math,Non-Special Education,173,173,158,164,143,143,41.00%,34.70%,46.80%,34.10%,39.20%,44.10%,55.80%,50.80%,64.60%,53.60%,58.40%,63.90%
0040011,Avon School District,ELA,Special Education,96,99,98,114,119,139,39.60%,28.30%,31.60%,28.10%,24.40%,25.20%,59.30%,51.40%,53.50%,47.90%,46.70%,46.60%
0040011,Avon School District,ELA,Non-Special Education,1137,1124,1109,1076,1000,1012,57.30%,48.30%,55.40%,55.90%,46.70%,45.00%,74.40%,65.10%,72.10%,72.40%,64.00%,61.60%
0040011,Avon School District,Math,Special Education,96,98,98,114,116,138,34.40%,35.70%,37.80%,29.80%,32.80%,25.40%,55.80%,54.30%,58.10%,52.90%,46.10%,46.30%
0040011,Avon School District,Math,Non-Special Education,1142,1122,1108,1074,998,1012,59.50%,56.00%,61.50%,59.20%,53.90%,50.10%,77.90%,74.30%,79.30%,77.00%,70.80%,68.60%
0050011,Barkhamsted School District,ELA,Special Education,21,25,26,27,19,22,23.80%,48.00%,23.10%,33.30%,*,27.30%,58.10%,69.80%,56.70%,60.00%,*,44.70%
0050011,Barkhamsted School District,ELA,Non-Special Education,112,94,85,70,62,53,49.10%,43.60%,41.20%,51.40%,56.50%,43.40%,72.10%,66.40%,61.40%,73.50%,83.70%,69.60%
0050011,Barkhamsted School District,Math,Special Education,21,24,24,27,19,22,23.80%,25.00%,29.20%,51.90%,*,40.90%,55.90%,58.10%,51.70%,76.30%,*,62.50%
0050011,Barkhamsted School District,Math,Non-Special Education,112,94,85,70,62,53,36.60%,44.70%,37.60%,68.60%,61.30%,49.10%,68.30%,67.40%,65.00%,87.60%,82.70%,72.30%
0070011,Berlin School District,ELA,Special Education,122,126,138,168,133,132,46.70%,23.80%,25.40%,30.40%,21.10%,19.70%,69.20%,46.00%,49.60%,52.10%,45.10%,46.20%
0070011,Berlin School District,ELA,Non-Special Education,965,961,891,873,780,808,52.40%,41.00%,44.20%,38.30%,39.70%,40.80%,73.40%,57.80%,64.40%,56.20%,58.90%,62.50%
0070011,Berlin School District,Math,Special Education,121,126,137,164,132,132,33.10%,31.00%,31.40%,37.20%,35.60%,32.60%,51.50%,50.30%,47.20%,56.20%,56.90%,55.20%
0070011,Berlin School District,Math,Non-Special Education,965,959,889,872,772,802,46.00%,55.60%,46.60%,47.80%,48.40%,59.10%,68.30%,76.30%,65.90%,66.90%,69.00%,77.70%
0080011,Bethany School District,ELA,Special Education,24,22,23,22,15,17,33.30%,27.30%,39.10%,27.30%,*,*,64.50%,57.50%,61.00%,50.90%,*,*
