"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Gender",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Subject,Gender,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0040011,Avon School District,Math,Female,603,588,611,612,590,598,54.60%,51.40%,57.60%,54.10%,52.40%,45.50%,75.70%,71.70%,76.70%,74.00%,68.80%,64.40%
0050011,Barkhamsted School District,ELA,Male,66,61,58,53,34,35,43.90%,41.00%,31.00%,50.90%,38.20%,40.00%,67.30%,66.40%,58.00%,74.30%,67.30%,69.20%
0050011,Barkhamsted School District,ELA,Female,67,58,53,44,47,40,46.30%,48.30%,43.40%,40.90%,63.80%,37.50%,72.50%,67.90%,62.70%,64.20%,87.70%,56.20%
0050011,Barkhamsted School District,Math,Male,66,60,56,53,34,35,31.80%,45.00%,30.40%,66.00%,55.90%,34.30%,67.10%,68.30%,53.00%,89.10%,71.50%,58.00%
0050011,Barkhamsted School District,Math,Female,67,58,53,44,47,40,37.30%,36.20%,41.50%,61.40%,55.30%,57.50%,65.70%,62.60%,71.60%,78.90%,75.90%,79.40%
0070011,Berlin School District,ELA,Male,598,570,532,531,449,477,49.70%,39.30%,37.80%,35.20%,33.60%,36.10%,71.00%,56.80%,59.20%,54.10%,54.00%,58.50%
0070011,Berlin School District,ELA,Female,489,517,497,510,464,463,54.40%,38.70%,45.90%,38.80%,40.30%,39.70%,75.20%,56.00%,65.80%,57.00%,59.60%,62.00%
0070011,Berlin School District,Math,Male,597,568,530,528,446,474,44.40%,51.10%,43.80%,47.90%,46.60%,56.30%,65.60%,70.80%,62.30%,65.60%,67.30%,74.10%
0070011,Berlin School District,Math,Female,489,517,496,508,458,460,44.80%,54.50%,45.40%,44.30%,46.50%,54.30%,67.40%,76.00%,64.60%,64.80%,67.10%,74.90%
0080011,Bethany School District,ELA,Male,91,80,83,76,62,83,46.20%,36.30%,49.40%,52.60%,48.40%,61.40%,68.50%,57.80%,72.20%,70.10%,73.30%,80.80%
0080011,Bethany School District,ELA,Female,76,77,78,75,73,79,53.90%,50.60%,50.00%,56.00%,52.10%,53.20%,71.20%,68.40%,70.10%,75.40%,72.40%,67.40%
0080011,Bethany School District,Math,Male,91,80,83,76,61,83,47.30%,40.00%,47.00%,61.80%,63.90%,61.40%,70.50%,58.10%,69.00%,80.60%,81.30%,78.70%
0080011,Bethany School District,Math,Female,76,77,77,75,73,78,65.80%,50.60%,48.10%,56.00%,57.50%,50.00%,88.40%,66.40%,72.50%,75.90%,77.70%,80.20%
0090011,Bethel School District,ELA,Male,516,561,554,581,601,590,49.40%,35.70%,41.90%,36.30%,36.60%,37.10%,68.50%,55.10%,62.10%,57.50%,56.00%,59.60%
0090011,Bethel School District,ELA,Female,493,526,544,555,541,556,53.10%,36.10%,46.30%,45.90%,43.10%,39.70%,73.30%,56.30%,66.80%,66.80%,62.90%,58.30%
0090011,Bethel School District,Math,Male,516,558,551,581,588,578,59.50%,41.00%,51.00%,45.40%,56.00%,50.30%,79.10%,61.30%,72.90%,65.60%,75.00%,68.20%
0090011,Bethel School District,Math,Female,493,525,544,554,532,549,57.80%,41.30%,49.60%,43.70%,52.60%,48.50%,80.50%,64.00%,72.70%,64.10%,72.10%,69.20%
0110011,Bloomfield School District,ELA,Male,285,300,313,326,302,316,30.20%,29.70%,27.50%,33.10%,37.40%,25.60%,56.60%,49.10%,51.00%,52.70%,57.60%,44.20%
0110011,Bloomfield School District,ELA,Female,278,323,305,315,279,295,42.80%,34.10%,33.80%,36.20%,40.90%,26.80%,64.00%,52.20%,55.20%,58.00%,64.10%,47.20%
0110011,Bloomfield School District,Math,Male,285,299,313,324,300,313,42.50%,30.80%,43.10%,36.10%,41.70%,33.20%,66.00%,49.50%,62.40%,55.90%,63.30%,52.30%
0110011,Bloomfield School District,Math,Female,280,324,304,315,280,293,44.30%,33.00%,38.20%,33.00%,42.50%,32.80%,64.90%,52.50%,58.10%,54.90%,62.40%,51.50%
0120011,Bolton School District,ELA,Male,145,147,146,140,116,119,53.80%,37.40%,45.90%,42.90%,34.50%,26.10%,74.40%,52.80%,67.40%,59.10%,59.10%,45.80%
0120011,Bolton School District,ELA,Female,144,144,153,154,136,142,57.60%,34.70%,49.00%,37.00%,43.40%,46.50%,76.20%,51.30%,70.20%,58.70%,61.90%,67.30%
0120011,Bolton School District,Math,Male,145,147,146,139,115,117,49.00%,38.10%,63.70%,44.60%,51.30%,39.30%,69.00%,58.60%,82.20%,64.70%,70.70%,57.50%
0120011,Bolton School District,Math,Female,144,144,153,154,135,140,52.10%,36.80%,60.80%,39.60%,49.60%,44.30%,72.90%,57.00%,79.70%,58.00%,70.40%,65.20%
2950013,Booker T. Washington Academy District,ELA,Male,*,*,15,39,123,106,*,*,*,30.80%,26.00%,31.10%,*,*,*,43.80%,48.40%,55.10%
2950013,Booker T. Washington Academy District,ELA,Female,*,*,13,25,100,101,*,*,*,12.00%,28.00%,40.60%,*,*,*,40.10%,57.00%,63.90%
2950013,Booker T. Washington Academy District,Math,Male,*,*,15,39,123,106,*,*,*,5.10%,39.00%,40.60%,*,*,*,41.20%,63.10%,58.70%
2950013,Booker T. Washington Academy District,Math,Female,*,*,13,25,100,100,*,*,*,16.00%,35.00%,40.00%,*,*,*,42.30%,66.20%,59.30%
0130011,Bozrah School District,ELA,Male,51,53,53,57,49,49,35.30%,41.50%,39.60%,35.10%,28.60%,53.10%,56.20%,66.40%,57.10%,51.40%,50.10%,77.80%
0130011,Bozrah School District,ELA,Female,56,58,56,52,37,31,44.60%,34.50%,48.20%,36.50%,29.70%,61.30%,65.20%,58.50%,70.30%,57.30%,48.60%,82.80%
0130011,Bozrah School District,Math,Male,51,53,53,57,49,49,51.00%,41.50%,47.20%,38.60%,55.10%,65.30%,70.90%,61.20%,64.70%,60.40%,77.90%,85.10%
0130011,Bozrah School District,Math,Female,56,58,56,52,37,31,42.90%,31.00%,42.90%,46.20%,43.20%,74.20%,74.90%,57.30%,65.20%,72.10%,67.30%,87.80%
0140011,Branford School District,ELA,Male,524,531,533,533,462,482,42.00%,36.50%,31.50%,41.10%,37.90%,36.70%,61.80%,54.30%,48.10%,61.70%,56.90%,56.40%
0140011,Branford School District,ELA,Female,523,504,497,476,417,435,45.70%,37.70%,32.00%,46.40%,41.20%,40.90%,64.00%,55.80%,51.00%,65.40%,61.00%,58.50%
0140011,Branford School District,Math,Male,524,531,532,532,457,479,42.90%,40.50%,40.00%,41.50%,42.70%,44.70%,63.20%,58.80%,59.80%,60.20%,62.70%,64.40%
0140011,Branford School District,Math,Female,522,502,497,474,418,436,40.40%,38.40%,41.40%,41.80%,43.50%,43.60%,62.90%,60.40%,62.90%,60.90%,64.10%,65.00%
2900013,Brass City Charter School District,ELA,Male,*,17,34,48,71,65,*,*,50.00%,35.40%,40.80%,30.80%,*,*,69.90%,54.60%,62.40%,54.70%
2900013,Brass City Charter School District,ELA,Female,*,21,37,52,89,95,*,23.80%,43.20%,34.60%,51.70%,33.70%,*,52.10%,63.80%,47.50%,75.80%,56.00%
2900013,Brass City Charter School District,Math,Male,*,17,34,48,71,65,*,*,61.80%,35.40%,52.10%,32.30%,*,*,86.00%,55.40%,72.90%,44.10%
2900013,Brass City Charter School District,Math,Female,*,21,37,52,89,95,*,9.50%,54.10%,25.00%,58.40%,25.30%,*,17.30%,74.20%,50.80%,80.10%,45.90%
0150011,Bridgeport School District,ELA,Male,3401,3511,3555,3599,2842,3219,28.70%,24.70%,34.60%,28.30%,36.30%,26.90%,52.50%,47.30%,58.50%,51.10%,59.30%,49.40%
0150011,Bridgeport School District,ELA,Female,3195,3256,3250,3375,2803,3098,33.40%,27.80%,36.40%,32.50%,37.30%,25.60%,56.90%,50.40%,61.20%,55.80%,61.70%,49.50%
0150011,Bridgeport School District,Math,Male,3470,3501,3534,3587,2706,3205,28.80%,34.80%,32.60%,33.50%,34.00%,32.00%,50.30%,55.10%,52.30%,53.40%,54.60%,51.20%
0150011,Bridgeport School District,Math,Female,3249,3251,3234,3369,2685,3088,29.50%,35.30%,33.40%,30.40%,38.20%,29.40%,51.50%,56.50%,55.30%,51.80%,58.60%,49.40%
0170011,Bristol School District,ELA,Male,1421,1461,1437,1439,1220,1280,40.50%,32.60%,36.00%,31.00%,43.70%,37.30%,62.40%,52.30%,58.70%,51.60%,66.00%,57.70%
0170011,Bristol School District,ELA,Female,1344,1394,1416,1460,1242,1300,43.70%,37.20%,40.00%,34.90%,46.50%,38.00%,66.30%,57.70%,62.20%,56.10%,66.60%,57.60%
0170011,Bristol School District,Math,Male,1427,1456,1431,1423,1194,1268,43.30%,36.90%,39.00%,35.80%,52.70%,45.40%,65.30%,56.50%,57.90%,55.00%,71.90%,64.70%
0170011,Bristol School District,Math,Female,1355,1393,1409,1454,1215,1289,42.70%,37.50%,39.50%,34.90%,50.60%,47.00%,66.00%,60.50%,60.70%,54.70%,69.90%,66.80%
0180011,Brookfield School District,ELA,Male,490,484,479,455,442,449,40.80%,41.90%,40.30%,38.90%,39.10%,46.80%,61.80%,60.30%,60.00%,61.30%,59.50%,66.10%
0180011,Brookfield School District,ELA,Female,467,470,452,443,402,418,46.50%,41.70%,47.10%,48.30%,43.50%,49.50%,64.90%,61.40%,66.40%,68.90%,62.30%,69.90%
0180011,Brookfield School District,Math,Male,490,481,478,454,439,446,46.30%,52.40%,45.60%,57.00%,49.40%,54.00%,68.80%,72.70%,65.30%,77.70%,68.30%,73.60%
0180011,Brookfield School District,Math,Female,467,468,450,441,402,417,45.00%,51.90%,49.60%,53.50%,43.50%,52.00%,67.10%,71.30%,69.20%,75.80%,64.90%,74.30%
0190011,Brooklyn School District,ELA,Male,204,191,208,222,198,211,45.10%,39.30%,45.70%,36.00%,38.90%,38.40%,65.80%,56.90%,64.70%,58.70%,59.20%,58.00%
0190011,Brooklyn School District,ELA,Female,219,198,207,199,187,203,52.10%,46.00%,50.20%,37.70%,42.20%,44.80%,71.80%,66.10%,66.90%,56.20%,62.00%,66.40%
0190011,Brooklyn School District,Math,Male,205,190,208,222,198,211,35.10%,46.80%,40.40%,44.10%,47.00%,40.30%,56.40%,64.70%,60.70%,64.70%,68.60%,62.00%
0190011,Brooklyn School District,Math,Female,218,198,208,200,185,204,41.70%,43.90%,44.70%,39.00%,43.80%,46.10%,61.10%,64.90%,65.40%,59.30%,61.90%,68.50%
0210011,Canaan School District,ELA,Male,18,16,14,12,15,22,*,*,*,*,*,50.00%,*,*,*,*,*,62.40%
0210011,Canaan School District,ELA,Female,21,22,24,19,16,14,57.10%,31.80%,45.80%,*,*,*,76.40%,53.20%,65.10%,*,*,*
0210011,Canaan School District,Math,Male,18,16,14,12,15,22,*,*,*,*,*,40.90%,*,*,*,*,*,60.40%
0210011,Canaan School District,Math,Female,21,22,24,19,16,14,33.30%,40.90%,45.80%,*,*,*,58.60%,52.70%,73.70%,*,*,*
0220011,Canterbury School District,ELA,Male,140,136,110,112,110,118,41.40%,26.50%,32.70%,33.00%,43.60%,40.70%,65.10%,39.90%,52.20%,54.30%,63.40%,60.00%
0220011,Canterbury School District,ELA,Female,108,101,100,103,108,117,48.10%,30.70%,39.00%,37.90%,40.70%,35.90%,69.20%,50.20%,63.70%,58.70%,60.80%,60.20%
0220011,Canterbury School District,Math,Male,140,136,110,111,108,116,45.70%,39.70%,26.40%,36.00%,43.50%,52.60%,65.40%,59.60%,45.60%,58.40%,63.00%,75.40%
0220011,Canterbury School District,Math,Female,108,101,100,103,106,116,42.60%,47.50%,25.00%,35.90%,37.70%,57.80%,70.60%,67.80%,47.40%,62.60%,56.60%,79.00%
0230011,Canton School District,ELA,Male,319,318,299,288,258,266,45.10%,36.20%,36.50%,42.00%,36.00%,38.30%,67.10%,55.80%,57.20%,61.80%,53.00%,57.40%
0230011,Canton School District,ELA,Female,325,317,299,288,263,269,57.20%,39.70%,48.20%,42.00%,35.00%,40.10%,75.00%,58.20%,65.70%,59.40%,54.30%,59.60%
0230011,Canton School District,Math,Male,319,318,299,287,257,264,52.70%,41.80%,57.20%,47.70%,36.60%,43.20%,74.60%,61.40%,74.30%,63.10%,54.40%,60.20%
0230011,Canton School District,Math,Female,325,314,296,288,262,267,57.50%,44.60%,50.30%,49.70%,34.40%,39.70%,78.40%,62.40%,70.30%,67.20%,55.10%,60.40%
2970013,Capital Preparatory Harbor School District,ELA,Male,49,42,75,120,132,129,38.80%,40.50%,37.30%,30.80%,36.40%,37.20%,60.60%,61.00%,55.70%,54.80%,60.30%,56.50%
2970013,Capital Preparatory Harbor School District,ELA,Female,39,54,63,99,123,167,30.80%,61.10%,41.30%,22.20%,38.20%,42.50%,51.90%,83.90%,69.70%,46.90%,60.30%,67.10%
2970013,Capital Preparatory Harbor School District,Math,Male,48,42,75,119,132,129,10.40%,78.60%,41.30%,46.20%,39.40%,36.40%,24.70%,88.10%,65.00%,65.40%,56.50%,56.20%
2970013,Capital Preparatory Harbor School District,Math,Female,39,54,63,99,122,167,17.90%,79.60%,39.70%,40.40%,43.40%,36.50%,40.10%,92.00%,61.50%,63.30%,66.60%,61.60%
2410014,Capitol Region Education Council,ELA,Male,1362,1376,1420,1437,1315,1387,36.60%,34.90%,37.10%,34.70%,28.80%,31.10%,58.70%,55.50%,56.10%,54.20%,50.30%,53.30%
2410014,Capitol Region Education Council,ELA,Female,1177,1268,1346,1492,1340,1480,43.80%,37.60%,40.90%,39.20%,29.40%,33.20%,64.40%,57.90%,61.70%,58.90%,49.10%,55.40%
