"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Gender",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Subject,Gender,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0320011,Coventry School District,ELA,Male,287,290,306,295,325,299,52.60%,43.40%,51.30%,49.80%,44.60%,45.20%,75.70%,60.20%,69.70%,69.90%,64.70%,63.90%
0320011,Coventry School District,ELA,Female,319,316,307,301,296,285,56.40%,48.70%,54.70%,58.80%,47.60%,47.40%,77.50%,68.10%,73.40%,74.30%,66.90%,62.90%
0320011,Coventry School District,Math,Male,287,287,303,295,322,297,52.30%,51.60%,47.90%,51.50%,41.00%,53.90%,73.50%,72.50%,69.10%,70.90%,57.80%,69.70%
0320011,Coventry School District,Math,Female,318,313,303,299,289,285,51.90%,53.40%,46.20%,51.50%,38.40%,49.80%,77.20%,75.90%,68.50%,71.50%,58.40%,67.20%
0330011,Cromwell School District,ELA,Male,394,392,380,412,367,361,41.60%,32.70%,46.60%,44.40%,39.80%,33.50%,63.30%,52.00%,67.40%,67.50%,58.80%,52.60%
0330011,Cromwell School District,ELA,Female,359,365,356,356,380,383,47.10%,37.30%,53.90%,47.80%,41.60%,33.40%,69.70%,55.60%,74.90%,67.90%,63.00%,54.50%
0330011,Cromwell School District,Math,Male,393,391,380,411,363,359,39.20%,49.40%,54.50%,55.00%,45.20%,36.80%,60.50%,68.90%,75.50%,77.10%,64.70%,56.60%
0330011,Cromwell School District,Math,Female,359,361,355,356,377,379,36.50%,48.20%,62.30%,52.50%,40.10%,40.60%,57.30%,70.70%,81.10%,76.20%,61.50%,60.50%
0340011,Danbury School District,ELA,Male,1822,1975,1996,2058,2042,2158,41.10%,31.50%,36.60%,33.50%,36.00%,31.90%,63.00%,52.40%,58.20%,54.90%,57.60%,53.70%
0340011,Danbury School District,ELA,Female,1854,1980,1995,2034,1995,2048,41.50%,31.90%,40.20%,37.20%,38.70%,34.90%,64.80%,52.50%,62.40%,59.50%,61.10%,56.80%
0340011,Danbury School District,Math,Male,1852,1970,1990,2052,2023,2153,43.30%,36.80%,35.50%,37.60%,41.50%,36.70%,64.60%,57.30%,56.30%,55.70%,61.10%,56.80%
0340011,Danbury School District,Math,Female,1882,1973,1991,2023,1970,2043,42.30%,36.50%,36.30%,37.40%,41.30%,35.50%,64.30%,59.00%,57.30%,57.90%,60.90%,57.60%
0350011,Darien School District,ELA,Male,934,898,895,891,866,816,57.40%,46.30%,48.50%,52.20%,48.30%,47.80%,74.90%,62.80%,65.00%,69.00%,65.20%,63.50%
0350011,Darien School District,ELA,Female,874,865,891,872,857,839,61.20%,53.60%,59.00%,60.10%,56.40%,50.90%,77.80%,70.20%,74.60%,74.80%,71.40%,66.60%
0350011,Darien School District,Math,Male,935,898,894,891,860,813,71.00%,62.80%,65.90%,69.10%,61.00%,62.70%,87.90%,76.10%,81.50%,83.50%,75.80%,79.40%
0350011,Darien School District,Math,Female,874,862,889,871,856,835,64.90%,59.30%,65.10%,69.20%,56.00%,59.60%,84.10%,78.00%,81.60%,85.90%,73.50%,76.90%
0360011,Deep River School District,ELA,Male,70,71,61,53,48,42,41.40%,46.50%,49.20%,37.70%,39.60%,42.90%,61.80%,70.50%,65.70%,59.50%,55.00%,56.00%
0360011,Deep River School District,ELA,Female,76,69,67,56,38,36,55.30%,53.60%,55.20%,44.60%,36.80%,38.90%,72.70%,70.50%,73.20%,67.00%,60.10%,63.10%
0360011,Deep River School District,Math,Male,70,71,61,53,48,42,45.70%,60.60%,44.30%,54.70%,52.10%,28.60%,68.40%,83.10%,74.40%,77.60%,73.50%,46.90%
0360011,Deep River School District,Math,Female,76,69,67,56,38,36,55.30%,49.30%,50.70%,57.10%,57.90%,41.70%,77.30%,73.60%,77.00%,79.30%,78.20%,68.70%
0370011,Derby School District,ELA,Male,266,270,275,269,208,217,26.30%,21.90%,24.70%,30.10%,30.80%,34.10%,47.60%,41.70%,45.60%,48.70%,47.10%,56.20%
0370011,Derby School District,ELA,Female,254,260,258,247,190,218,37.00%,26.20%,32.90%,26.70%,29.50%,30.30%,58.30%,45.70%,55.40%,49.00%,50.30%,50.60%
0370011,Derby School District,Math,Male,266,269,274,270,204,217,23.30%,27.50%,28.80%,34.80%,36.30%,24.40%,44.60%,49.20%,50.80%,54.80%,54.50%,40.20%
0370011,Derby School District,Math,Female,254,260,258,247,184,215,22.40%,20.80%,36.40%,34.80%,27.20%,18.60%,45.80%,43.40%,55.00%,56.70%,50.80%,39.50%
0400011,East Granby School District,ELA,Male,158,175,169,162,173,172,39.90%,48.60%,42.60%,56.20%,46.20%,39.50%,59.80%,66.90%,58.80%,74.00%,67.60%,58.10%
0400011,East Granby School District,ELA,Female,152,150,152,165,144,143,41.40%,51.30%,47.40%,53.90%,46.50%,51.00%,59.90%,70.30%,64.60%,70.30%,69.20%,71.60%
0400011,East Granby School District,Math,Male,158,171,165,161,172,172,44.30%,44.40%,50.30%,51.60%,54.10%,45.30%,64.10%,63.90%,65.50%,67.90%,69.60%,63.90%
0400011,East Granby School District,Math,Female,152,150,152,164,143,142,56.60%,42.00%,50.70%,56.70%,49.00%,45.80%,77.40%,60.40%,67.40%,75.00%,65.70%,68.70%
0410011,East Haddam School District,ELA,Male,213,202,185,184,174,178,41.30%,42.60%,40.50%,41.80%,36.80%,38.20%,58.00%,61.00%,56.50%,64.10%,53.40%,53.90%
0410011,East Haddam School District,ELA,Female,181,169,161,166,167,185,56.40%,43.20%,41.00%,50.00%,40.70%,38.90%,71.80%,65.80%,60.10%,68.80%,55.40%,54.80%
0410011,East Haddam School District,Math,Male,212,201,185,182,168,176,34.00%,46.30%,31.90%,45.60%,31.50%,40.30%,52.90%,67.20%,51.10%,65.60%,53.40%,59.00%
0410011,East Haddam School District,Math,Female,180,169,161,163,167,185,30.60%,44.40%,34.80%,48.50%,37.70%,33.00%,51.80%,67.10%,57.80%,67.30%,60.00%,59.20%
0420011,East Hampton School District,ELA,Male,350,359,364,340,317,328,32.60%,40.40%,28.30%,30.90%,35.60%,44.80%,50.90%,62.30%,52.00%,52.20%,56.60%,64.10%
0420011,East Hampton School District,ELA,Female,298,328,359,363,343,331,36.60%,38.10%,42.60%,42.10%,35.60%,40.50%,56.00%,58.80%,60.40%,61.90%,55.00%,61.90%
0420011,East Hampton School District,Math,Male,347,359,364,339,317,328,36.30%,38.40%,33.20%,41.60%,40.70%,33.20%,54.90%,63.10%,53.90%,63.20%,62.00%,53.70%
0420011,East Hampton School District,Math,Female,297,328,359,363,341,326,32.70%,40.50%,40.70%,44.90%,38.70%,29.40%,55.50%,65.00%,62.30%,68.50%,60.60%,52.00%
0430011,East Hartford School District,ELA,Male,1128,1127,1185,1151,993,1001,33.90%,26.40%,34.40%,35.00%,38.50%,34.20%,57.10%,48.90%,58.30%,57.00%,60.90%,57.70%
0430011,East Hartford School District,ELA,Female,1064,1052,1120,1097,941,926,38.30%,33.20%,39.80%,36.60%,44.00%,38.30%,62.10%,55.50%,63.30%,60.00%,67.80%,59.90%
0430011,East Hartford School District,Math,Male,1134,1089,1142,1139,968,986,24.70%,28.90%,34.20%,33.40%,48.30%,41.10%,45.70%,51.50%,55.30%,53.20%,67.70%,62.90%
0430011,East Hartford School District,Math,Female,1061,1026,1085,1088,919,921,28.90%,28.50%,38.80%,34.30%,49.50%,42.00%,50.50%,51.60%,61.60%,56.00%,69.30%,65.50%
0440011,East Haven School District,ELA,Male,525,491,461,477,460,463,37.70%,28.10%,32.50%,33.50%,34.80%,31.50%,62.90%,46.90%,52.80%,56.90%,53.60%,52.10%
0440011,East Haven School District,ELA,Female,534,526,486,485,430,475,47.20%,27.80%,36.40%,38.40%,39.30%,34.30%,72.10%,48.20%,56.20%,59.50%,62.50%,55.40%
0440011,East Haven School District,Math,Male,524,489,459,474,455,458,36.60%,29.90%,30.10%,30.80%,38.20%,35.20%,59.40%,50.70%,50.10%,53.90%,57.70%,55.80%
0440011,East Haven School District,Math,Female,535,525,487,483,424,475,38.70%,30.30%,30.20%,33.50%,36.60%,33.90%,62.50%,51.20%,51.60%,55.20%,57.20%,55.60%
0450011,East Lyme School District,ELA,Male,500,515,497,457,416,421,45.40%,39.80%,45.30%,42.20%,38.00%,41.80%,63.60%,57.40%,63.60%,60.30%,55.70%,60.90%
0450011,East Lyme School District,ELA,Female,461,440,445,440,410,394,48.80%,36.80%,50.10%,48.40%,45.60%,43.90%,66.40%,55.00%,68.50%,66.30%,65.60%,62.40%
0450011,East Lyme School District,Math,Male,497,514,497,457,416,418,50.30%,43.00%,43.90%,47.90%,48.30%,46.70%,70.70%,61.50%,60.70%,65.30%,64.90%,63.50%
0450011,East Lyme School District,Math,Female,460,440,445,440,409,392,50.40%,43.40%,42.50%,42.50%,45.50%,44.60%,70.70%,62.70%,60.40%,60.80%,64.30%,61.90%
0470011,East Windsor School District,ELA,Male,183,177,191,179,169,177,35.00%,30.50%,30.90%,28.50%,46.20%,33.30%,59.50%,49.10%,53.90%,55.70%,65.70%,53.90%
0470011,East Windsor School District,ELA,Female,162,174,166,181,171,177,31.50%,27.60%,34.30%,33.70%,40.90%,39.50%,57.20%,53.70%,59.30%,53.30%,64.00%,61.70%
0470011,East Windsor School District,Math,Male,184,177,191,183,168,174,35.30%,30.50%,39.80%,25.70%,70.20%,37.40%,57.80%,50.40%,59.20%,45.50%,87.60%,57.00%
0470011,East Windsor School District,Math,Female,163,173,166,181,167,177,30.10%,27.20%,36.10%,23.20%,56.90%,37.90%,54.90%,55.10%,55.60%,45.70%,73.80%,57.00%
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),ELA,Male,*,*,*,*,17,*,17.90%,21.70%,30.30%,23.30%,*,*,33.80%,44.00%,49.00%,49.50%,*,*
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),ELA,Female,*,*,*,*,7,*,*,*,*,*,*,*,*,*,*,*,*,*
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),Math,Male,*,*,*,*,16,*,25.00%,33.30%,27.30%,31.00%,*,*,41.40%,47.00%,44.90%,48.90%,*,*
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),Math,Female,*,*,*,*,6,*,*,*,*,*,*,*,*,*,*,*,*,*
0390011,Eastford School District,ELA,Male,36,39,41,43,35,35,50.00%,35.90%,31.70%,23.30%,25.70%,60.00%,71.30%,51.70%,49.40%,49.40%,41.40%,80.40%
0390011,Eastford School District,ELA,Female,31,35,37,33,19,32,22.60%,42.90%,27.00%,39.40%,*,65.60%,44.70%,55.70%,42.80%,59.10%,*,89.90%
0390011,Eastford School District,Math,Male,36,39,41,43,35,35,52.80%,53.80%,51.20%,44.20%,28.60%,48.60%,70.80%,73.50%,69.00%,60.70%,54.40%,70.90%
0390011,Eastford School District,Math,Female,31,35,37,33,19,31,41.90%,45.70%,29.70%,51.50%,*,48.40%,66.10%,67.20%,63.60%,76.90%,*,71.20%
0460011,Easton School District,ELA,Male,266,239,244,245,244,245,59.80%,46.40%,44.30%,51.00%,51.20%,53.10%,78.40%,64.60%,62.90%,66.80%,67.60%,70.00%
0460011,Easton School District,ELA,Female,235,260,251,256,212,223,56.20%,49.60%,51.80%,53.50%,57.50%,53.40%,74.80%,64.50%,69.30%,70.30%,75.10%,68.50%
0460011,Easton School District,Math,Male,264,239,243,244,243,245,63.30%,51.90%,49.40%,51.60%,60.10%,58.80%,84.00%,68.20%,65.90%,67.80%,78.80%,74.90%
0460011,Easton School District,Math,Female,232,258,251,257,212,223,70.30%,53.50%,44.20%,55.30%,59.00%,54.30%,88.60%,73.10%,63.80%,71.30%,77.70%,72.10%
2420014,EdAdvance,ELA,Male,*,*,*,*,*,12,*,*,*,*,*,*,*,*,*,*,*,*
2420014,EdAdvance,ELA,Female,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2420014,EdAdvance,Math,Male,*,*,*,*,*,11,*,*,*,*,*,*,*,*,*,*,*,*
2420014,EdAdvance,Math,Female,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0480011,Ellington School District,ELA,Male,523,495,488,514,487,491,40.20%,33.50%,42.00%,37.00%,44.60%,43.40%,60.60%,50.80%,59.70%,56.50%,61.70%,63.70%
0480011,Ellington School District,ELA,Female,490,522,518,489,440,459,50.40%,35.80%,49.60%,45.20%,46.60%,46.00%,69.90%,52.70%,69.60%,62.70%,65.70%,62.90%
0480011,Ellington School District,Math,Male,523,495,486,511,488,488,48.80%,39.20%,43.80%,47.60%,53.90%,54.30%,70.10%,59.10%,60.60%,67.70%,71.60%,71.10%
0480011,Ellington School District,Math,Female,491,521,515,486,441,458,46.20%,41.80%,45.40%,48.60%,54.20%,55.00%,69.30%,62.00%,64.10%,68.60%,73.10%,73.90%
2890013,Elm City College Preparatory School District,ELA,Male,125,129,138,147,136,147,53.60%,31.80%,37.70%,42.20%,51.50%,40.80%,72.40%,50.90%,61.00%,61.20%,66.20%,56.90%
2890013,Elm City College Preparatory School District,ELA,Female,185,176,162,149,153,147,55.10%,39.80%,48.80%,49.70%,45.80%,34.70%,77.30%,60.30%,67.20%,68.50%,71.00%,55.10%
2890013,Elm City College Preparatory School District,Math,Male,125,128,136,147,133,146,44.00%,37.50%,42.60%,44.20%,20.30%,33.60%,61.30%,51.90%,63.60%,65.20%,41.50%,52.90%
2890013,Elm City College Preparatory School District,Math,Female,185,176,162,149,153,146,48.10%,44.90%,54.90%,40.30%,30.10%,30.10%,71.80%,64.60%,78.50%,57.30%,48.60%,50.60%
2910013,Elm City Montessori School District,ELA,Male,*,*,*,10,41,50,*,*,*,*,34.10%,22.00%,*,*,*,*,49.20%,39.60%
2910013,Elm City Montessori School District,ELA,Female,*,*,*,7,35,44,*,*,*,*,25.70%,47.70%,*,*,*,*,40.30%,65.70%
2910013,Elm City Montessori School District,Math,Male,*,*,*,10,40,50,*,*,*,*,30.00%,28.00%,*,*,*,*,53.90%,46.80%
2910013,Elm City Montessori School District,Math,Female,*,*,*,7,35,44,*,*,*,*,11.40%,36.40%,*,*,*,*,38.10%,60.50%
0490011,Enfield School District,ELA,Male,847,868,863,896,818,835,42.30%,27.30%,30.70%,31.40%,34.80%,32.00%,64.90%,47.40%,51.30%,52.50%,56.50%,53.10%
0490011,Enfield School District,ELA,Female,867,880,828,862,785,803,47.40%,27.50%,37.90%,37.60%,38.10%,30.80%,68.70%,45.70%,58.90%,58.20%,58.80%,52.40%
0490011,Enfield School District,Math,Male,847,868,859,892,798,828,33.60%,30.10%,28.10%,35.00%,46.70%,35.70%,56.60%,50.70%,48.00%,54.60%,67.40%,54.10%
0490011,Enfield School District,Math,Female,862,882,827,857,763,798,35.00%,29.90%,27.60%,35.40%,49.30%,32.80%,59.70%,50.50%,50.00%,56.70%,68.60%,54.10%
0500011,Essex School District,ELA,Male,93,76,82,64,57,56,50.50%,44.70%,58.50%,51.60%,57.90%,41.10%,68.80%,66.00%,77.90%,80.40%,73.70%,62.20%
0500011,Essex School District,ELA,Female,89,64,64,71,57,52,51.70%,50.00%,57.80%,69.00%,54.40%,38.50%,71.50%,72.50%,74.90%,88.40%,71.80%,56.00%
0500011,Essex School District,Math,Male,94,76,82,64,57,56,60.60%,46.10%,39.00%,65.60%,59.60%,46.40%,77.50%,71.80%,64.80%,86.90%,86.00%,67.60%
0500011,Essex School District,Math,Female,89,64,64,71,57,52,56.20%,39.10%,35.90%,70.40%,50.90%,46.20%,86.00%,60.00%,62.10%,92.20%,74.70%,61.10%
0510011,Fairfield School District,ELA,Male,1933,1934,1951,1914,1702,1658,48.40%,45.00%,47.20%,45.00%,45.10%,44.00%,68.00%,63.80%,66.90%,63.60%,64.00%,61.40%
0510011,Fairfield School District,ELA,Female,1871,1835,1829,1817,1638,1609,52.20%,48.70%,51.30%,49.40%,52.30%,47.70%,72.00%,66.70%,70.90%,67.30%,70.20%,64.10%
0510011,Fairfield School District,Math,Male,1929,1932,1946,1912,1697,1656,49.20%,54.60%,52.30%,55.00%,54.80%,49.60%,69.80%,74.50%,70.80%,72.80%,72.80%,66.50%
0510011,Fairfield School District,Math,Female,1866,1832,1823,1811,1630,1605,48.80%,52.80%,50.00%,50.40%,52.90%,46.10%,71.40%,74.10%,70.10%,71.20%,72.70%,64.90%
0520011,Farmington School District,ELA,Male,746,794,815,768,728,735,49.30%,49.50%,51.90%,48.00%,45.10%,49.40%,67.60%,66.90%,68.20%,66.80%,63.10%,66.20%
0520011,Farmington School District,ELA,Female,766,776,758,762,736,726,57.80%,49.50%,59.00%,58.00%,52.30%,53.70%,76.10%,66.60%,76.10%,74.60%,69.00%,71.00%
0520011,Farmington School District,Math,Male,747,793,815,765,723,730,65.10%,53.80%,53.90%,57.90%,56.60%,61.50%,84.70%,72.30%,70.80%,73.60%,73.40%,78.50%
0520011,Farmington School District,Math,Female,772,775,756,762,729,721,64.20%,56.30%,59.10%,58.40%,53.50%,63.40%,83.70%,75.30%,77.90%,75.60%,72.10%,79.80%
0530011,Franklin School District,ELA,Male,47,45,38,37,41,42,38.30%,46.70%,44.70%,40.50%,24.40%,40.50%,53.90%,63.00%,64.70%,63.10%,45.00%,66.20%
0530011,Franklin School District,ELA,Female,41,43,39,42,41,41,31.70%,53.50%,38.50%,42.90%,34.10%,26.80%,52.70%,76.80%,57.00%,68.90%,61.30%,48.60%
0530011,Franklin School District,Math,Male,47,45,38,37,41,42,36.20%,37.80%,23.70%,62.20%,34.10%,40.50%,54.80%,51.80%,47.10%,87.40%,61.80%,65.30%
0530011,Franklin School District,Math,Female,41,43,39,42,41,41,17.10%,18.60%,35.90%,71.40%,56.10%,41.50%,39.30%,41.40%,47.00%,86.60%,77.60%,60.30%
0540011,Glastonbury School District,ELA,Male,1134,1106,1089,1076,993,1074,49.10%,42.50%,45.30%,48.20%,47.20%,47.30%,67.60%,58.70%,63.40%,66.00%,64.30%,64.50%
0540011,Glastonbury School District,ELA,Female,1181,1159,1126,1087,860,945,52.20%,50.00%,50.90%,49.90%,53.10%,51.70%,69.00%,65.20%,67.60%,66.00%,69.90%,69.20%
0540011,Glastonbury School District,Math,Male,1133,1105,1087,1076,987,1073,59.60%,50.70%,54.50%,59.10%,56.40%,58.00%,78.60%,69.90%,71.00%,75.70%,73.80%,74.30%
0540011,Glastonbury School District,Math,Female,1180,1159,1127,1087,859,943,55.80%,51.80%,54.30%,55.30%,56.00%,56.40%,77.10%,69.00%,71.90%,72.90%,74.50%,72.80%
2310018,Goodwin University Educational Services (GUES),ELA,Male,*,*,*,*,108,153,*,*,*,*,37.00%,23.50%,*,*,*,*,62.00%,46.10%
2310018,Goodwin University Educational Services (GUES),ELA,Female,*,*,*,*,118,154,*,*,*,*,39.80%,22.70%,*,*,*,*,67.20%,48.20%
2310018,Goodwin University Educational Services (GUES),Math,Male,*,*,*,*,107,153,*,*,*,*,42.10%,26.10%,*,*,*,*,68.70%,46.00%
2310018,Goodwin University Educational Services (GUES),Math,Female,*,*,*,*,119,154,*,*,*,*,38.70%,32.50%,*,*,*,*,61.90%,52.20%
0560011,Granby School District,ELA,Male,352,331,319,316,304,305,57.40%,36.00%,38.60%,50.60%,43.80%,47.20%,76.50%,54.30%,57.40%,69.80%,65.70%,67.70%
0560011,Granby School District,ELA,Female,335,329,327,349,329,320,60.00%,44.40%,47.10%,48.10%,47.10%,40.00%,77.40%,62.60%,66.10%,67.50%,65.70%,61.80%
0560011,Granby School District,Math,Male,351,331,319,313,304,304,50.70%,36.90%,47.30%,48.60%,49.30%,48.00%,70.80%,57.60%,67.20%,66.80%,70.10%,64.40%
0560011,Granby School District,Math,Female,335,328,326,348,327,315,52.20%,38.40%,48.50%,43.40%,45.60%,38.40%,74.90%,59.00%,67.80%,67.90%,68.10%,59.10%
2940013,Great Oaks Charter School District,ELA,Male,102,149,126,109,127,126,35.30%,17.40%,23.00%,34.90%,26.80%,46.80%,57.70%,38.10%,42.90%,57.40%,48.40%,70.20%
2940013,Great Oaks Charter School District,ELA,Female,104,130,146,167,114,127,45.20%,23.10%,24.00%,38.90%,31.60%,40.90%,62.30%,37.50%,47.00%,58.80%,50.30%,69.60%
2940013,Great Oaks Charter School District,Math,Male,100,147,126,111,126,127,48.00%,34.70%,36.50%,23.40%,38.90%,43.30%,67.30%,51.50%,50.80%,37.80%,54.40%,61.40%
2940013,Great Oaks Charter School District,Math,Female,103,129,147,167,107,130,41.70%,34.90%,44.90%,28.70%,38.30%,30.00%,58.40%,52.50%,59.80%,42.30%,56.70%,52.10%
0570011,Greenwich School District,ELA,Male,1536,1562,1640,1644,1617,1558,51.40%,44.00%,50.40%,49.10%,48.90%,49.90%,70.20%,61.60%,69.00%,66.90%,66.20%,67.10%
0570011,Greenwich School District,ELA,Female,1489,1542,1585,1575,1421,1421,56.50%,49.10%,55.50%,53.10%,52.50%,55.00%,73.30%,66.50%,72.20%,70.90%,69.10%,70.60%
0570011,Greenwich School District,Math,Male,1556,1562,1635,1642,1606,1553,57.60%,59.50%,55.80%,56.90%,58.00%,60.00%,75.00%,77.20%,72.60%,73.50%,74.00%,76.40%
0570011,Greenwich School District,Math,Female,1504,1541,1582,1574,1416,1415,53.80%,58.50%,53.30%,56.10%,53.10%,54.30%,73.00%,78.00%,70.50%,74.00%,70.90%,72.60%
0580011,Griswold School District,ELA,Male,316,320,318,323,286,278,43.40%,34.40%,35.80%,35.30%,27.30%,39.90%,63.30%,57.10%,56.30%,56.20%,49.10%,63.50%
0580011,Griswold School District,ELA,Female,319,308,297,302,272,284,41.10%,39.30%,45.50%,36.10%,23.90%,44.00%,64.00%,61.30%,62.80%,58.30%,46.50%,69.50%
0580011,Griswold School District,Math,Male,316,319,317,323,285,277,48.10%,57.10%,48.30%,41.50%,34.00%,50.90%,70.30%,78.10%,68.70%,62.30%,56.50%,72.70%
0580011,Griswold School District,Math,Female,319,305,297,302,272,284,52.00%,58.70%,40.70%,42.70%,38.20%,47.90%,70.40%,79.80%,61.90%,62.80%,59.10%,69.50%
0590011,Groton School District,ELA,Male,696,720,728,750,638,665,41.40%,37.60%,40.40%,39.60%,40.60%,31.90%,60.40%,59.40%,61.10%,60.20%,60.60%,50.80%
0590011,Groton School District,ELA,Female,707,705,675,715,636,635,40.70%,40.40%,41.30%,42.90%,43.10%,34.30%,61.80%,60.70%,61.20%,62.50%,65.30%,54.00%
0590011,Groton School District,Math,Male,698,718,728,748,629,658,46.40%,37.00%,42.30%,51.10%,52.00%,40.00%,67.50%,58.00%,61.90%,70.80%,71.50%,58.90%
0590011,Groton School District,Math,Female,714,702,674,714,631,635,44.50%,39.30%,40.20%,47.90%,48.20%,33.50%,63.30%,59.40%,60.60%,68.30%,69.40%,52.40%
0600011,Guilford School District,ELA,Male,677,679,675,662,553,592,51.60%,42.30%,52.30%,44.90%,49.00%,43.60%,70.30%,60.90%,70.60%,62.80%,67.50%,62.50%
0600011,Guilford School District,ELA,Female,626,625,596,596,530,543,56.90%,47.70%,59.10%,55.00%,51.70%,43.60%,74.40%,63.20%,74.30%,70.70%,69.80%,59.40%
0600011,Guilford School District,Math,Male,677,678,674,662,554,592,60.00%,59.90%,59.10%,59.20%,55.20%,52.40%,79.40%,78.10%,78.00%,76.40%,74.10%,68.90%
0600011,Guilford School District,Math,Female,625,625,596,595,530,541,55.80%,56.60%,61.40%,58.30%,50.40%,47.90%,76.80%,76.80%,79.40%,75.10%,69.80%,66.40%
0620011,Hamden School District,ELA,Male,949,983,995,1011,889,912,34.80%,32.80%,36.90%,32.50%,37.80%,31.60%,55.40%,52.30%,57.20%,50.20%,59.70%,52.10%
0620011,Hamden School District,ELA,Female,886,884,890,912,843,878,40.00%,35.60%,41.90%,35.20%,42.70%,35.10%,59.30%,55.90%,60.70%,54.50%,63.40%,55.30%
0620011,Hamden School District,Math,Male,952,976,991,1006,868,907,34.60%,41.70%,37.70%,42.30%,44.80%,43.60%,55.70%,62.90%,55.90%,61.40%,65.70%,62.70%
0620011,Hamden School District,Math,Female,881,869,891,911,819,876,37.70%,41.20%,35.60%,42.20%,48.20%,44.30%,57.20%,63.00%,57.50%,62.50%,69.20%,64.60%
0630011,Hampton School District,ELA,Male,20,24,24,19,9,11,65.00%,50.00%,45.80%,*,*,*,86.50%,71.80%,69.70%,*,*,*
0630011,Hampton School District,ELA,Female,8,15,17,14,15,11,*,*,*,*,*,*,*,*,*,*,*,*
0630011,Hampton School District,Math,Male,19,24,24,19,9,11,*,70.80%,41.70%,*,*,*,*,84.80%,82.30%,*,*,*
0630011,Hampton School District,Math,Female,8,14,17,14,15,11,*,*,*,*,*,*,*,*,*,*,*,*
0640011,Hartford School District,ELA,Male,3461,3529,3379,3393,2695,2715,31.40%,22.40%,31.20%,27.80%,29.40%,27.60%,53.90%,41.80%,53.80%,50.10%,51.40%,50.10%
0640011,Hartford School District,ELA,Female,3347,3349,3273,3246,2627,2625,33.00%,24.70%,32.50%,30.30%,30.70%,29.10%,55.00%,44.60%,55.90%,52.80%,52.30%,51.40%
0640011,Hartford School District,Math,Male,3511,3446,3330,3371,2575,2672,34.50%,28.00%,36.80%,29.50%,34.80%,34.40%,55.60%,46.60%,56.20%,48.00%,53.70%,53.70%
0640011,Hartford School District,Math,Female,3399,3285,3240,3219,2500,2592,33.20%,27.20%,36.80%,30.20%,34.70%,30.70%,56.00%,47.60%,58.00%,50.00%,53.60%,50.60%
0650011,Hartland School District,ELA,Male,58,58,53,47,41,35,55.20%,46.60%,39.60%,51.10%,36.60%,42.90%,80.80%,71.80%,62.30%,67.70%,59.10%,68.90%
0650011,Hartland School District,ELA,Female,47,45,42,38,39,34,59.60%,37.80%,42.90%,57.90%,59.00%,50.00%,78.30%,61.40%,66.70%,78.30%,76.70%,69.20%
0650011,Hartland School District,Math,Male,57,56,51,47,41,35,61.40%,58.90%,43.10%,51.10%,56.10%,51.40%,85.50%,77.80%,69.60%,72.10%,69.50%,75.90%
0650011,Hartland School District,Math,Female,47,45,42,38,39,34,59.60%,46.70%,38.10%,65.80%,41.00%,61.80%,78.60%,66.40%,62.10%,83.70%,67.40%,81.60%
0670011,Hebron School District,ELA,Male,182,162,155,133,128,114,44.50%,38.90%,34.80%,36.80%,36.70%,44.70%,66.90%,61.20%,57.80%,59.50%,58.90%,61.90%
0670011,Hebron School District,ELA,Female,159,147,136,122,130,137,45.30%,44.90%,33.10%,41.80%,43.10%,54.00%,71.40%,65.80%,56.30%,59.80%,60.30%,74.30%
0670011,Hebron School District,Math,Male,183,162,155,133,128,114,58.50%,56.20%,40.60%,48.10%,46.90%,43.00%,82.30%,79.10%,66.70%,68.70%,68.20%,66.40%
0670011,Hebron School District,Math,Female,159,147,136,122,129,137,54.70%,57.80%,47.10%,39.30%,46.50%,53.30%,82.10%,82.40%,70.30%,63.50%,70.20%,74.30%
2860013,Highville Charter School District,ELA,Male,86,79,73,64,58,66,27.90%,20.30%,23.30%,28.10%,25.90%,37.90%,48.90%,44.60%,46.90%,56.40%,49.30%,60.70%
2860013,Highville Charter School District,ELA,Female,95,90,79,88,79,87,36.80%,26.70%,24.10%,28.40%,30.40%,24.10%,60.10%,47.80%,47.70%,54.70%,56.70%,45.50%
2860013,Highville Charter School District,Math,Male,86,79,73,64,55,66,45.30%,27.80%,19.20%,35.90%,36.40%,25.80%,68.50%,44.20%,42.70%,61.30%,55.80%,45.70%
