"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades, All Students",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Grade,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2790013,Amistad Academy District,7,ELA,85,85,87,85,81,83,30.60%,37.60%,29.90%,45.90%,64.20%,55.40%,53.20%,53.20%,48.50%,64.50%,83.90%,81.00%
2790013,Amistad Academy District,7,Math,85,85,86,85,79,82,38.80%,42.40%,37.20%,48.20%,73.40%,62.20%,60.50%,52.10%,51.20%,61.90%,90.10%,84.20%
2790013,Amistad Academy District,8,ELA,76,83,77,83,85,83,46.10%,34.90%,39.00%,43.40%,57.60%,36.10%,69.10%,48.90%,54.10%,63.00%,76.70%,54.80%
2790013,Amistad Academy District,8,Math,75,83,77,79,84,78,69.30%,60.20%,57.10%,38.00%,45.20%,26.90%,83.40%,79.80%,73.20%,55.20%,58.80%,44.40%
0010011,Andover School District,4,ELA,38,27,26,21,18,22,44.70%,48.10%,65.40%,38.10%,*,45.50%,67.50%,66.20%,79.10%,74.40%,*,75.40%
0010011,Andover School District,4,Math,38,27,26,21,18,21,34.20%,55.60%,65.40%,33.30%,*,47.60%,71.20%,82.60%,87.30%,63.70%,*,71.80%
0010011,Andover School District,5,ELA,42,37,26,27,18,17,52.40%,43.20%,53.80%,51.90%,*,*,70.50%,62.80%,84.80%,75.00%,*,*
0010011,Andover School District,5,Math,42,37,26,27,18,17,52.40%,48.60%,61.50%,55.60%,*,*,76.10%,75.90%,87.90%,84.60%,*,*
0010011,Andover School District,6,ELA,45,42,35,27,20,17,48.90%,35.70%,62.90%,55.60%,40.00%,*,63.50%,59.40%,79.50%,74.30%,60.60%,*
0010011,Andover School District,6,Math,47,42,35,27,20,17,59.60%,50.00%,65.70%,51.90%,55.00%,*,79.00%,68.70%,77.70%,70.60%,71.90%,*
0020011,Ansonia School District,4,ELA,155,164,157,162,161,161,32.30%,20.70%,23.60%,17.30%,23.60%,26.10%,59.50%,43.70%,47.70%,39.80%,51.70%,52.40%
0020011,Ansonia School District,4,Math,155,163,154,162,160,161,25.20%,29.40%,29.20%,12.30%,31.90%,40.40%,62.10%,59.70%,59.70%,37.00%,66.30%,73.40%
0020011,Ansonia School District,5,ELA,170,155,167,153,157,174,20.60%,17.40%,34.70%,22.90%,35.70%,23.00%,48.30%,42.80%,64.10%,46.00%,61.20%,49.80%
0020011,Ansonia School District,5,Math,171,155,167,153,157,174,22.80%,16.10%,30.50%,28.10%,43.30%,30.50%,40.60%,37.50%,53.50%,49.90%,66.00%,53.90%
0020011,Ansonia School District,6,ELA,160,162,155,173,146,171,41.90%,39.50%,32.90%,29.50%,30.80%,21.10%,63.20%,62.20%,55.30%,46.10%,52.10%,43.50%
0020011,Ansonia School District,6,Math,160,161,155,173,141,171,61.30%,47.20%,54.80%,45.70%,19.90%,27.50%,81.00%,70.90%,77.00%,64.00%,36.60%,43.80%
0020011,Ansonia School District,7,ELA,148,166,159,156,132,162,18.90%,37.30%,20.10%,35.90%,21.20%,22.80%,40.60%,55.60%,37.30%,56.00%,40.90%,45.10%
0020011,Ansonia School District,7,Math,148,163,158,155,130,156,27.70%,22.70%,25.90%,25.20%,25.40%,39.70%,49.10%,42.10%,45.90%,41.20%,43.60%,57.40%
0020011,Ansonia School District,8,ELA,170,150,175,156,115,156,30.60%,28.00%,29.70%,27.60%,36.50%,22.40%,48.00%,50.70%,47.60%,50.30%,59.20%,41.40%
0020011,Ansonia School District,8,Math,169,147,173,156,108,152,37.30%,15.60%,42.20%,25.00%,19.40%,15.80%,54.20%,28.40%,60.70%,34.30%,34.00%,31.10%
2440014,Area Cooperative Educational Services,4,ELA,94,85,88,80,74,68,28.70%,27.10%,19.30%,21.30%,16.20%,26.50%,51.60%,50.10%,49.00%,44.30%,38.50%,59.20%
2440014,Area Cooperative Educational Services,4,Math,94,83,88,78,71,67,19.10%,22.90%,22.70%,26.90%,16.90%,35.80%,53.40%,46.00%,51.60%,57.10%,41.50%,59.60%
2440014,Area Cooperative Educational Services,5,ELA,89,93,90,84,75,80,23.60%,25.80%,26.70%,25.00%,36.00%,22.50%,55.80%,56.20%,51.00%,47.70%,54.60%,41.30%
2440014,Area Cooperative Educational Services,5,Math,88,91,88,82,73,77,28.40%,16.50%,26.10%,11.00%,26.00%,23.40%,48.90%,34.40%,49.70%,43.30%,40.80%,47.20%
2440014,Area Cooperative Educational Services,6,ELA,322,314,316,314,297,236,26.40%,33.80%,33.50%,34.10%,36.70%,33.50%,44.60%,53.00%,52.10%,52.70%,56.70%,49.90%
2440014,Area Cooperative Educational Services,6,Math,324,312,314,312,288,235,28.10%,39.40%,42.00%,42.30%,35.80%,36.60%,46.10%,59.60%,62.40%,59.70%,53.20%,55.10%
2440014,Area Cooperative Educational Services,7,ELA,319,331,294,313,260,309,35.10%,41.10%,38.10%,43.50%,33.80%,28.20%,56.50%,63.10%,59.20%,64.90%,53.10%,48.00%
2440014,Area Cooperative Educational Services,7,Math,315,331,294,305,248,305,52.70%,48.60%,39.10%,33.10%,33.50%,35.40%,73.40%,68.10%,57.80%,51.70%,53.70%,54.20%
2440014,Area Cooperative Educational Services,8,ELA,299,310,319,288,235,290,33.10%,35.80%,38.60%,29.50%,31.50%,24.50%,52.30%,55.30%,56.30%,45.60%,48.20%,41.00%
2440014,Area Cooperative Educational Services,8,Math,298,307,319,283,215,284,34.20%,34.90%,31.30%,47.70%,27.90%,27.50%,50.10%,50.70%,51.70%,63.30%,43.00%,43.80%
0030011,Ashford School District,4,ELA,41,29,39,39,36,42,39.00%,37.90%,30.80%,43.60%,33.30%,28.60%,60.80%,55.50%,51.10%,66.30%,58.10%,48.20%
0030011,Ashford School District,4,Math,40,29,39,39,36,41,55.00%,13.80%,7.70%,20.50%,44.40%,31.70%,81.30%,30.20%,35.30%,52.30%,74.90%,47.60%
0030011,Ashford School District,5,ELA,37,42,29,40,27,38,37.80%,35.70%,41.40%,42.50%,37.00%,42.10%,55.80%,57.80%,69.70%,68.10%,65.20%,68.90%
0030011,Ashford School District,5,Math,37,42,29,40,27,38,0.00%,14.30%,34.50%,30.00%,29.60%,26.30%,6.20%,22.00%,53.70%,52.60%,50.00%,50.10%
0030011,Ashford School District,6,ELA,36,37,38,29,31,29,33.30%,64.90%,34.20%,27.60%,25.80%,41.40%,52.70%,81.30%,60.60%,49.80%,38.00%,60.50%
0030011,Ashford School District,6,Math,36,37,38,28,30,29,19.40%,45.90%,63.20%,39.30%,26.70%,65.50%,42.10%,69.40%,83.40%,60.60%,38.70%,80.30%
0030011,Ashford School District,7,ELA,47,36,40,39,32,34,42.60%,38.90%,42.50%,25.60%,46.90%,26.50%,63.60%,47.30%,57.00%,45.60%,65.50%,49.30%
0030011,Ashford School District,7,Math,46,36,40,39,32,34,76.10%,66.70%,67.50%,46.20%,40.60%,44.10%,90.80%,84.00%,78.10%,59.00%,58.90%,75.60%
0030011,Ashford School District,8,ELA,34,51,38,42,38,28,35.30%,29.40%,36.80%,33.30%,31.60%,35.70%,64.30%,49.00%,61.60%,47.30%,54.60%,52.20%
0030011,Ashford School District,8,Math,34,51,38,42,38,27,50.00%,31.40%,39.50%,38.10%,44.70%,55.60%,61.40%,44.80%,54.40%,44.60%,62.50%,69.10%
0040011,Avon School District,4,ELA,201,233,218,240,187,222,53.20%,47.60%,52.80%,51.30%,42.20%,44.10%,72.60%,67.20%,71.80%,70.10%,65.80%,65.50%
0040011,Avon School District,4,Math,204,233,217,240,187,222,44.10%,41.60%,49.30%,42.90%,44.40%,37.80%,68.20%,68.20%,71.20%,71.70%,69.60%,68.40%
0040011,Avon School District,5,ELA,256,205,251,216,231,191,53.50%,54.10%,53.40%,51.90%,50.20%,33.50%,73.10%,71.30%,72.60%,68.70%,69.10%,52.60%
0040011,Avon School District,5,Math,258,204,251,216,231,191,40.30%,49.00%,42.60%,51.40%,50.20%,38.20%,59.90%,67.20%,62.80%,68.80%,66.50%,58.50%
0040011,Avon School District,6,ELA,258,263,214,253,223,245,63.20%,46.00%,55.60%,55.30%,37.70%,48.20%,80.10%,65.40%,70.70%,73.20%,53.90%,65.30%
0040011,Avon School District,6,Math,258,263,214,252,222,245,69.40%,51.00%,67.30%,62.70%,58.60%,62.40%,88.40%,70.00%,84.80%,81.80%,75.30%,78.60%
0040011,Avon School District,7,ELA,256,265,262,221,256,229,59.00%,41.50%,49.60%,56.10%,46.10%,45.40%,75.40%,57.00%,67.90%,73.30%,62.10%,61.60%
0040011,Avon School District,7,Math,256,264,262,220,254,228,63.70%,56.40%,64.10%,67.30%,51.20%,43.90%,82.60%,71.60%,81.90%,81.40%,64.10%,59.90%
0040011,Avon School District,8,ELA,262,257,262,260,222,264,50.00%,45.90%,56.10%,51.50%,44.60%,40.20%,64.70%,61.00%,70.20%,65.20%,60.10%,53.50%
0040011,Avon School District,8,Math,262,256,262,260,220,264,67.20%,71.50%,73.30%,57.70%,53.20%,50.00%,80.20%,85.00%,87.00%,69.80%,66.50%,62.50%
0050011,Barkhamsted School District,4,ELA,45,34,32,26,28,23,55.60%,50.00%,34.40%,46.20%,60.70%,47.80%,76.20%,72.10%,65.10%,79.60%,81.50%,74.20%
0050011,Barkhamsted School District,4,Math,45,33,32,26,28,23,35.60%,27.30%,28.10%,46.20%,42.90%,52.20%,68.10%,63.10%,65.40%,81.10%,70.30%,77.90%
0050011,Barkhamsted School District,5,ELA,44,43,36,32,23,28,40.90%,41.90%,38.90%,40.60%,34.80%,25.00%,68.50%,68.20%,60.70%,65.00%,67.20%,53.00%
0050011,Barkhamsted School District,5,Math,44,43,35,32,23,28,25.00%,30.20%,14.30%,56.30%,56.50%,35.70%,61.10%,47.60%,38.20%,72.30%,68.50%,54.80%
0050011,Barkhamsted School District,6,ELA,44,42,43,39,30,24,38.60%,42.90%,37.20%,51.30%,60.00%,45.80%,64.80%,62.00%,56.30%,67.00%,86.10%,61.60%
0050011,Barkhamsted School District,6,Math,44,42,42,39,30,24,43.20%,61.90%,59.50%,82.10%,66.70%,54.20%,69.90%,85.70%,79.40%,96.70%,81.80%,78.40%
0070011,Berlin School District,4,ELA,184,203,176,185,180,187,52.70%,47.80%,40.30%,38.90%,42.80%,38.50%,78.60%,68.00%,66.70%,62.40%,64.20%,66.10%
0070011,Berlin School District,4,Math,184,202,176,185,180,187,63.60%,53.00%,42.60%,36.80%,48.30%,57.20%,88.60%,79.20%,71.40%,63.80%,72.80%,83.10%
0070011,Berlin School District,5,ELA,243,183,208,197,169,193,51.40%,37.70%,39.40%,40.60%,46.70%,48.70%,75.10%,57.40%,62.60%,58.70%,68.10%,73.60%
0070011,Berlin School District,5,Math,243,182,207,196,169,193,34.20%,31.90%,44.90%,40.80%,42.60%,45.60%,59.80%,54.10%,66.30%,60.10%,62.00%,65.00%
0070011,Berlin School District,6,ELA,208,244,187,214,186,174,51.00%,36.90%,38.50%,30.80%,38.20%,39.10%,69.90%,54.30%,59.90%,49.10%,57.90%,58.80%
0070011,Berlin School District,6,Math,208,244,186,213,186,174,35.10%,58.20%,37.10%,44.60%,53.20%,66.70%,59.30%,78.50%,58.40%,62.40%,76.00%,82.60%
0070011,Berlin School District,7,ELA,242,209,246,193,185,194,49.20%,34.00%,43.90%,30.10%,32.40%,34.50%,68.80%,50.20%,61.30%,49.30%,51.40%,54.30%
0070011,Berlin School District,7,Math,241,209,245,191,182,192,49.00%,58.40%,54.70%,58.10%,47.30%,61.50%,69.20%,79.60%,68.60%,76.40%,66.20%,80.50%
0070011,Berlin School District,8,ELA,210,248,212,252,193,192,55.20%,39.10%,45.30%,43.30%,26.40%,28.60%,73.10%,53.50%,62.00%,58.10%,44.40%,48.20%
0070011,Berlin School District,8,Math,210,248,212,251,187,188,44.30%,57.70%,40.60%,49.40%,41.20%,46.80%,58.60%,72.00%,52.10%,64.00%,58.80%,62.00%
0080011,Bethany School District,4,ELA,50,52,51,36,53,58,58.00%,46.20%,49.00%,52.80%,49.10%,63.80%,85.10%,70.20%,74.00%,79.20%,73.60%,79.00%
0080011,Bethany School District,4,Math,50,52,50,36,53,58,50.00%,42.30%,40.00%,69.40%,66.00%,65.50%,79.20%,66.20%,72.00%,91.10%,83.60%,92.40%
0080011,Bethany School District,5,ELA,56,50,57,54,38,59,53.60%,40.00%,49.10%,51.90%,34.20%,54.20%,73.80%,61.10%,70.00%,68.10%,63.50%,75.20%
0080011,Bethany School District,5,Math,56,50,57,54,38,58,69.60%,54.00%,52.60%,51.90%,39.50%,37.90%,88.30%,70.60%,71.30%,69.80%,57.30%,58.10%
0080011,Bethany School District,6,ELA,61,55,53,61,44,45,39.30%,43.60%,50.90%,57.40%,65.90%,53.30%,53.30%,57.80%,69.80%,73.10%,79.90%,67.00%
0080011,Bethany School District,6,Math,61,55,53,61,43,45,47.50%,40.00%,49.10%,59.00%,72.10%,66.70%,69.40%,50.80%,68.60%,78.20%,93.60%,90.20%
0090011,Bethel School District,4,ELA,197,247,233,207,215,203,44.70%,39.70%,44.60%,36.70%,40.50%,38.90%,68.60%,66.50%,67.60%,56.20%,69.70%,63.20%
0090011,Bethel School District,4,Math,198,245,233,209,215,204,67.20%,45.30%,50.60%,47.80%,59.10%,48.00%,92.30%,74.10%,81.60%,73.70%,85.70%,72.80%
0090011,Bethel School District,5,ELA,199,202,256,239,229,225,47.70%,41.60%,46.50%,35.60%,45.90%,40.00%,67.90%,64.80%,69.80%,61.70%,69.20%,65.30%
0090011,Bethel School District,5,Math,198,202,254,239,227,224,64.60%,42.10%,35.80%,35.60%,64.30%,44.60%,85.10%,66.90%,56.50%,56.20%,85.10%,65.60%
0090011,Bethel School District,6,ELA,176,216,209,254,221,243,57.40%,35.60%,45.90%,40.60%,38.00%,26.30%,74.70%,53.90%,66.10%,60.40%,51.60%,48.40%
0090011,Bethel School District,6,Math,176,215,209,252,212,240,46.60%,29.80%,48.30%,42.50%,39.60%,29.60%,69.10%,49.80%,70.10%,62.20%,58.30%,44.90%
0090011,Bethel School District,7,ELA,231,182,216,218,219,234,52.40%,39.00%,39.40%,46.80%,39.30%,44.40%,71.40%,56.80%,58.20%,66.80%,56.60%,60.80%
0090011,Bethel School District,7,Math,230,182,214,218,211,224,51.70%,47.30%,56.50%,46.30%,55.50%,55.80%,73.30%,63.90%,74.70%,66.50%,70.80%,76.10%
