"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades, All Students",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Grade,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2430014,Cooperative Educational Services,7,Math,41,56,43,57,42,57,24.40%,19.60%,27.90%,35.10%,31.00%,19.30%,40.80%,33.50%,40.30%,52.90%,50.20%,39.20%
2430014,Cooperative Educational Services,8,ELA,52,36,58,44,38,43,30.80%,22.20%,46.60%,47.70%,44.70%,18.60%,52.60%,42.50%,56.10%,67.10%,61.90%,37.40%
2430014,Cooperative Educational Services,8,Math,52,36,58,44,38,43,36.50%,25.00%,32.80%,29.50%,15.80%,27.90%,55.10%,35.50%,51.00%,45.40%,35.90%,42.00%
0310011,Cornwall School District,4,ELA,*,12,11,*,10,*,*,*,*,*,*,*,*,*,*,*,*,*
0310011,Cornwall School District,4,Math,*,12,11,*,10,*,*,*,*,*,*,*,*,*,*,*,*,*
0310011,Cornwall School District,5,ELA,10,*,12,12,*,8,*,*,*,*,*,*,*,*,*,*,*,*
0310011,Cornwall School District,5,Math,10,*,12,12,*,8,*,*,*,*,*,*,*,*,*,*,*,*
0310011,Cornwall School District,6,ELA,*,10,*,11,12,*,*,*,*,*,*,*,*,*,*,*,*,*
0310011,Cornwall School District,6,Math,*,10,*,11,12,*,*,*,*,*,*,*,*,*,*,*,*,*
0310011,Cornwall School District,7,ELA,11,*,10,*,*,12,*,*,*,*,*,*,*,*,*,*,*,*
0310011,Cornwall School District,7,Math,11,*,10,*,*,12,*,*,*,*,*,*,*,*,*,*,*,*
0310011,Cornwall School District,8,ELA,19,9,*,9,19,10,*,*,*,*,*,*,*,*,*,*,*,*
0310011,Cornwall School District,8,Math,19,9,*,9,19,10,*,*,*,*,*,*,*,*,*,*,*,*
0320011,Coventry School District,4,ELA,118,119,135,113,125,96,61.90%,63.90%,70.40%,68.10%,53.60%,49.00%,82.00%,84.30%,89.60%,83.80%,77.60%,68.50%
0320011,Coventry School District,4,Math,118,119,135,113,125,95,65.30%,68.10%,72.60%,77.90%,44.00%,50.50%,90.60%,93.60%,94.40%,99.20%,70.40%,80.70%
0320011,Coventry School District,5,ELA,115,123,118,136,117,127,39.10%,40.70%,58.50%,55.90%,42.70%,53.50%,67.30%,64.50%,77.30%,74.30%,61.70%,68.20%
0320011,Coventry School District,5,Math,115,122,118,136,117,127,36.50%,44.30%,45.80%,62.50%,62.40%,76.40%,66.80%,69.10%,69.80%,83.50%,80.90%,92.10%
0320011,Coventry School District,6,ELA,119,115,122,113,120,116,47.90%,43.50%,46.70%,49.60%,45.00%,32.80%,70.70%,60.20%,68.80%,67.40%,65.70%,50.10%
0320011,Coventry School District,6,Math,119,113,122,113,119,116,42.90%,43.40%,36.90%,40.70%,22.70%,24.10%,61.90%,64.70%,62.20%,60.40%,36.40%,32.50%
0320011,Coventry School District,7,ELA,123,123,115,122,119,125,64.20%,40.70%,46.10%,48.40%,41.20%,39.20%,83.80%,57.10%,65.90%,67.90%,61.50%,58.40%
0320011,Coventry School District,7,Math,123,120,111,122,115,124,59.30%,44.20%,36.00%,38.50%,39.10%,59.70%,83.30%,63.20%,57.00%,58.50%,56.00%,77.60%
0320011,Coventry School District,8,ELA,131,126,123,112,140,121,58.80%,42.90%,41.50%,50.00%,47.10%,57.00%,78.60%,56.20%,54.30%,67.00%,62.10%,72.60%
0320011,Coventry School District,8,Math,130,126,120,110,135,121,55.40%,61.90%,40.00%,36.40%,31.90%,46.30%,74.30%,80.10%,56.50%,52.60%,47.80%,59.60%
0330011,Cromwell School District,4,ELA,147,144,135,158,146,133,32.70%,33.30%,44.40%,31.00%,39.70%,24.10%,58.10%,50.90%,68.70%,58.10%,64.30%,48.90%
0330011,Cromwell School District,4,Math,147,144,135,157,145,132,20.40%,27.80%,55.60%,40.80%,38.60%,36.40%,44.10%,54.70%,82.10%,75.60%,65.90%,69.20%
0330011,Cromwell School District,5,ELA,172,146,149,142,157,144,32.60%,37.00%,53.00%,35.90%,42.70%,34.70%,60.70%,62.60%,78.40%,67.80%,64.10%,56.00%
0330011,Cromwell School District,5,Math,172,146,149,142,157,143,30.20%,58.20%,57.00%,46.50%,44.60%,37.80%,52.40%,81.40%,78.30%,70.20%,64.70%,55.30%
0330011,Cromwell School District,6,ELA,146,178,138,149,146,155,65.80%,38.80%,55.10%,57.70%,33.60%,38.10%,83.80%,61.60%,76.60%,73.10%,54.50%,59.60%
0330011,Cromwell School District,6,Math,145,178,138,149,145,155,63.40%,59.60%,60.90%,58.40%,38.60%,36.10%,85.30%,80.70%,80.10%,76.90%,58.00%,56.30%
0330011,Cromwell School District,7,ELA,148,141,177,142,164,148,45.30%,39.00%,41.20%,43.70%,43.90%,25.00%,64.00%,53.00%,59.10%,60.80%,62.50%,43.10%
0330011,Cromwell School District,7,Math,148,138,177,142,161,146,30.40%,44.90%,53.10%,57.70%,55.30%,45.20%,49.50%,62.50%,68.00%,78.30%,75.60%,62.20%
0330011,Cromwell School District,8,ELA,140,148,137,177,135,165,47.10%,25.70%,59.10%,59.30%,43.00%,43.60%,66.00%,39.10%,74.90%,76.90%,58.10%,59.20%
0330011,Cromwell School District,8,Math,140,146,136,177,133,163,47.10%,50.70%,66.20%,64.40%,33.10%,38.70%,65.40%,66.50%,85.40%,81.30%,48.10%,52.20%
0340011,Danbury School District,4,ELA,755,852,852,855,800,811,47.00%,33.70%,45.80%,42.50%,44.30%,32.20%,72.10%,58.30%,70.80%,68.70%,70.90%,59.50%
0340011,Danbury School District,4,Math,772,853,851,853,800,810,53.50%,42.70%,42.70%,57.80%,58.30%,43.20%,82.50%,73.80%,72.30%,85.20%,86.10%,73.60%
0340011,Danbury School District,5,ELA,783,765,848,852,781,860,44.30%,32.40%,47.30%,41.20%,49.00%,33.10%,70.00%,58.20%,71.90%,66.50%,74.20%,58.30%
0340011,Danbury School District,5,Math,804,764,848,849,777,860,45.00%,47.50%,48.00%,47.30%,59.80%,39.10%,68.40%,69.70%,71.60%,68.30%,80.00%,61.50%
0340011,Danbury School District,6,ELA,712,780,719,819,806,796,34.30%,26.50%,30.90%,25.60%,33.90%,32.20%,54.20%,43.50%,48.40%,43.50%,54.00%,51.70%
0340011,Danbury School District,6,Math,726,774,717,819,802,794,37.10%,27.60%,27.20%,22.10%,25.80%,25.70%,58.60%,46.40%,44.60%,37.70%,42.70%,42.50%
0340011,Danbury School District,7,ELA,751,756,799,756,815,863,34.40%,30.80%,32.40%,37.20%,30.40%,31.10%,55.60%,48.60%,54.80%,58.90%,50.20%,50.50%
0340011,Danbury School District,7,Math,756,755,793,753,801,858,30.20%,25.60%,24.10%,29.30%,37.50%,40.70%,47.30%,41.80%,39.30%,44.90%,55.60%,59.20%
0340011,Danbury School District,8,ELA,675,802,773,810,836,878,46.70%,34.80%,33.50%,29.80%,29.90%,38.20%,66.90%,52.90%,52.60%,47.70%,48.40%,56.00%
0340011,Danbury School District,8,Math,676,797,772,801,814,876,48.10%,39.00%,35.40%,29.00%,26.40%,31.80%,64.70%,57.00%,52.50%,44.90%,41.50%,49.20%
0350011,Darien School District,4,ELA,365,350,372,341,328,327,61.40%,52.30%,58.30%,65.70%,51.20%,52.00%,82.10%,72.10%,78.70%,83.60%,69.20%,71.70%
0350011,Darien School District,4,Math,365,349,372,341,328,325,51.50%,45.00%,59.70%,65.70%,51.80%,60.00%,79.20%,66.80%,83.60%,87.20%,75.30%,83.10%
0350011,Darien School District,5,ELA,341,343,353,376,350,324,64.20%,54.50%,56.40%,60.40%,65.10%,65.70%,82.70%,70.20%,73.50%,77.70%,82.10%,85.20%
0350011,Darien School District,5,Math,341,343,351,376,347,323,71.00%,57.70%,64.40%,64.60%,65.40%,70.90%,88.80%,75.50%,82.30%,82.20%,84.10%,88.80%
0350011,Darien School District,6,ELA,385,336,339,357,326,341,55.60%,47.30%,51.00%,54.30%,46.00%,36.70%,70.80%,60.90%,64.50%,70.50%,62.40%,47.50%
0350011,Darien School District,6,Math,385,334,339,356,325,339,78.20%,75.40%,69.90%,75.30%,58.20%,53.40%,95.30%,90.30%,86.60%,89.90%,73.60%,70.30%
0350011,Darien School District,7,ELA,361,389,341,353,346,317,58.40%,48.10%,51.90%,51.00%,49.70%,44.80%,75.50%,65.70%,67.20%,64.60%,66.40%,61.70%
0350011,Darien School District,7,Math,362,388,341,352,345,317,57.70%,61.60%,66.60%,70.70%,68.40%,68.10%,73.40%,73.30%,77.80%,84.00%,82.90%,82.50%
0350011,Darien School District,8,ELA,356,345,381,336,374,346,57.00%,47.50%,50.90%,48.80%,49.20%,48.30%,71.00%,63.00%,64.50%,62.60%,61.50%,60.30%
0350011,Darien School District,8,Math,356,346,380,337,372,344,81.70%,66.20%,67.40%,69.70%,48.90%,54.40%,93.40%,80.30%,77.60%,80.10%,58.60%,66.90%
0360011,Deep River School District,4,ELA,48,45,31,39,21,24,41.70%,48.90%,67.70%,53.80%,42.90%,37.50%,66.00%,71.90%,85.80%,77.90%,60.30%,56.90%
0360011,Deep River School District,4,Math,48,45,31,39,21,24,52.10%,57.80%,67.70%,61.50%,38.10%,45.80%,75.20%,84.70%,97.80%,83.10%,65.80%,84.80%
0360011,Deep River School District,5,ELA,44,51,44,31,30,22,47.70%,43.10%,43.20%,25.80%,30.00%,45.50%,66.70%,66.70%,63.70%,43.70%,50.00%,67.60%
0360011,Deep River School District,5,Math,44,51,44,31,30,22,36.40%,54.90%,34.10%,64.50%,50.00%,63.60%,60.30%,75.90%,67.20%,83.60%,67.10%,85.70%
0360011,Deep River School District,6,ELA,54,44,53,39,35,32,55.60%,59.10%,50.90%,41.00%,42.90%,40.60%,69.40%,73.40%,65.00%,64.40%,61.60%,55.30%
0360011,Deep River School District,6,Math,54,44,53,39,35,32,61.10%,52.30%,47.20%,43.60%,68.60%,6.30%,81.50%,74.80%,70.00%,69.80%,88.70%,16.30%
0370011,Derby School District,4,ELA,121,106,100,92,74,85,38.80%,22.60%,25.00%,27.20%,23.00%,21.20%,67.00%,52.00%,49.70%,49.80%,47.10%,42.90%
0370011,Derby School District,4,Math,121,106,100,92,73,85,25.60%,27.40%,53.00%,45.70%,27.40%,16.50%,61.60%,60.50%,82.00%,78.70%,60.40%,42.90%
0370011,Derby School District,5,ELA,101,119,107,104,76,83,34.70%,18.50%,28.00%,49.00%,35.50%,32.50%,64.30%,42.30%,56.10%,77.30%,55.80%,59.10%
0370011,Derby School District,5,Math,102,119,107,104,76,82,21.60%,25.20%,43.00%,52.90%,47.40%,28.00%,41.30%,48.30%,67.60%,77.90%,71.40%,48.60%
0370011,Derby School District,6,ELA,106,94,120,106,79,82,15.10%,7.40%,17.50%,20.80%,36.70%,43.90%,24.80%,16.10%,33.90%,34.90%,56.50%,67.60%
0370011,Derby School District,6,Math,105,93,120,106,79,82,31.40%,21.50%,16.70%,21.70%,30.40%,25.60%,51.20%,43.00%,34.20%,34.70%,46.60%,40.10%
0370011,Derby School District,7,ELA,102,114,89,120,81,92,34.30%,43.90%,46.10%,30.80%,29.60%,34.80%,53.30%,62.50%,65.90%,52.60%,47.40%,50.40%
0370011,Derby School District,7,Math,102,114,88,120,79,91,17.60%,28.10%,33.00%,29.20%,30.40%,17.60%,33.80%,45.70%,46.00%,49.20%,49.80%,34.00%
0370011,Derby School District,8,ELA,90,97,117,94,88,93,34.40%,24.70%,30.80%,12.80%,26.10%,29.00%,53.40%,40.70%,50.60%,27.40%,37.80%,48.30%
0370011,Derby School District,8,Math,90,97,117,95,81,92,16.70%,17.50%,21.40%,26.30%,24.70%,20.70%,33.70%,32.50%,38.70%,40.80%,36.90%,34.50%
0400011,East Granby School District,4,ELA,48,68,72,63,69,58,52.10%,42.60%,54.20%,57.10%,34.80%,62.10%,73.50%,66.10%,74.40%,76.50%,63.60%,85.80%
0400011,East Granby School District,4,Math,48,68,72,63,68,58,52.10%,30.90%,51.40%,52.40%,52.90%,56.90%,79.80%,54.80%,72.80%,74.00%,78.10%,84.70%
0400011,East Granby School District,5,ELA,69,49,69,75,64,74,49.30%,61.20%,42.00%,62.70%,59.40%,54.10%,72.20%,78.70%,60.00%,80.40%,77.70%,77.50%
0400011,East Granby School District,5,Math,69,49,69,74,64,74,59.40%,67.30%,72.50%,77.00%,73.40%,66.20%,80.60%,90.30%,89.30%,97.60%,90.10%,88.80%
0400011,East Granby School District,6,ELA,60,70,49,68,52,66,31.70%,25.70%,36.70%,38.20%,30.80%,30.30%,46.30%,43.00%,48.50%,55.20%,47.90%,46.20%
0400011,East Granby School District,6,Math,60,71,49,68,52,66,41.70%,25.40%,30.60%,33.80%,30.80%,25.80%,55.80%,37.00%,42.10%,47.70%,42.10%,45.30%
0400011,East Granby School District,7,ELA,73,63,68,53,63,53,30.10%,61.90%,52.90%,56.60%,49.20%,43.40%,47.30%,77.90%,68.20%,75.10%,72.90%,57.30%
0400011,East Granby School District,7,Math,73,60,67,53,63,53,50.70%,56.70%,62.70%,62.30%,76.20%,56.60%,69.90%,75.20%,75.70%,77.80%,90.30%,78.10%
0400011,East Granby School District,8,ELA,60,75,63,68,69,64,43.30%,61.30%,34.90%,60.30%,55.10%,34.40%,63.50%,79.70%,51.40%,73.50%,75.50%,53.70%
0400011,East Granby School District,8,Math,60,73,60,67,68,63,46.70%,45.20%,26.70%,44.80%,23.50%,22.20%,67.70%,64.30%,41.70%,59.40%,35.50%,33.60%
0410011,East Haddam School District,4,ELA,67,65,73,66,71,69,35.80%,43.10%,50.70%,59.10%,69.00%,53.60%,54.90%,68.00%,73.80%,83.70%,91.50%,74.30%
0410011,East Haddam School District,4,Math,67,65,73,65,71,69,16.40%,33.80%,41.10%,55.40%,59.20%,37.70%,41.90%,68.90%,64.50%,77.10%,87.60%,67.70%
0410011,East Haddam School District,5,ELA,67,69,65,73,60,75,59.70%,42.00%,33.80%,35.60%,33.30%,29.30%,72.80%,71.70%,53.80%,58.90%,45.30%,46.60%
0410011,East Haddam School District,5,Math,67,69,65,72,60,75,52.20%,55.10%,24.60%,40.30%,31.70%,22.70%,73.50%,71.80%,40.80%,62.70%,52.40%,36.90%
0410011,East Haddam School District,6,ELA,75,68,67,69,77,61,53.30%,41.20%,46.30%,50.70%,36.40%,52.50%,70.30%,57.20%,62.00%,66.00%,52.10%,69.80%
0410011,East Haddam School District,6,Math,75,67,67,69,77,60,29.30%,34.30%,28.40%,47.80%,14.30%,33.30%,55.20%,53.60%,51.40%,63.10%,32.70%,57.90%
0410011,East Haddam School District,7,ELA,91,77,64,72,64,87,48.40%,37.70%,34.40%,37.50%,32.80%,33.30%,64.30%,57.70%,53.40%,60.10%,47.90%,47.60%
0410011,East Haddam School District,7,Math,91,77,64,69,62,87,48.40%,54.50%,42.20%,44.90%,33.90%,44.80%,66.60%,72.40%,67.10%,63.50%,57.50%,72.60%
0410011,East Haddam School District,8,ELA,94,92,77,70,69,71,44.70%,48.90%,37.70%,47.10%,20.30%,28.20%,60.20%,62.50%,47.60%,64.40%,32.60%,38.30%
0410011,East Haddam School District,8,Math,92,92,77,70,65,70,16.30%,46.70%,29.90%,47.10%,35.40%,42.90%,28.50%,68.10%,47.50%,66.60%,54.50%,58.80%
0420011,East Hampton School District,4,ELA,146,159,146,127,132,117,33.60%,30.20%,38.40%,32.30%,37.10%,46.20%,60.10%,54.80%,58.90%,58.30%,63.80%,71.00%
0420011,East Hampton School District,4,Math,144,159,146,126,131,116,52.80%,42.10%,43.80%,42.90%,46.60%,42.20%,80.00%,77.40%,74.50%,75.60%,72.90%,73.20%
0420011,East Hampton School District,5,ELA,120,152,161,140,141,136,36.70%,54.60%,47.20%,47.90%,40.40%,48.50%,55.30%,77.50%,73.60%,67.50%,64.50%,71.10%
0420011,East Hampton School District,5,Math,119,152,161,140,141,135,43.70%,41.40%,39.10%,41.40%,39.00%,42.20%,70.20%,67.50%,59.20%,62.90%,63.30%,64.90%
0420011,East Hampton School District,6,ELA,141,119,151,155,143,138,29.10%,37.80%,30.50%,28.40%,28.00%,36.20%,42.60%,58.60%,46.30%,43.90%,46.00%,56.90%
0420011,East Hampton School District,6,Math,141,119,151,155,142,137,19.10%,37.80%,35.80%,30.30%,35.90%,18.20%,38.60%,60.40%,57.70%,50.90%,55.30%,38.80%
0420011,East Hampton School District,7,ELA,116,139,127,150,120,143,33.60%,35.30%,24.40%,36.70%,37.50%,37.10%,50.70%,56.10%,43.10%,61.50%,54.00%,54.70%
0420011,East Hampton School District,7,Math,115,139,127,150,120,143,27.80%,36.00%,26.00%,55.30%,47.50%,32.20%,41.80%,55.00%,40.20%,76.20%,69.10%,52.90%
0420011,East Hampton School District,8,ELA,125,118,138,131,124,125,40.00%,38.10%,34.10%,38.90%,35.50%,46.40%,57.70%,54.20%,55.70%,55.90%,50.30%,62.90%
0420011,East Hampton School District,8,Math,125,118,138,131,124,123,28.80%,39.00%,38.40%,47.30%,29.80%,22.80%,43.10%,55.70%,56.10%,66.00%,45.80%,36.10%
0430011,East Hartford School District,4,ELA,469,476,516,448,409,406,39.00%,37.00%,34.90%,40.00%,36.20%,36.70%,66.70%,61.70%,62.00%,65.50%,63.60%,62.60%
0430011,East Hartford School District,4,Math,469,472,505,447,402,406,32.60%,23.50%,29.50%,35.10%,55.00%,47.50%,66.30%,57.70%,60.70%,66.20%,80.70%,76.70%
0430011,East Hartford School District,5,ELA,477,483,507,500,402,423,40.30%,28.20%,34.70%,44.00%,36.60%,34.00%,64.60%,52.40%,63.70%,69.80%,61.10%,58.40%
0430011,East Hartford School District,5,Math,477,473,499,495,395,424,17.80%,26.20%,27.50%,40.60%,52.20%,47.40%,37.60%,47.80%,50.20%,60.80%,74.00%,71.30%
0430011,East Hartford School District,6,ELA,382,420,448,452,345,368,38.50%,28.80%,31.30%,24.80%,47.20%,45.90%,61.10%,51.00%,51.60%,47.40%,69.00%,67.70%
0430011,East Hartford School District,6,Math,383,399,440,445,334,366,28.50%,27.30%,33.00%,33.00%,50.30%,43.70%,48.10%,45.50%,50.30%,53.20%,67.10%,65.70%
0430011,East Hartford School District,7,ELA,429,380,421,436,352,353,26.80%,26.10%,37.30%,35.30%,49.70%,39.70%,48.60%,45.30%,58.30%,55.80%,71.00%,61.90%
0430011,East Hartford School District,7,Math,428,353,400,431,339,342,25.90%,43.30%,53.00%,30.90%,48.70%,40.10%,42.50%,65.80%,72.40%,48.90%,65.40%,59.20%
0430011,East Hartford School District,8,ELA,435,420,413,412,426,377,34.90%,27.10%,48.70%,34.00%,38.30%,25.20%,55.40%,48.00%,68.00%,52.00%,58.30%,43.30%
0430011,East Hartford School District,8,Math,438,418,383,409,417,369,29.50%,26.30%,43.90%,28.10%,39.10%,27.40%,45.30%,42.70%,60.70%,41.70%,54.90%,45.20%
0440011,East Haven School District,4,ELA,205,186,176,189,143,196,41.00%,39.20%,40.30%,34.40%,39.20%,41.30%,69.00%,63.00%,63.00%,60.80%,67.50%,70.30%
0440011,East Haven School District,4,Math,206,186,174,189,143,196,39.80%,32.30%,37.40%,22.80%,41.30%,43.40%,72.20%,65.00%,68.10%,57.80%,70.90%,75.70%
0440011,East Haven School District,5,ELA,192,197,186,197,175,157,29.70%,20.80%,43.00%,33.00%,46.30%,37.60%,59.90%,51.10%,70.20%,58.60%,68.50%,60.80%
0440011,East Haven School District,5,Math,192,197,186,194,174,157,39.10%,25.40%,30.60%,29.90%,46.00%,43.30%,66.40%,50.20%,52.80%,51.60%,66.40%,63.20%
0440011,East Haven School District,6,ELA,204,194,193,184,189,185,46.60%,37.10%,34.70%,38.00%,29.60%,23.20%,66.40%,53.90%,55.30%,55.70%,51.70%,42.40%
0440011,East Haven School District,6,Math,207,194,192,184,184,184,43.00%,33.50%,36.50%,45.10%,40.80%,32.60%,66.90%,55.60%,57.30%,62.20%,62.60%,53.20%
0440011,East Haven School District,7,ELA,230,203,195,197,193,194,48.70%,19.70%,33.30%,40.60%,35.20%,31.40%,73.00%,35.40%,47.20%,64.10%,52.40%,49.80%
0440011,East Haven School District,7,Math,226,204,196,197,190,192,27.90%,27.00%,15.80%,32.50%,36.80%,34.40%,45.00%,41.40%,29.70%,50.90%,54.50%,51.50%
0440011,East Haven School District,8,ELA,228,237,197,195,191,207,44.70%,24.50%,22.30%,33.80%,35.60%,31.40%,68.30%,37.60%,38.70%,51.60%,52.40%,46.40%
0440011,East Haven School District,8,Math,228,233,198,193,189,205,39.50%,32.20%,31.30%,31.10%,24.30%,21.50%,56.80%,44.90%,48.90%,50.90%,37.50%,37.40%
0450011,East Lyme School District,4,ELA,180,161,190,159,144,154,55.60%,42.90%,60.00%,56.00%,54.20%,52.60%,79.30%,69.50%,81.10%,76.20%,78.40%,74.80%
0450011,East Lyme School District,4,Math,180,161,190,159,144,152,56.10%,48.40%,65.80%,59.70%,77.10%,67.80%,83.80%,77.80%,90.20%,84.00%,96.20%,91.20%
0450011,East Lyme School District,5,ELA,188,183,158,193,159,151,46.80%,26.80%,34.80%,31.10%,39.60%,27.80%,63.40%,44.20%,57.80%,48.10%,56.70%,47.00%
0450011,East Lyme School District,5,Math,187,183,158,193,158,150,36.40%,30.60%,20.30%,26.40%,26.60%,24.00%,56.60%,48.20%,30.50%,38.50%,39.20%,35.90%
0450011,East Lyme School District,6,ELA,193,201,190,156,155,176,44.00%,36.30%,48.40%,42.90%,36.80%,47.70%,63.10%,52.70%,64.40%,59.40%,54.40%,65.00%
0450011,East Lyme School District,6,Math,192,201,190,156,155,175,62.50%,50.20%,44.20%,52.60%,40.00%,45.10%,86.10%,70.00%,64.30%,73.40%,63.00%,66.10%
0450011,East Lyme School District,7,ELA,212,199,200,194,164,165,48.60%,45.70%,51.50%,45.40%,40.20%,42.40%,62.30%,62.80%,67.20%,65.10%,61.00%,62.90%
0450011,East Lyme School District,7,Math,212,198,200,194,164,164,57.10%,36.90%,48.50%,47.40%,56.70%,52.40%,73.00%,53.70%,67.00%,68.30%,75.00%,69.50%
0450011,East Lyme School District,8,ELA,188,211,204,195,205,171,40.40%,40.30%,41.20%,52.30%,40.00%,42.70%,57.60%,54.00%,58.20%,69.10%,55.70%,58.30%
0450011,East Lyme School District,8,Math,186,211,204,195,205,171,38.70%,49.30%,33.80%,44.10%,39.00%,39.20%,53.90%,62.20%,46.30%,56.90%,55.10%,50.80%
0470011,East Windsor School District,4,ELA,68,75,75,66,63,67,35.30%,21.30%,36.00%,30.30%,54.00%,46.30%,62.50%,51.70%,68.30%,61.10%,80.40%,70.60%
0470011,East Windsor School District,4,Math,69,75,75,67,61,66,39.10%,24.00%,57.30%,31.30%,65.60%,42.40%,74.60%,58.90%,85.90%,71.00%,94.90%,75.80%
0470011,East Windsor School District,5,ELA,74,69,79,75,74,74,27.00%,21.70%,21.50%,26.70%,45.90%,41.90%,54.30%,44.70%,47.50%,52.10%,71.80%,66.30%
0470011,East Windsor School District,5,Math,74,69,79,75,73,74,12.20%,17.40%,25.30%,25.30%,76.70%,37.80%,32.40%,39.80%,47.20%,44.90%,90.60%,62.30%
0470011,East Windsor School District,6,ELA,73,73,61,78,64,77,37.00%,43.80%,37.70%,39.70%,39.10%,24.70%,59.10%,64.00%,60.60%,59.80%,58.30%,46.40%
0470011,East Windsor School District,6,Math,73,73,61,78,64,77,30.10%,42.50%,45.90%,11.50%,53.10%,29.90%,49.90%,64.90%,67.70%,30.70%,71.60%,44.20%
0470011,East Windsor School District,7,ELA,62,69,73,63,69,64,27.40%,24.60%,30.10%,30.20%,42.00%,40.60%,54.30%,47.60%,53.50%,45.30%,60.90%,60.60%
0470011,East Windsor School District,7,Math,62,69,73,65,67,64,27.40%,33.30%,26.00%,23.10%,74.60%,57.80%,49.90%,53.10%,38.00%,35.80%,88.30%,73.70%
0470011,East Windsor School District,8,ELA,68,65,69,78,70,72,39.70%,33.80%,39.10%,28.20%,37.10%,30.60%,61.70%,48.10%,53.10%,53.30%,53.20%,47.10%
0470011,East Windsor School District,8,Math,69,64,69,79,70,70,56.50%,26.60%,37.70%,31.60%,47.10%,22.90%,76.70%,45.20%,50.20%,47.70%,58.90%,32.40%
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),4,ELA,*,*,*,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),4,Math,*,*,*,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),5,ELA,*,7,*,*,6,*,*,*,*,*,*,*,*,*,*,*,*,*
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),5,Math,*,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),6,ELA,9,*,17,*,8,*,*,*,*,*,*,*,*,*,*,*,*,*
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),6,Math,7,*,17,*,7,*,*,*,*,*,*,*,*,*,*,*,*,*
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),7,ELA,11,6,*,11,*,6,*,*,*,*,*,*,*,*,*,*,*,*
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),7,Math,10,*,*,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),8,ELA,*,*,6,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),8,Math,*,*,6,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0390011,Eastford School District,4,ELA,12,16,14,13,*,19,*,*,*,*,*,*,*,*,*,*,*,*
0390011,Eastford School District,4,Math,12,16,14,13,*,18,*,*,*,*,*,*,*,*,*,*,*,*
0390011,Eastford School District,5,ELA,19,12,17,13,19,7,*,*,*,*,*,*,*,*,*,*,*,*
0390011,Eastford School District,5,Math,19,12,17,13,19,7,*,*,*,*,*,*,*,*,*,*,*,*
0390011,Eastford School District,6,ELA,12,20,12,17,*,21,*,45.00%,*,*,*,90.50%,*,61.60%,*,*,*,100.00%
0390011,Eastford School District,6,Math,12,20,12,17,*,21,*,35.00%,*,*,*,57.10%,*,61.70%,*,*,*,77.20%
0390011,Eastford School District,7,ELA,9,14,21,13,10,10,*,*,28.60%,*,*,*,*,*,52.10%,*,*,*
0390011,Eastford School District,7,Math,9,14,21,13,10,10,*,*,42.90%,*,*,*,*,*,67.90%,*,*,*
0390011,Eastford School District,8,ELA,15,12,14,20,11,10,*,*,*,20.00%,*,*,*,*,*,31.40%,*,*
0390011,Eastford School District,8,Math,15,12,14,20,11,10,*,*,*,50.00%,*,*,*,*,*,60.70%,*,*
0460011,Easton School District,4,ELA,101,95,90,89,92,90,73.30%,48.40%,51.10%,68.50%,62.00%,53.30%,90.30%,68.20%,73.40%,84.90%,81.10%,81.70%
0460011,Easton School District,4,Math,100,94,89,89,92,90,67.00%,57.40%,52.80%,65.20%,65.20%,70.00%,93.70%,79.20%,78.80%,85.30%,89.90%,92.80%
0460011,Easton School District,5,ELA,112,101,97,95,81,94,64.30%,45.50%,59.80%,40.00%,59.30%,44.70%,84.40%,62.00%,83.30%,57.10%,84.10%,61.70%
0460011,Easton School District,5,Math,113,101,97,95,81,94,70.80%,46.50%,43.30%,37.90%,48.10%,47.90%,90.60%,67.70%,58.20%,57.00%,74.90%,62.60%
