"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, All Students",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
District Code,District,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0140011,Branford School District,ELA,1047,1035,1030,1010,879,918,43.80%,37.10%,31.70%,43.70%,39.50%,38.80%,62.90%,55.00%,49.50%,63.50%,58.90%,57.50%
0140011,Branford School District,Math,1046,1033,1029,1007,875,916,41.70%,39.50%,40.70%,41.60%,43.10%,44.20%,63.00%,59.60%,61.30%,60.50%,63.40%,64.70%
2900013,Brass City Charter School District,ELA,*,38,71,100,160,160,*,23.70%,46.50%,35.00%,46.90%,32.50%,*,47.40%,66.70%,50.90%,69.90%,55.50%
2900013,Brass City Charter School District,Math,*,38,71,100,160,160,*,10.50%,57.70%,30.00%,55.60%,28.10%,*,19.00%,79.90%,53.00%,76.90%,45.20%
0150011,Bridgeport School District,ELA,6596,6767,6805,6974,5647,6319,31.00%,26.20%,35.40%,30.40%,36.80%,26.30%,54.60%,48.80%,59.80%,53.40%,60.50%,49.50%
0150011,Bridgeport School District,Math,6719,6752,6768,6956,5393,6295,29.10%,35.00%,33.00%,32.00%,36.10%,30.70%,50.90%,55.80%,53.70%,52.60%,56.60%,50.30%
0170011,Bristol School District,ELA,2765,2855,2853,2900,2465,2583,42.00%,34.90%,38.00%,33.00%,45.10%,37.70%,64.30%,54.90%,60.40%,53.90%,66.30%,57.60%
0170011,Bristol School District,Math,2782,2849,2840,2878,2412,2560,43.00%,37.20%,39.30%,35.40%,51.60%,46.30%,65.60%,58.40%,59.30%,54.80%,70.90%,65.80%
0180011,Brookfield School District,ELA,957,954,931,898,844,867,43.60%,41.80%,43.60%,43.50%,41.20%,48.10%,63.30%,60.80%,63.10%,65.00%,60.80%,68.00%
0180011,Brookfield School District,Math,957,949,928,895,841,863,45.70%,52.20%,47.50%,55.30%,46.60%,53.10%,67.90%,72.00%,67.20%,76.70%,66.70%,73.90%
0190011,Brooklyn School District,ELA,423,389,415,421,385,415,48.70%,42.70%,48.00%,36.80%,40.50%,41.40%,68.90%,61.60%,65.80%,57.60%,60.60%,62.20%
0190011,Brooklyn School District,Math,423,388,416,422,383,416,38.50%,45.40%,42.50%,41.70%,45.40%,43.00%,58.80%,64.80%,63.00%,62.20%,65.40%,65.00%
0210011,Canaan School District,ELA,39,38,38,31,31,36,53.80%,28.90%,44.70%,45.20%,32.30%,47.20%,71.10%,49.80%,67.20%,64.30%,44.60%,68.00%
0210011,Canaan School District,Math,39,38,38,31,31,36,23.10%,36.80%,44.70%,48.40%,45.20%,41.70%,45.30%,52.80%,65.20%,67.40%,59.20%,64.40%
0220011,Canterbury School District,ELA,248,237,210,215,218,235,44.40%,28.30%,35.70%,35.30%,42.20%,38.30%,66.90%,44.30%,57.70%,56.40%,62.10%,60.10%
0220011,Canterbury School District,Math,248,237,210,214,214,232,44.40%,43.00%,25.70%,36.00%,40.70%,55.20%,67.60%,63.10%,46.50%,60.40%,59.80%,77.20%
0230011,Canton School District,ELA,644,635,598,576,522,536,51.20%,38.00%,42.30%,42.00%,35.60%,39.20%,71.10%,57.00%,61.40%,60.60%,53.80%,58.40%
0230011,Canton School District,Math,644,632,595,575,520,532,55.10%,43.20%,53.80%,48.70%,35.60%,41.40%,76.50%,61.90%,72.30%,65.10%,54.90%,60.20%
2970013,Capital Preparatory Harbor School District,ELA,88,96,138,219,255,296,35.20%,52.10%,39.10%,26.90%,37.30%,40.20%,56.80%,73.90%,62.10%,51.30%,60.30%,62.50%
2970013,Capital Preparatory Harbor School District,Math,87,96,138,218,254,296,13.80%,79.20%,40.60%,43.60%,41.30%,36.50%,31.60%,90.30%,63.40%,64.50%,61.40%,59.30%
2410014,Capitol Region Education Council,ELA,2539,2644,2766,2929,2658,2876,39.90%,36.20%,39.00%,37.00%,29.10%,32.30%,61.40%,56.60%,58.80%,56.60%,49.70%,54.50%
2410014,Capitol Region Education Council,Math,2512,2613,2750,2907,2554,2820,37.30%,39.80%,32.70%,31.30%,27.70%,32.10%,58.40%,59.40%,52.40%,49.40%,46.70%,52.20%
0240011,Chaplin School District,ELA,43,51,46,52,55,46,55.80%,43.10%,41.30%,30.80%,34.50%,37.00%,79.00%,60.30%,64.90%,48.70%,58.90%,54.70%
0240011,Chaplin School District,Math,42,50,46,51,55,46,31.00%,60.00%,54.30%,43.10%,36.40%,52.20%,43.80%,80.20%,81.60%,70.70%,72.90%,74.70%
0250011,Cheshire School District,ELA,1688,1657,1599,1500,1413,1485,52.70%,44.40%,52.50%,54.30%,43.00%,49.90%,70.00%,62.20%,69.70%,70.50%,60.10%,68.90%
0250011,Cheshire School District,Math,1689,1654,1595,1498,1407,1479,53.10%,49.50%,50.70%,58.90%,50.60%,56.70%,72.90%,68.10%,67.80%,77.30%,68.90%,73.20%
0260011,Chester School District,ELA,100,89,84,82,79,84,50.00%,61.80%,59.50%,56.10%,39.20%,46.40%,68.60%,80.00%,77.80%,78.50%,63.30%,64.20%
