"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades, English Learner Status (EL)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,School Code,School,Grade,Subject,English Learner Status (EL),2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,4,Math,Non-ELL,*,*,*,80,*,*,45.10%,80.80%,56.30%,27.50%,43.40%,36.00%,80.00%,100.00%,79.40%,39.70%,75.00%,63.90%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,5,ELA,ELL,*,6,7,6,6,*,*,*,*,*,*,*,*,*,*,*,*,*
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,5,ELA,Non-ELL,131,117,104,90,72,*,37.40%,28.20%,36.50%,32.20%,33.30%,26.90%,61.70%,48.60%,56.40%,47.90%,60.30%,52.30%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,5,Math,ELL,*,6,6,6,6,*,*,*,*,*,*,*,*,*,*,*,*,*
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,5,Math,Non-ELL,130,115,104,90,63,*,34.60%,28.70%,48.10%,28.90%,36.50%,9.00%,51.90%,44.00%,66.20%,44.40%,61.70%,19.90%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,6,ELA,ELL,9,7,*,*,*,9,*,*,*,*,*,*,*,*,*,*,*,*
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,6,ELA,Non-ELL,122,105,*,*,*,54,47.50%,58.10%,60.00%,48.50%,54.90%,33.30%,73.60%,76.70%,77.30%,66.40%,78.30%,50.00%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,6,Math,ELL,9,7,*,*,*,9,*,*,*,*,*,*,*,*,*,*,*,*
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,6,Math,Non-ELL,121,103,*,*,*,52,53.70%,59.20%,55.20%,37.40%,66.20%,7.70%,75.90%,78.60%,74.30%,62.10%,84.90%,23.40%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,7,ELA,ELL,*,19,9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,7,ELA,Non-ELL,*,104,107,*,*,*,48.10%,37.50%,46.70%,41.50%,60.00%,32.50%,69.00%,54.80%,68.80%,65.00%,80.60%,56.60%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,7,Math,ELL,*,19,9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,7,Math,Non-ELL,*,104,107,*,*,*,25.90%,35.60%,61.70%,52.70%,54.90%,22.20%,47.00%,55.60%,79.10%,74.90%,76.70%,39.70%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,8,ELA,ELL,*,*,8,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,8,ELA,Non-ELL,*,*,110,*,*,*,58.30%,60.40%,62.70%,42.60%,48.80%,35.40%,76.60%,74.90%,81.60%,61.70%,70.70%,52.90%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,8,Math,ELL,*,*,8,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,8,Math,Non-ELL,*,*,109,*,*,*,54.10%,64.60%,64.20%,45.50%,45.80%,11.00%,68.70%,76.80%,83.30%,63.20%,68.20%,19.00%
2790013,Amistad Academy District,2795113,Amistad Academy,4,ELA,ELL,*,9,15,13,11,16,*,*,*,*,*,*,*,*,*,*,*,*
2790013,Amistad Academy District,2795113,Amistad Academy,4,ELA,Non-ELL,*,75,70,70,80,76,51.30%,36.00%,62.90%,48.60%,52.50%,38.20%,76.10%,51.60%,88.80%,75.90%,76.30%,68.80%
2790013,Amistad Academy District,2795113,Amistad Academy,4,Math,ELL,*,9,15,13,10,16,*,*,*,*,*,*,*,*,*,*,*,*
2790013,Amistad Academy District,2795113,Amistad Academy,4,Math,Non-ELL,*,74,70,70,76,75,59.50%,29.70%,58.60%,50.00%,39.50%,40.00%,87.60%,49.20%,83.40%,71.60%,70.90%,72.20%
2790013,Amistad Academy District,2795113,Amistad Academy,5,ELA,ELL,*,*,10,13,18,12,*,*,*,*,*,*,*,*,*,*,*,*
2790013,Amistad Academy District,2795113,Amistad Academy,5,ELA,Non-ELL,*,*,80,66,72,82,46.40%,34.90%,30.00%,34.80%,50.00%,19.50%,69.50%,50.10%,48.90%,56.80%,80.90%,41.60%
2790013,Amistad Academy District,2795113,Amistad Academy,5,Math,ELL,*,*,10,13,18,11,*,*,*,*,*,*,*,*,*,*,*,*
2790013,Amistad Academy District,2795113,Amistad Academy,5,Math,Non-ELL,*,*,80,66,70,78,36.90%,29.10%,25.00%,42.40%,50.00%,15.40%,60.90%,47.20%,49.40%,60.70%,67.70%,29.90%
2790013,Amistad Academy District,2795113,Amistad Academy,6,ELA,ELL,6,*,7,10,6,19,*,*,*,*,*,*,*,*,*,*,*,*
2790013,Amistad Academy District,2795113,Amistad Academy,6,ELA,Non-ELL,76,*,81,70,78,71,44.70%,31.00%,39.50%,44.30%,47.40%,29.60%,68.00%,49.70%,61.30%,64.20%,69.50%,50.80%
2790013,Amistad Academy District,2795113,Amistad Academy,6,Math,ELL,6,*,7,10,6,19,*,*,*,*,*,*,*,*,*,*,*,*
2790013,Amistad Academy District,2795113,Amistad Academy,6,Math,Non-ELL,76,*,81,71,72,73,75.00%,65.50%,69.10%,49.30%,38.90%,30.10%,90.60%,83.10%,85.50%,72.90%,59.50%,53.70%
2790013,Amistad Academy District,2795113,Amistad Academy,7,ELA,ELL,6,8,*,*,7,6,*,*,*,*,*,*,*,*,*,*,*,*
2790013,Amistad Academy District,2795113,Amistad Academy,7,ELA,Non-ELL,79,77,*,*,74,77,29.10%,37.70%,31.00%,47.50%,62.20%,53.20%,52.50%,52.30%,50.00%,66.40%,83.10%,79.50%
2790013,Amistad Academy District,2795113,Amistad Academy,7,Math,ELL,6,8,*,*,7,6,*,*,*,*,*,*,*,*,*,*,*,*
2790013,Amistad Academy District,2795113,Amistad Academy,7,Math,Non-ELL,79,77,*,*,72,76,41.80%,39.00%,37.30%,50.00%,73.60%,61.80%,63.60%,49.10%,51.50%,63.60%,91.20%,83.30%
2790013,Amistad Academy District,2795113,Amistad Academy,8,ELA,ELL,6,6,8,*,6,8,*,*,*,*,*,*,*,*,*,*,*,*
2790013,Amistad Academy District,2795113,Amistad Academy,8,ELA,Non-ELL,70,77,69,*,79,75,45.70%,35.10%,40.60%,43.20%,60.80%,37.30%,69.50%,49.40%,56.30%,63.20%,78.50%,53.50%
2790013,Amistad Academy District,2795113,Amistad Academy,8,Math,ELL,6,6,8,*,6,7,*,*,*,*,*,*,*,*,*,*,*,*
