"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades, All Students",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,School Code,School,Grade,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0020011,Ansonia School District,0020311,Mead School,4,ELA,79,84,73,84,81,83,29.10%,25.00%,26.00%,14.30%,24.70%,31.30%,57.70%,48.40%,46.30%,32.30%,56.80%,58.50%
0020011,Ansonia School District,0020311,Mead School,4,Math,79,84,72,84,81,83,19.00%,35.70%,31.90%,4.80%,22.20%,44.60%,52.00%,67.50%,60.20%,23.10%,60.10%,77.10%
0020011,Ansonia School District,0020311,Mead School,5,ELA,80,78,85,73,80,86,17.50%,21.80%,24.70%,23.30%,38.80%,30.20%,45.60%,48.50%,54.00%,47.20%,65.40%,61.40%
0020011,Ansonia School District,0020311,Mead School,5,Math,80,78,85,73,80,86,22.50%,21.80%,22.40%,34.20%,47.50%,39.50%,43.40%,39.40%,42.90%,53.30%,71.40%,70.30%
0020011,Ansonia School District,0020311,Mead School,6,ELA,85,81,78,82,*,*,32.90%,27.20%,29.50%,24.40%,*,*,57.00%,54.00%,53.30%,41.60%,*,*
0020011,Ansonia School District,0020311,Mead School,6,Math,85,81,78,82,*,*,60.00%,43.20%,55.10%,26.80%,*,*,81.40%,67.90%,77.10%,44.70%,*,*
0020011,Ansonia School District,0020811,Prendergast School,4,ELA,76,80,84,78,79,78,35.50%,16.30%,21.40%,20.50%,22.80%,20.50%,61.40%,38.70%,49.00%,47.80%,47.10%,46.00%
0020011,Ansonia School District,0020811,Prendergast School,4,Math,76,79,82,78,78,78,31.60%,22.80%,26.80%,20.50%,42.30%,35.90%,72.60%,51.50%,59.30%,51.80%,73.50%,69.50%
0020011,Ansonia School District,0020811,Prendergast School,5,ELA,90,77,82,78,76,87,23.30%,13.00%,45.10%,21.80%,31.60%,16.10%,50.70%,37.10%,74.60%,44.70%,56.10%,38.80%
0020011,Ansonia School District,0020811,Prendergast School,5,Math,91,77,82,78,76,87,23.10%,10.40%,39.00%,23.10%,39.50%,20.70%,38.20%,35.70%,64.60%,47.20%,61.20%,37.10%
0020011,Ansonia School District,0020811,Prendergast School,6,ELA,74,81,77,91,*,*,51.40%,51.90%,36.40%,34.10%,*,*,69.80%,70.40%,57.40%,50.20%,*,*
0020011,Ansonia School District,0020811,Prendergast School,6,Math,74,80,77,91,*,*,62.20%,51.30%,54.50%,62.60%,*,*,80.20%,74.00%,76.90%,81.40%,*,*
2440014,Area Cooperative Educational Services,2440214,ACES Mill Elementary School,4,ELA,*,*,*,*,11,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440214,ACES Mill Elementary School,4,Math,*,*,*,*,11,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440214,ACES Mill Elementary School,5,ELA,*,*,*,*,14,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440214,ACES Mill Elementary School,5,Math,*,*,*,*,13,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,4,ELA,*,*,*,*,*,13,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,4,Math,*,*,*,*,*,12,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,5,ELA,*,*,*,*,*,15,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,5,Math,*,*,*,*,*,13,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,6,ELA,*,*,*,*,21,9,*,*,*,*,28.60%,*,*,*,*,*,47.00%,*
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,6,Math,*,*,*,*,17,8,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,7,ELA,*,*,*,*,14,22,*,*,*,*,*,18.20%,*,*,*,*,*,42.50%
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,7,Math,*,*,*,*,13,20,*,*,*,*,*,45.00%,*,*,*,*,*,61.90%
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,8,ELA,*,*,*,*,29,19,*,*,*,*,24.10%,*,*,*,*,*,43.50%,*
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,8,Math,*,*,*,*,24,13,*,*,*,*,37.50%,*,*,*,*,*,42.60%,*
2440014,Area Cooperative Educational Services,2449414,Mill Academy,4,ELA,25,15,18,*,*,*,16.00%,*,*,*,*,*,43.20%,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449414,Mill Academy,4,Math,25,13,18,17,*,*,8.00%,*,*,*,*,*,42.70%,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449414,Mill Academy,5,ELA,20,26,22,23,*,*,10.00%,30.80%,9.10%,13.00%,*,*,37.40%,57.80%,43.70%,36.30%,*,*
2440014,Area Cooperative Educational Services,2449414,Mill Academy,5,Math,19,24,20,21,*,*,*,25.00%,45.00%,14.30%,*,*,*,53.30%,71.30%,54.40%,*,*
2440014,Area Cooperative Educational Services,2449414,Mill Academy,6,ELA,11,19,21,20,*,*,*,*,14.30%,20.00%,*,*,*,*,34.60%,35.90%,*,*
2440014,Area Cooperative Educational Services,2449414,Mill Academy,6,Math,11,18,19,19,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449414,Mill Academy,7,ELA,19,21,16,29,*,*,*,28.60%,*,13.80%,*,*,*,48.60%,*,32.80%,*,*
2440014,Area Cooperative Educational Services,2449414,Mill Academy,7,Math,15,21,16,24,*,*,*,42.90%,*,33.30%,*,*,*,62.70%,*,48.10%,*,*
2440014,Area Cooperative Educational Services,2449414,Mill Academy,8,ELA,19,17,24,20,*,*,*,*,25.00%,15.00%,*,*,*,*,40.20%,27.90%,*,*
2440014,Area Cooperative Educational Services,2449414,Mill Academy,8,Math,18,14,25,15,*,*,*,*,12.00%,*,*,*,*,*,32.60%,*,*,*
2440014,Area Cooperative Educational Services,2440514,ACES at Ansonia Middle School,6,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440514,ACES at Ansonia Middle School,6,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440514,ACES at Ansonia Middle School,7,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440514,ACES at Ansonia Middle School,7,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2445114,ACES at Chase,6,ELA,*,*,*,*,215,171,*,*,*,*,38.10%,33.90%,*,*,*,*,56.90%,47.90%
2440014,Area Cooperative Educational Services,2445114,ACES at Chase,6,Math,*,*,*,*,211,171,*,*,*,*,37.00%,38.00%,*,*,*,*,54.80%,57.20%
2440014,Area Cooperative Educational Services,2445114,ACES at Chase,7,ELA,*,*,*,*,196,227,*,*,*,*,36.20%,32.20%,*,*,*,*,56.50%,52.20%
2440014,Area Cooperative Educational Services,2445114,ACES at Chase,7,Math,*,*,*,*,192,226,*,*,*,*,31.30%,37.20%,*,*,*,*,52.20%,56.20%
2440014,Area Cooperative Educational Services,2445114,ACES at Chase,8,ELA,*,*,*,*,160,224,*,*,*,*,35.00%,23.70%,*,*,*,*,52.10%,41.00%
2440014,Area Cooperative Educational Services,2445114,ACES at Chase,8,Math,*,*,*,*,148,224,*,*,*,*,29.70%,29.50%,*,*,*,*,46.60%,46.80%
2440014,Area Cooperative Educational Services,2445114,Thomas Edison Magnet Middle School,6,ELA,240,230,224,237,*,*,21.30%,31.70%,34.40%,30.40%,*,*,38.50%,50.00%,53.20%,47.60%,*,*
2440014,Area Cooperative Educational Services,2445114,Thomas Edison Magnet Middle School,6,Math,242,229,224,236,*,*,24.80%,41.90%,42.00%,38.10%,*,*,43.10%,62.30%,62.40%,56.50%,*,*
2440014,Area Cooperative Educational Services,2445114,Thomas Edison Magnet Middle School,7,ELA,240,243,226,225,*,*,32.10%,42.80%,42.50%,48.00%,*,*,53.70%,65.00%,61.90%,71.50%,*,*
2440014,Area Cooperative Educational Services,2445114,Thomas Edison Magnet Middle School,7,Math,240,243,226,223,*,*,52.90%,46.50%,38.10%,32.70%,*,*,73.10%,66.30%,58.40%,52.30%,*,*
2440014,Area Cooperative Educational Services,2445114,Thomas Edison Magnet Middle School,8,ELA,214,234,232,218,*,*,32.70%,37.60%,43.50%,34.40%,*,*,50.60%,56.70%,63.00%,51.20%,*,*
2440014,Area Cooperative Educational Services,2445114,Thomas Edison Magnet Middle School,8,Math,214,234,231,218,*,*,32.70%,36.80%,31.60%,55.00%,*,*,49.80%,52.70%,51.70%,71.50%,*,*
2440014,Area Cooperative Educational Services,2440414,ACES at Mead Elementary School,4,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440414,ACES at Mead Elementary School,4,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440414,ACES at Mead Elementary School,5,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440414,ACES at Mead Elementary School,5,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449514,Village School,4,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449514,Village School,4,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449514,Village School,5,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449514,Village School,5,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449514,Village School,6,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449514,Village School,6,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449514,Village School,7,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449514,Village School,7,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449514,Village School,8,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449514,Village School,8,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict  Magnet School,4,ELA,69,70,70,60,*,*,33.30%,31.40%,21.40%,28.30%,*,*,54.70%,52.40%,52.20%,53.80%,*,*
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict  Magnet School,4,Math,69,70,70,60,*,*,23.20%,21.40%,25.70%,31.70%,*,*,57.30%,46.30%,54.70%,63.50%,*,*
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict  Magnet School,5,ELA,69,67,68,61,*,*,27.50%,23.90%,32.40%,29.50%,*,*,61.20%,55.60%,53.40%,52.00%,*,*
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict  Magnet School,5,Math,69,67,68,61,*,*,24.60%,13.40%,20.60%,9.80%,*,*,45.50%,27.60%,43.40%,39.40%,*,*
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict  Magnet School,6,ELA,71,64,71,57,*,*,45.10%,39.10%,36.60%,54.40%,*,*,64.70%,62.00%,53.70%,80.10%,*,*
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict  Magnet School,6,Math,71,64,71,57,*,*,38.00%,39.10%,49.30%,66.70%,*,*,57.30%,61.70%,69.80%,84.10%,*,*
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict  Magnet School,7,ELA,59,67,52,58,*,*,47.50%,38.80%,28.80%,41.40%,*,*,70.00%,60.50%,57.90%,56.70%,*,*
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict  Magnet School,7,Math,59,67,52,58,*,*,59.30%,58.20%,48.10%,34.50%,*,*,80.20%,76.40%,62.50%,50.60%,*,*
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict  Magnet School,8,ELA,66,59,62,49,*,*,34.80%,32.20%,24.20%,14.30%,*,*,59.80%,51.80%,36.80%,28.10%,*,*
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict  Magnet School,8,Math,66,59,62,49,*,*,40.90%,28.80%,37.10%,20.40%,*,*,54.20%,44.20%,58.30%,31.10%,*,*
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict Magnet School,4,ELA,*,*,*,*,61,49,*,*,*,*,18.00%,26.50%,*,*,*,*,41.40%,54.80%
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict Magnet School,4,Math,*,*,*,*,58,49,*,*,*,*,19.00%,44.90%,*,*,*,*,45.50%,66.00%
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict Magnet School,5,ELA,*,*,*,*,60,60,*,*,*,*,41.70%,23.30%,*,*,*,*,60.00%,42.50%
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict Magnet School,5,Math,*,*,*,*,59,60,*,*,*,*,20.30%,18.30%,*,*,*,*,35.90%,38.10%
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict Magnet School,6,ELA,*,*,*,*,57,50,*,*,*,*,35.10%,36.00%,*,*,*,*,60.40%,58.60%
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict Magnet School,6,Math,*,*,*,*,56,50,*,*,*,*,42.90%,38.00%,*,*,*,*,61.40%,56.20%
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict Magnet School,7,ELA,*,*,*,*,47,56,*,*,*,*,31.90%,17.90%,*,*,*,*,48.30%,34.10%
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict Magnet School,7,Math,*,*,*,*,40,55,*,*,*,*,37.50%,23.60%,*,*,*,*,54.90%,41.30%
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict Magnet School,8,ELA,*,*,*,*,45,45,*,*,*,*,24.40%,31.10%,*,*,*,*,38.50%,44.80%
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict Magnet School,8,Math,*,*,*,*,42,45,*,*,*,*,16.70%,24.40%,*,*,*,*,31.20%,39.50%
0030011,Ashford School District,0030111,Ashford School,4,ELA,41,29,39,39,36,42,39.00%,37.90%,30.80%,43.60%,33.30%,28.60%,60.80%,55.50%,51.10%,66.30%,58.10%,48.20%
0030011,Ashford School District,0030111,Ashford School,4,Math,40,29,39,39,36,41,55.00%,13.80%,7.70%,20.50%,44.40%,31.70%,81.30%,30.20%,35.30%,52.30%,74.90%,47.60%
0030011,Ashford School District,0030111,Ashford School,5,ELA,37,42,29,40,27,38,37.80%,35.70%,41.40%,42.50%,37.00%,42.10%,55.80%,57.80%,69.70%,68.10%,65.20%,68.90%
0030011,Ashford School District,0030111,Ashford School,5,Math,37,42,29,40,27,38,0.00%,14.30%,34.50%,30.00%,29.60%,26.30%,6.20%,22.00%,53.70%,52.60%,50.00%,50.10%
0030011,Ashford School District,0030111,Ashford School,6,ELA,36,37,38,29,31,29,33.30%,64.90%,34.20%,27.60%,25.80%,41.40%,52.70%,81.30%,60.60%,49.80%,38.00%,60.50%
0030011,Ashford School District,0030111,Ashford School,6,Math,36,37,38,28,30,29,19.40%,45.90%,63.20%,39.30%,26.70%,65.50%,42.10%,69.40%,83.40%,60.60%,38.70%,80.30%
0030011,Ashford School District,0030111,Ashford School,7,ELA,46,36,40,39,32,34,41.30%,38.90%,42.50%,25.60%,46.90%,26.50%,62.60%,47.30%,57.00%,45.60%,65.50%,49.30%
0030011,Ashford School District,0030111,Ashford School,7,Math,46,36,40,39,32,34,76.10%,66.70%,67.50%,46.20%,40.60%,44.10%,90.80%,84.00%,78.10%,59.00%,58.90%,75.60%
0030011,Ashford School District,0030111,Ashford School,8,ELA,34,50,38,42,38,28,35.30%,28.00%,36.80%,33.30%,31.60%,35.70%,64.30%,47.80%,61.60%,47.30%,54.60%,52.20%
0030011,Ashford School District,0030111,Ashford School,8,Math,34,50,38,42,38,27,50.00%,30.00%,39.50%,38.10%,44.70%,55.60%,61.40%,43.50%,54.40%,44.60%,62.50%,69.10%
0040011,Avon School District,0045111,Avon Middle School,7,ELA,256,265,262,221,256,229,59.00%,41.50%,49.60%,56.10%,46.10%,45.40%,75.40%,57.00%,67.90%,73.30%,62.10%,61.60%
0040011,Avon School District,0045111,Avon Middle School,7,Math,256,264,262,220,254,228,63.70%,56.40%,64.10%,67.30%,51.20%,43.90%,82.60%,71.60%,81.90%,81.40%,64.10%,59.90%
0040011,Avon School District,0045111,Avon Middle School,8,ELA,262,257,262,260,221,263,50.00%,45.90%,56.10%,51.50%,44.80%,40.30%,64.70%,61.00%,70.20%,65.20%,60.00%,53.70%
0040011,Avon School District,0045111,Avon Middle School,8,Math,262,256,262,260,220,263,67.20%,71.50%,73.30%,57.70%,53.20%,50.20%,80.20%,85.00%,87.00%,69.80%,66.50%,62.70%
0040011,Avon School District,0040411,Pine Grove School,4,ELA,102,121,118,135,114,106,50.00%,46.30%,49.20%,54.80%,37.70%,45.30%,70.60%,68.60%,69.00%,72.60%,69.60%,64.20%
