"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, All Students",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,Year,,,,,,,,,,,
,,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,School,School Code,Subject,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Area Cooperative Educational Services,2440014,Whitney High School North,2449114,ELA,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Whitney High School North,2449114,Math,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,ELA,411,44.5,405,41.7,399,41.4,353,43.3,*,*,*,*
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,Math,411,20.2,405,21.5,399,26.3,353,26.9,*,*,*,*
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict Magnet School,2440314,ELA,*,*,*,*,*,*,*,*,335,28.4,332,24.4
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict Magnet School,2440314,Math,*,*,*,*,*,*,*,*,334,13.2,332,8.7
Ashford School District,0030011,Ashford School,0030111,ELA,231,62.8,247,59.5,230,62.2,242,54.1,230,53.9,221,55.2
Ashford School District,0030011,Ashford School,0030111,Math,231,48.9,247,43.3,230,44.8,239,43.5,229,39.3,220,43.6
Avon School District,0040011,Avon Middle School,0045111,ELA,538,82,550,83.1,545,82,511,81.8,501,76.2,524,71.4
Avon School District,0040011,Avon Middle School,0045111,Math,539,80,550,79.6,545,79.8,510,77.8,501,64.5,524,60.1
Avon School District,0040011,Pine Grove School,0040411,ELA,242,78.1,260,74.6,276,74.3,278,74.5,226,64.6,265,65.7
Avon School District,0040011,Pine Grove School,0040411,Math,243,71.6,260,71.9,276,72.5,278,70.9,226,57.5,264,61.7
Avon School District,0040011,Roaring Brook School,0040311,ELA,212,82.1,220,81.8,210,81.4,199,82.9,193,72,212,72.6
Avon School District,0040011,Roaring Brook School,0040311,Math,211,82.5,219,75.8,210,80.5,199,84.4,193,70.5,212,72.2
Avon School District,0040011,Thompson Brook School,0040511,ELA,549,81.1,499,79.2,492,81.1,507,76.9,485,73,448,68.5
Avon School District,0040011,Thompson Brook School,0040511,Math,548,69.5,499,67.7,492,69.9,506,69.8,485,61.4,448,61.6
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,ELA,*,*,*,*,*,*,*,*,*,*,*,*
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,Math,*,*,*,*,*,*,*,*,*,*,*,*
Barkhamsted School District,0050011,Bridges at Barkhamsted Elementary School,0050211,ELA,*,*,*,*,*,*,*,*,*,*,*,*
Barkhamsted School District,0050011,Bridges at Barkhamsted Elementary School,0050211,Math,*,*,*,*,*,*,*,*,*,*,*,*
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,ELA,674,68.2,712,65.7,656,67.2,664,66,588,56.8,582,61.3
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,Math,673,46.4,712,61.8,655,57.1,664,61.1,581,49.7,575,59.7
Berlin School District,0070011,Emma Hart Willard School,0070411,ELA,226,66.4,213,61,223,61.9,219,60.3,194,54.6,184,61.4
Berlin School District,0070011,Emma Hart Willard School,0070411,Math,226,61.5,213,56.8,223,68.6,219,65.3,194,47.9,184,56
Berlin School District,0070011,Mary E. Griswold School,0070511,ELA,282,69.9,246,63.8,250,69.2,244,63.5,248,67.3,264,65.9
Berlin School District,0070011,Mary E. Griswold School,0070511,Math,280,58.6,246,62.2,250,65.6,244,59.8,248,53.6,264,64.4
Berlin School District,0070011,Richard D. Hubbard School,0070111,ELA,129,72.9,122,71.3,106,68.9,116,75.9,102,73.5,124,72.6
Berlin School District,0070011,Richard D. Hubbard School,0070111,Math,128,64.8,122,63.9,104,71.2,114,68.4,102,72.5,125,74.4
Bethany School District,0080011,Bethany Community School,0080111,ELA,224,65.2,221,69.2,209,72.2,200,72.5,210,72.9,244,72.1
Bethany School District,0080011,Bethany Community School,0080111,Math,224,63.4,220,69.1,209,62.2,200,67,210,66.7,243,68.3
Bethel School District,0090011,Anna H. Rockwell School,0090411,ELA,125,62.4,103,60.2,110,77.3,113,56.6,*,*,*,*
Bethel School District,0090011,Anna H. Rockwell School,0090411,Math,125,67.2,102,63.7,110,68.2,113,56.6,*,*,*,*
Bethel School District,0090011,Bethel Middle School,0095111,ELA,648,75.8,668,66.2,646,70.6,736,69.4,766,56.4,747,58.2
Bethel School District,0090011,Bethel Middle School,0095111,Math,647,50.7,666,49.1,646,60.1,732,58.7,750,42.7,744,48.5
Bethel School District,0090011,Frank A. Berry School,0090111,ELA,126,69.8,123,69.9,107,72.9,110,70.9,*,*,*,*
Bethel School District,0090011,Frank A. Berry School,0090111,Math,126,71.4,123,67.5,107,62.6,109,61.5,*,*,*,*
Bethel School District,0090011,Ralph M. T. Johnson School,0090511,ELA,420,68.8,479,68.7,516,70,479,64.7,678,56.6,687,57.4
Bethel School District,0090011,Ralph M. T. Johnson School,0090511,Math,419,54.7,476,58.4,516,61.4,481,59.5,675,54.2,689,57.6
Bloomfield School District,0110011,Carmen Arace Intermediate School,0110711,ELA,222,54.5,227,48.5,247,34,248,39.1,224,37.5,204,28.9
Bloomfield School District,0110011,Carmen Arace Intermediate School,0110711,Math,222,28.8,227,31.3,248,28.2,248,32.3,223,17.9,203,12.3
Bloomfield School District,0110011,Carmen Arace Middle School,0115211,ELA,201,38.3,206,38.3,223,44.8,221,45.2,236,30.5,246,34.1
Bloomfield School District,0110011,Carmen Arace Middle School,0115211,Math,201,22.4,206,26.2,222,31.1,221,31.7,234,18.4,246,21.5
Bloomfield School District,0110011,Global Experience Magnet School,0116311,ELA,84,63.1,94,42.6,90,43.3,93,*,73,*,82,*
Bloomfield School District,0110011,Global Experience Magnet School,0116311,Math,84,17.9,94,18.1,90,13.3,93,*,73,*,82,*
Bloomfield School District,0110011,Metacomet School,0110511,ELA,254,47.6,247,37.2,228,43,262,40.8,219,43.8,214,45.3
Bloomfield School District,0110011,Metacomet School,0110511,Math,253,28.5,245,26.5,227,33,262,35.5,219,32,214,*
Bloomfield School District,0110011,Steps to Success,0110111,ELA,*,*,*,*,*,*,11,*,12,*,12,*
Bloomfield School District,0110011,Steps to Success,0110111,Math,*,*,*,*,*,*,11,*,12,*,12,*
Bolton School District,0120011,Bolton Center School,0120111,ELA,345,78.3,362,74.3,361,73.4,350,74.3,337,61.1,313,62.3
Bolton School District,0120011,Bolton Center School,0120111,Math,345,65.5,362,62.7,361,69.3,350,65.4,336,53,309,56
Bozrah School District,0130011,Fields Memorial School,0130111,ELA,132,46.2,132,46.2,132,54.5,124,51.6,109,34.9,94,53.2
Bozrah School District,0130011,Fields Memorial School,0130111,Math,132,36.4,132,36.4,132,42.4,124,41.9,109,39.4,94,54.3
Branford School District,0140011,Francis Walsh Intermediate School,0145111,ELA,881,62.3,851,61.5,867,54.1,862,61.8,781,51.3,767,54.1
Branford School District,0140011,Francis Walsh Intermediate School,0145111,Math,878,47.2,850,48.6,866,50.1,859,52.2,781,43.4,766,46.2
Branford School District,0140011,John B. Sliney School,0141611,ELA,139,67.6,135,55.6,116,59.5,109,58.7,96,51,94,58.5
Branford School District,0140011,John B. Sliney School,0141611,Math,140,68.6,135,63,116,67.2,108,64.8,96,52.1,94,61.7
Branford School District,0140011,Mary R. Tisko School,0141511,ELA,146,76,151,64.2,146,64.4,135,57.8,139,59,136,58.8
Branford School District,0140011,Mary R. Tisko School,0141511,Math,146,70.5,151,66.9,146,67.8,135,71.1,139,57.6,136,56.6
Branford School District,0140011,Mary T. Murphy School,0141411,ELA,166,56,149,53,140,45,138,50.7,139,56.1,146,49.3
Branford School District,0140011,Mary T. Murphy School,0141411,Math,166,57.2,149,58.4,140,60,138,60.9,137,55.5,146,59.6
Brass City Charter School District,2900013,Brass City Charter School,2900113,ELA,39,82.1,76,69.7,111,65.8,143,57.3,206,46.1,213,44.6
Brass City Charter School District,2900013,Brass City Charter School,2900113,Math,39,82.1,76,59.2,111,66.7,143,50.3,206,33.5,212,25.5
Bridgeport School District,0150011,Barnum School,0150111,ELA,311,14.1,320,13.1,315,16.8,325,17.5,324,16.7,307,13.7
Bridgeport School District,0150011,Barnum School,0150111,Math,311,5.5,319,8.5,312,11.2,325,7.7,323,9,307,7.5
Bridgeport School District,0150011,Beardsley School,0150211,ELA,174,25.3,183,20.8,177,24.9,157,28,129,23.3,129,25.6
Bridgeport School District,0150011,Beardsley School,0150211,Math,174,8.6,183,11.5,177,10.7,156,13.5,129,10.9,129,11.6
Bridgeport School District,0150011,Black Rock School,0150311,ELA,253,35.2,244,37.3,265,40,292,41.8,273,36.3,269,36.1
Bridgeport School District,0150011,Black Rock School,0150311,Math,253,15,244,24.6,265,25.3,292,22.9,273,23.4,269,21.2
Bridgeport School District,0150011,Blackham School,0154011,ELA,764,19.1,754,19.5,729,25.9,727,28.3,761,19.4,728,16.9
Bridgeport School District,0150011,Blackham School,0154011,Math,764,5,753,12,728,16.2,724,18,760,9.7,727,7.7
Bridgeport School District,0150011,Bridgeport Learning Center,0159011,ELA,39,0,39,*,44,0,42,0,32,0,29,*
Bridgeport School District,0150011,Bridgeport Learning Center,0159011,Math,39,0,37,0,48,0,42,*,32,0,29,*
Bridgeport School District,0150011,Bryant School,0150411,ELA,192,15.6,184,19.6,168,22.6,168,35.7,142,*,144,16
Bridgeport School District,0150011,Bryant School,0150411,Math,192,7.3,184,9.8,167,13.8,168,19.6,142,11.3,144,6.9
Bridgeport School District,0150011,Cesar Batalla School,0151411,ELA,799,11,752,11.2,765,11.1,751,10,717,5.9,726,6.5
Bridgeport School District,0150011,Cesar Batalla School,0151411,Math,799,4,750,4.1,761,4.3,747,4,712,2.5,726,3
Bridgeport School District,0150011,Classical Studies Academy,0152111,ELA,236,39.8,245,33.9,281,35.9,289,36.3,244,27,243,25.5
Bridgeport School District,0150011,Classical Studies Academy,0152111,Math,234,18.4,245,18.8,281,26.3,289,13.8,243,13.2,243,13.6
Bridgeport School District,0150011,Columbus School,0150511,ELA,474,12.4,320,11.3,354,14.1,347,11.5,330,4.8,301,7
Bridgeport School District,0150011,Columbus School,0150511,Math,473,5.9,320,5.3,348,2.6,347,4.3,331,2.4,301,5
Bridgeport School District,0150011,Edison School,0150711,ELA,148,18.9,153,17.6,135,*,113,*,105,16.2,107,*
Bridgeport School District,0150011,Edison School,0150711,Math,149,*,153,9.2,133,12,110,*,104,*,107,*
Bridgeport School District,0150011,Geraldine Claytor Magnet Academy,0153111,ELA,*,*,217,11.5,276,15.6,290,22.8,249,17.7,239,16.7
Bridgeport School District,0150011,Geraldine Claytor Magnet Academy,0153111,Math,*,*,218,6.9,275,9.5,290,10,245,6.5,238,7.6
Bridgeport School District,0150011,Geraldine Johnson School,0153211,ELA,475,22.3,477,26.8,496,31,499,24.8,481,15.2,479,14.2
Bridgeport School District,0150011,Geraldine Johnson School,0153211,Math,475,8.8,477,15.5,496,15.5,497,16.1,480,9.2,478,9.4
Bridgeport School District,0150011,Hall School,0151111,ELA,132,*,139,16.5,127,26,108,29.6,97,16.5,112,10.7
Bridgeport School District,0150011,Hall School,0151111,Math,132,10.6,138,11.6,128,14.8,108,15.7,97,*,112,7.1
Bridgeport School District,0150011,Hallen School,0151211,ELA,151,18.5,159,18.2,151,23.8,142,26.1,123,27.6,128,26.6
Bridgeport School District,0150011,Hallen School,0151211,Math,151,7.3,159,8.2,150,14.7,142,21.8,122,17.2,128,18
Bridgeport School District,0150011,High Horizons Magnet School,0154511,ELA,268,54.9,275,45.5,293,48.8,297,46.5,265,30.9,266,35.3
Bridgeport School District,0150011,High Horizons Magnet School,0154511,Math,268,19.8,275,21.1,293,25.9,297,22.2,265,16.2,266,14.3
Bridgeport School District,0150011,Interdistrict Discovery Magnet School,0153711,ELA,272,38.2,267,48.7,264,52.3,262,55.3,257,45.1,260,43.5
Bridgeport School District,0150011,Interdistrict Discovery Magnet School,0153711,Math,272,19.9,266,27.4,264,26.9,262,30.2,257,21.4,260,22.7
Bridgeport School District,0150011,James J. Curiale School,0154211,ELA,495,13.1,425,14.6,404,18.6,390,19.5,369,16,348,11.8
Bridgeport School District,0150011,James J. Curiale School,0154211,Math,492,3.7,422,4.3,403,6,389,6.9,369,5.1,346,4.6
