"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, All Students",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Year,,,,,,,,,,,
,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Canterbury School District,0220011,Math,303,38.6,289,42.6,266,42.1,273,45.1,279,28,285,47
Canton School District,0230011,ELA,785,74.3,762,73.6,734,72.9,710,72.7,651,64.2,681,61.2
Canton School District,0230011,Math,785,66.6,759,64.4,733,67.1,708,68.9,649,56.4,679,57.6
Capital Preparatory Harbor School District,2970013,ELA,110,30.9,115,40.9,185,42.2,278,30.9,371,26.7,373,31.6
Capital Preparatory Harbor School District,2970013,Math,109,5.5,115,33.9,186,21.5,277,25.3,371,13.7,373,18
Capitol Region Education Council,2410014,ELA,3064,49.6,3277,47.2,3400,48.9,3568,47.2,3489,28.5,3491,29.9
Capitol Region Education Council,2410014,Math,3038,32.3,3251,35.3,3392,35.3,3544,33.4,3446,16.7,3453,19.5
Chaplin School District,0240011,ELA,77,57.1,69,59.4,70,64.3,80,60,77,54.5,71,43.7
Chaplin School District,0240011,Math,76,26.3,69,*,70,54.3,79,62,77,44.2,71,43.7
Cheshire School District,0250011,ELA,2035,78.4,1988,76.9,1920,78.1,1825,82.6,1809,74.2,1840,76.4
Cheshire School District,0250011,Math,2033,64.8,1985,66.5,1918,68.3,1821,75.2,1803,70.3,1836,73.7
Chester School District,0260011,ELA,130,78.5,123,78.9,111,82,102,82.4,109,72.5,124,75
Chester School District,0260011,Math,130,69.2,123,72.4,112,69.6,102,73.5,109,71.6,124,73.4
Clinton School District,0270011,ELA,885,68.9,853,63.3,817,59.7,779,61.4,645,52.7,609,49.1
Clinton School District,0270011,Math,890,55.4,854,57.4,818,49.5,779,55.2,645,45.7,608,48.5
Colchester School District,0280011,ELA,1130,72.5,1090,70.4,1070,71.1,1005,70.3,915,63.4,912,60.9
Colchester School District,0280011,Math,1128,56.4,1090,64.3,1070,67,1003,69.6,913,64,912,65.8
Colebrook School District,0290011,ELA,44,70.5,43,72.1,47,76.6,52,84.6,46,82.6,50,74
Colebrook School District,0290011,Math,44,56.8,43,*,47,59.6,52,67.3,46,69.6,50,74
Columbia School District,0300011,ELA,279,66.7,269,59.1,260,56.5,242,67.8,276,51.8,299,50.5
