"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Special Education Status (SWD)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Year,,,,,,,,,,,
,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Special Education Status (SWD),Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Bloomfield School District,0110011,ELA,Y,105,12.4,134,6,149,9.4,160,9.4,160,5,156,7.7
Bloomfield School District,0110011,Math,N,659,*,643,*,644,33.7,679,37.1,606,*,608,26.8
Bloomfield School District,0110011,Math,Y,104,*,134,*,147,6.8,158,5.7,159,*,154,3.9
Bolton School District,0120011,ELA,N,306,*,326,*,325,*,314,80.9,297,*,274,*
Bolton School District,0120011,ELA,Y,41,*,37,24.3,37,*,37,16.2,41,*,40,*
Bolton School District,0120011,Math,N,306,*,326,*,325,*,314,*,297,*,271,*
Bolton School District,0120011,Math,Y,40,22.5,37,*,37,*,36,*,40,*,39,*
Bozrah School District,0130011,ELA,N,113,*,113,*,115,*,105,*,88,43.2,82,*
Bozrah School District,0130011,ELA,Y,19,*,21,*,18,*,20,*,21,0,13,*
Bozrah School District,0130011,Math,N,113,*,113,*,115,*,105,*,88,*,82,*
Bozrah School District,0130011,Math,Y,19,*,21,*,18,*,20,*,21,*,13,*
Branford School District,0140011,ELA,N,1182,*,1131,*,1125,60.4,1098,*,986,*,976,*
Branford School District,0140011,ELA,Y,152,17.1,159,14.5,148,10.8,148,15.5,171,12.3,172,15.7
Branford School District,0140011,Math,N,1180,58.3,1130,58.8,1124,*,1095,*,987,*,976,56.6
Branford School District,0140011,Math,Y,152,13.8,159,13.8,149,*,147,14.3,168,13.7,171,14
Brass City Charter School District,2900013,ELA,N,*,*,66,*,98,*,122,*,175,*,168,53
