"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,
"State of Connecticut, ELA and Math, All Grades Combined, English Learner Status (EL)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Year,,,,,,,,,,,
,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,Subject,English Learner Status (EL),Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
State of Connecticut,ELA,N,219520,58.8,218012,57.5,215126,59,211830,59.5,198068,53.5,195168,53.2
State of Connecticut,ELA,Y,15364,10.7,16583,10.6,18171,12.1,19122,13.4,22423,10.7,24436,11
State of Connecticut,Math,N,218980,46.4,217334,48.2,214674,49.6,211297,51.1,197139,43.4,194376,46.3
State of Connecticut,Math,Y,15304,9.6,16510,12,18132,12.8,19037,14.7,22327,10.6,24323,12.5
