"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Free/Reduced Price Meal Eligibility (3-level)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Year,,,,,,,,,,,
,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Free/Reduced Price Meal Eligibility (3-level),Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Avon School District,0040011,Math,R,12,*,6,*,19,*,30,*,21,33.3,34,*
Barkhamsted School District,0050011,ELA,F,*,*,*,*,23,*,27,*,22,*,23,*
Barkhamsted School District,0050011,ELA,N,151,69.5,140,70,113,69,101,68.3,81,61.7,76,63.2
Barkhamsted School District,0050011,ELA,R,*,*,*,*,6,*,7,*,8,*,6,*
Barkhamsted School District,0050011,Math,F,*,*,*,*,23,*,27,*,22,*,23,*
Barkhamsted School District,0050011,Math,N,151,40.4,140,45,112,43.8,101,63.4,81,53.1,76,*
Barkhamsted School District,0050011,Math,R,*,*,*,*,6,*,7,*,8,*,6,*
Berlin School District,0070011,ELA,F,123,47.2,133,*,175,40,223,46.6,200,44,241,44
Berlin School District,0070011,ELA,N,1148,72.1,1127,69.1,1015,71.6,984,69.9,894,64.2,862,70.3
Berlin School District,0070011,ELA,R,41,36.6,34,*,50,58,42,52.4,41,51.2,55,43.6
Berlin School District,0070011,Math,F,123,22,133,27.8,173,27.2,222,41.4,199,29.6,238,39.9
Berlin School District,0070011,Math,N,1145,57.6,1127,65.8,1014,68.1,983,66.9,888,57.9,859,68.9
Berlin School District,0070011,Math,R,40,30,34,*,50,54,42,54.8,41,*,55,41.8
Bethany School District,0080011,ELA,F,*,*,*,*,29,*,28,*,*,*,*,*
Bethany School District,0080011,ELA,N,207,67.1,201,72.1,173,77.5,164,78,180,78.3,207,76.3
Bethany School District,0080011,ELA,R,*,*,*,*,8,*,10,*,*,*,*,*
Bethany School District,0080011,Math,F,*,*,*,*,29,*,28,*,*,*,*,*
Bethany School District,0080011,Math,N,207,65.7,200,72.5,173,*,164,70.7,180,71.1,207,72.9
Bethany School District,0080011,Math,R,*,*,*,*,8,*,10,*,*,*,*,*
Bethel School District,0090011,ELA,F,203,53.2,191,45,306,52.6,334,45.8,307,33.6,342,*
Bethel School District,0090011,ELA,N,1030,75.7,1110,71.2,989,77.4,1003,74.3,1061,63.9,1017,65.7
Bethel School District,0090011,ELA,R,87,66.7,74,59.5,87,62.1,104,63.5,78,44.9,77,*
Bethel School District,0090011,Math,F,202,35.6,190,35.3,306,37.6,333,36.9,303,25.4,342,30.1
Bethel School District,0090011,Math,N,1029,60.5,1106,59.5,988,70.3,1003,67.6,1046,55.4,1014,61.2
Bethel School District,0090011,Math,R,87,41.4,73,39.7,87,42.5,102,45.1,78,37.2,79,43
Bloomfield School District,0110011,ELA,F,340,46.2,339,33,347,31.1,438,35.8,392,23.7,399,24.1
Bloomfield School District,0110011,ELA,N,353,51.6,374,47.9,377,49.3,310,50.3,309,49.8,299,47.2
Bloomfield School District,0110011,ELA,R,71,46.5,66,47,68,41.2,91,33,67,40.3,66,28.8
Bloomfield School District,0110011,Math,F,340,20.3,339,20.6,345,21.2,438,25.3,390,11.8,398,14.1
Bloomfield School District,0110011,Math,N,352,29.5,374,31.3,377,35.8,308,40.6,308,32.5,298,32.9
Bloomfield School District,0110011,Math,R,71,32.4,64,32.8,69,27.5,91,27.5,67,19.4,66,22.7
Bolton School District,0120011,ELA,F,51,*,43,*,46,*,77,*,71,*,*,*
Bolton School District,0120011,ELA,N,287,81.2,308,77.6,307,77.2,264,79.9,259,69.5,234,73.5
Bolton School District,0120011,ELA,R,9,*,12,*,9,*,10,*,8,*,*,*
Bolton School District,0120011,Math,F,50,*,43,*,46,*,76,*,71,*,*,*
Bolton School District,0120011,Math,N,287,70.4,308,68.8,307,73.9,264,72.3,258,60.5,232,65.9
Bolton School District,0120011,Math,R,9,*,12,*,9,*,10,*,8,*,*,*
Bozrah School District,0130011,ELA,F,22,*,*,*,*,*,33,*,41,*,33,*
Bozrah School District,0130011,ELA,N,104,49,103,51.5,100,60,80,53.8,58,*,51,62.7
Bozrah School District,0130011,ELA,R,6,*,*,*,*,*,12,*,10,*,11,*
Bozrah School District,0130011,Math,F,22,*,*,*,*,*,33,*,41,*,33,*
Bozrah School District,0130011,Math,N,104,37.5,103,38.8,100,49,80,48.8,58,50,51,60.8
Bozrah School District,0130011,Math,R,6,*,*,*,*,*,12,*,10,*,11,*
Branford School District,0140011,ELA,F,275,44.4,259,34.4,348,36.5,366,43.4,326,39.6,327,38.5
Branford School District,0140011,ELA,N,983,69.4,961,66.8,835,62.4,785,67.9,746,59.8,732,61.3
Branford School District,0140011,ELA,R,76,57.9,70,62.9,90,53.3,95,55.8,85,41.2,89,52.8
Branford School District,0140011,Math,F,274,33.9,257,33.1,349,36.4,364,37.9,326,32.2,327,31.5
Branford School District,0140011,Math,N,982,59.3,962,58.6,834,62.9,784,65.7,744,54.6,731,58.4
Branford School District,0140011,Math,R,76,44.7,70,54.3,90,47.8,94,47.9,85,40,89,51.7
Brass City Charter School District,2900013,ELA,F,18,*,41,70.7,45,57.8,88,48.9,99,*,112,*
Brass City Charter School District,2900013,ELA,N,15,*,26,*,45,68.9,41,*,96,58.3,89,59.6
Brass City Charter School District,2900013,ELA,R,6,*,9,*,21,76.2,14,*,11,*,12,*
Brass City Charter School District,2900013,Math,F,18,*,41,65.9,45,*,88,44.3,99,*,111,*
Brass City Charter School District,2900013,Math,N,15,*,26,*,45,71.1,41,*,96,44.8,89,*
Brass City Charter School District,2900013,Math,R,6,*,9,*,21,*,14,*,11,*,12,*
Bridgeport School District,0150011,ELA,F,*,*,5247,16.4,7143,22.9,6072,23.8,5734,17.9,6498,17.2
Bridgeport School District,0150011,ELA,N,*,*,4007,30.2,*,*,2571,32.8,2344,25.2,1606,27.5
Bridgeport School District,0150011,ELA,R,*,*,*,*,*,*,687,38.6,598,28.4,407,27.5
Bridgeport School District,0150011,Math,F,*,*,5233,8.7,7125,13.1,6058,12.6,5716,9.3,6481,9.5
Bridgeport School District,0150011,Math,N,*,*,3998,19.6,2262,20.6,2561,20.8,2340,13.6,1604,15.4
Bridgeport School District,0150011,Math,R,*,*,*,*,*,*,684,24,596,14.3,406,13.3
Bristol School District,0170011,ELA,F,1475,38,1461,34.6,1619,38,1721,35.7,1608,35.8,1677,38.6
Bristol School District,0170011,ELA,N,1843,66.1,1929,63.5,1724,66.6,1682,59.9,1475,61.6,1436,61.1
Bristol School District,0170011,ELA,R,217,53.5,202,48.5,280,49.6,226,57.5,186,53.8,238,51.7
Bristol School District,0170011,Math,F,1475,22.7,1460,24.5,1614,26.3,1706,24.4,1587,24.4,1663,29.6
Bristol School District,0170011,Math,N,1841,51.5,1927,50.5,1716,54.8,1679,51.6,1476,49.9,1430,54.3
Bristol School District,0170011,Math,R,217,35.5,201,42.8,279,40.1,226,45.1,186,39.2,238,43.7
Brookfield School District,0180011,ELA,F,66,47,89,*,168,53,177,*,164,34.1,177,37.3
Brookfield School District,0180011,ELA,N,1107,69.8,1100,67.9,947,69.5,917,71,861,62.1,862,67.2
Brookfield School District,0180011,ELA,R,22,68.2,24,*,54,55.6,59,*,55,43.6,62,51.6
Brookfield School District,0180011,Math,F,66,36.4,89,*,168,44,176,54,164,33.5,175,31.4
