"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Gender",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Year,,,,,,,,,,,
,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Gender,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Bethel School District,0090011,ELA,Female,641,76.6,660,71.8,676,76.3,701,72,695,59.6,695,59.7
Bethel School District,0090011,ELA,Male,679,67,715,62.4,706,65.7,740,62,751,53.5,741,56
Bethel School District,0090011,Math,Female,641,54.9,659,53.6,677,58.9,698,56.7,687,45.6,695,50.1
Bethel School District,0090011,Math,Male,677,56,710,56.5,704,63.6,740,60.9,740,50.4,740,55.4
Bloomfield School District,0110011,ELA,Female,388,55.7,385,47.5,389,47.3,419,47.3,377,40.3,371,38.3
Bloomfield School District,0110011,ELA,Male,376,41.5,394,35.3,403,34.2,420,34.5,391,31.2,393,29
Bloomfield School District,0110011,Math,Female,388,28.4,385,26.5,389,30.1,419,33.2,377,20.2,370,20
Bloomfield School District,0110011,Math,Male,375,22.9,392,27,402,27.4,418,29.2,388,21.4,392,24.2
Bolton School District,0120011,ELA,Female,169,81.7,178,76.4,188,79.8,183,78.1,182,63.2,163,68.1
Bolton School District,0120011,ELA,Male,178,74.7,185,71.9,174,66.1,168,69.6,156,58.3,151,55.6
Bolton School District,0120011,Math,Female,169,64.5,178,61.2,188,69.1,183,62.3,181,53,161,58.4
Bolton School District,0120011,Math,Male,177,66.1,185,63.8,174,69,167,68.9,156,52.6,149,53
Bozrah School District,0130011,ELA,Female,68,54.4,67,49.3,63,54,58,60.3,46,*,40,62.5
Bozrah School District,0130011,ELA,Male,64,37.5,67,41.8,70,54.3,67,43.3,63,*,55,45.5
Bozrah School District,0130011,Math,Female,68,*,67,37.3,63,38.1,58,43.1,46,*,40,55
Bozrah School District,0130011,Math,Male,64,34.4,67,34.3,70,45.7,67,40.3,63,33.3,55,52.7
Branford School District,0140011,ELA,Female,658,69,619,66.4,602,59.6,598,62,540,58.5,548,60
Branford School District,0140011,ELA,Male,676,58.3,671,54.2,671,50.2,648,57.7,617,47.6,600,48.8
Branford School District,0140011,Math,Female,657,53.9,618,53.2,602,54.3,596,53.4,541,45.5,548,48.9
Branford School District,0140011,Math,Male,675,52.6,671,53.4,671,54.8,646,58.8,614,48.7,599,51.4
Brass City Charter School District,2900013,ELA,Female,24,*,40,72.5,59,74.6,76,61.8,117,51.3,115,45.2
Brass City Charter School District,2900013,ELA,Male,15,*,36,66.7,52,*,67,52.2,89,39.3,98,43.9
Brass City Charter School District,2900013,Math,Female,24,*,40,*,59,67.8,76,52.6,117,32.5,114,26.3
Brass City Charter School District,2900013,Math,Male,15,*,36,*,52,65.4,67,47.8,89,34.8,98,24.5
Bridgeport School District,0150011,ELA,Female,4441,27.5,4422,26.7,4523,30.4,4506,32,4280,22.2,4167,20.9
Bridgeport School District,0150011,ELA,Male,4872,18,4832,18.5,4891,21.4,4824,23,4396,19,4344,18.4
Bridgeport School District,0150011,Math,Female,4438,10.4,4410,13.7,4511,15.3,4497,15.8,4268,9.7,4162,9.3
Bridgeport School District,0150011,Math,Male,4861,9.4,4821,13.2,4876,14.5,4806,15.6,4384,12,4329,12.2
Bristol School District,0170011,ELA,Female,1714,59.6,1755,57,1810,57.6,1821,54.5,1643,50.7,1684,50.7
Bristol School District,0170011,ELA,Male,1821,48.1,1837,45.1,1813,47.5,1808,42,1626,46.2,1667,47.6
Bristol School District,0170011,Math,Female,1713,39.6,1755,41.3,1801,42.2,1817,39,1629,33.5,1676,38.2
Bristol School District,0170011,Math,Male,1820,37.5,1833,37.7,1808,39.7,1794,37.6,1620,40.3,1655,44.2
Brookfield School District,0180011,ELA,Female,577,71.9,589,69.8,575,71,574,74.2,523,61.2,534,65.4
Brookfield School District,0180011,ELA,Male,618,65.4,624,62,594,62.1,579,61.7,557,53,567,57.8
Brookfield School District,0180011,Math,Female,574,59.9,587,59.8,573,59,571,63.2,524,43.9,532,52.3
Brookfield School District,0180011,Math,Male,616,63.6,623,62.8,593,59.9,578,63,557,51.2,562,57.5
Brooklyn School District,0190011,ELA,Female,264,75.4,246,69.9,253,70.4,260,68.8,250,51.6,268,58.6
Brooklyn School District,0190011,ELA,Male,252,63.1,259,57.5,262,56.9,275,56.4,264,46.6,272,46.7
Brooklyn School District,0190011,Math,Female,263,40.7,246,44.3,254,47.2,260,46.9,250,32.8,268,40.3
Brooklyn School District,0190011,Math,Male,252,37.3,258,43.4,262,47.7,275,48.7,264,40.9,272,49.6
Canaan School District,0210011,ELA,Female,29,*,28,*,30,*,22,*,20,*,17,*
Canaan School District,0210011,ELA,Male,20,*,23,*,16,*,21,*,27,*,29,*
Canaan School District,0210011,Math,Female,28,*,29,48.3,30,*,22,*,20,*,17,*
Canaan School District,0210011,Math,Male,20,*,23,30.4,16,*,21,*,27,*,29,*
Canterbury School District,0220011,ELA,Female,135,68.9,126,65.9,128,67.2,134,64.9,142,56.3,137,56.2
Canterbury School District,0220011,ELA,Male,168,44,163,42.3,138,48.6,140,50.7,144,45.1,148,52
Canterbury School District,0220011,Math,Female,135,43.7,126,46.8,128,45.3,134,53,140,22.1,137,48.9
Canterbury School District,0220011,Math,Male,168,34.5,163,39.3,138,39.1,139,37.4,139,33.8,148,45.3
Canton School District,0230011,ELA,Female,398,78.6,384,75.5,360,78.1,362,75.1,326,68.1,322,64.6
Canton School District,0230011,ELA,Male,387,69.8,378,71.7,374,67.9,348,70.1,325,60.3,359,58.2
Canton School District,0230011,Math,Female,398,66.3,381,64.6,359,65.2,361,68.4,325,55.4,321,56.1
Canton School District,0230011,Math,Male,387,66.9,378,64.3,374,69,347,69.5,324,57.4,358,58.9
Capital Preparatory Harbor School District,2970013,ELA,Female,54,*,64,*,85,50.6,129,38,184,29.9,202,38.1
Capital Preparatory Harbor School District,2970013,ELA,Male,56,21.4,51,33.3,100,35,149,24.8,187,23.5,171,24
Capital Preparatory Harbor School District,2970013,Math,Female,54,*,64,*,86,26.7,129,30.2,184,17.4,202,19.8
Capital Preparatory Harbor School District,2970013,Math,Male,55,*,51,23.5,100,17,148,20.9,187,10.2,171,15.8
Capitol Region Education Council,2410014,ELA,Female,1430,53.9,1574,51.3,1673,53.9,1808,51.6,1796,31.3,1816,31.6
Capitol Region Education Council,2410014,ELA,Male,1634,45.8,1703,43.4,1727,44,1760,42.6,1693,25.6,1675,28
Capitol Region Education Council,2410014,Math,Female,1423,31.8,1566,36.5,1668,36.5,1793,33.1,1776,15.3,1797,18.1
Capitol Region Education Council,2410014,Math,Male,1615,32.8,1685,34.1,1724,34.1,1751,33.7,1670,18.1,1656,21.1
Chaplin School District,0240011,ELA,Female,37,*,33,*,35,74.3,45,66.7,42,*,32,*
Chaplin School District,0240011,ELA,Male,40,*,36,*,35,*,35,51.4,35,*,39,*
Chaplin School District,0240011,Math,Female,37,29.7,33,*,35,*,44,*,42,*,32,37.5
Chaplin School District,0240011,Math,Male,39,23.1,36,*,35,68.6,35,*,35,*,39,*
Cheshire School District,0250011,ELA,Female,1047,81.5,1018,79.7,951,82.9,911,87.4,871,78.5,878,79.7
