"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, English Learner Status (EL)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Year,,,,,,,,,,,
,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,English Learner Status (EL),Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Bloomfield School District,0110011,ELA,Y,15,*,20,*,17,*,25,*,50,12,49,14.3
Bloomfield School District,0110011,Math,N,748,*,757,*,773,*,812,*,715,*,713,*
Bloomfield School District,0110011,Math,Y,15,*,20,*,18,*,25,*,50,*,49,*
Bolton School District,0120011,ELA,N,*,*,*,*,*,*,*,*,*,*,*,*
Bolton School District,0120011,ELA,Y,*,*,*,*,*,*,*,*,*,*,*,*
Bolton School District,0120011,Math,N,*,*,*,*,*,*,*,*,*,*,*,*
Bolton School District,0120011,Math,Y,*,*,*,*,*,*,*,*,*,*,*,*
Bozrah School District,0130011,ELA,N,*,*,*,*,*,*,*,*,*,*,*,*
Bozrah School District,0130011,ELA,Y,*,*,*,*,*,*,*,*,*,*,*,*
Bozrah School District,0130011,Math,N,*,*,*,*,*,*,*,*,*,*,*,*
Bozrah School District,0130011,Math,Y,*,*,*,*,*,*,*,*,*,*,*,*
Branford School District,0140011,ELA,N,1285,*,1242,*,1216,*,1191,*,1069,54.8,1041,56.1
Branford School District,0140011,ELA,Y,49,30.6,48,*,57,28.1,55,18.2,88,27.3,107,35.5
Branford School District,0140011,Math,N,1282,*,1241,54,1216,55.5,1187,*,1067,48.5,1040,51.5
Branford School District,0140011,Math,Y,50,*,48,35.4,57,35.1,55,25.5,88,30.7,107,37.4
Brass City Charter School District,2900013,ELA,N,39,82.1,76,69.7,111,65.8,*,*,*,*,204,*
Brass City Charter School District,2900013,ELA,Y,*,*,*,*,*,*,*,*,*,*,9,*
Brass City Charter School District,2900013,Math,N,39,82.1,76,59.2,111,66.7,*,*,*,*,203,*
Brass City Charter School District,2900013,Math,Y,*,*,*,*,*,*,*,*,*,*,9,*
Bridgeport School District,0150011,ELA,N,8072,25.3,7837,25.6,7756,30.1,7570,32.1,6392,26.1,6036,25.8
Bridgeport School District,0150011,ELA,Y,1241,4.2,1417,4.4,1658,5.5,1760,6.9,2284,5.1,2475,4.6
Bridgeport School District,0150011,Math,N,8057,11.1,7819,15,7733,16.8,7549,17.9,6371,13.5,6018,13.7
Bridgeport School District,0150011,Math,Y,1242,1.9,1412,4.3,1654,5.7,1754,6.2,2281,3.4,2473,3.6
Bristol School District,0170011,ELA,N,3381,*,3407,53,3399,55.1,3399,50.8,3031,51.1,3114,51.6
Bristol School District,0170011,ELA,Y,154,14.9,185,11.4,224,13.4,230,10.4,238,14.7,237,17.7
Bristol School District,0170011,Math,N,3379,39.7,3403,41,3386,42.9,3383,40.1,3014,38.9,3094,43
Bristol School District,0170011,Math,Y,154,11.7,185,11.4,223,12.1,228,11.4,235,10.6,237,17.7
Brookfield School District,0180011,ELA,N,1162,69.8,1168,67.7,1119,*,1098,*,1022,59.6,1036,64.7
Brookfield School District,0180011,ELA,Y,33,24.2,45,15.6,50,*,55,23.6,58,10.3,65,10.8
Brookfield School District,0180011,Math,N,1157,*,1166,*,1116,*,1094,*,1023,49.8,1030,*
Brookfield School District,0180011,Math,Y,33,33.3,44,*,50,32,55,27.3,58,10.3,64,15.6
Brooklyn School District,0190011,ELA,N,*,*,*,*,*,*,*,*,506,*,527,*
Brooklyn School District,0190011,ELA,Y,*,*,*,*,*,*,*,*,8,*,13,*
Brooklyn School District,0190011,Math,N,*,*,*,*,*,*,*,*,506,*,527,*
Brooklyn School District,0190011,Math,Y,*,*,*,*,*,*,*,*,8,*,13,*
Canaan School District,0210011,ELA,N,*,*,*,*,*,*,*,*,47,72.3,46,71.7
Canaan School District,0210011,ELA,Y,*,*,*,*,*,*,*,*,*,*,*,*
Canaan School District,0210011,Math,N,*,*,*,*,*,*,*,*,47,48.9,46,58.7
Canaan School District,0210011,Math,Y,*,*,*,*,*,*,*,*,*,*,*,*
Canterbury School District,0220011,ELA,N,303,55.1,289,52.6,266,57.5,274,57.7,*,*,*,*
Canterbury School District,0220011,ELA,Y,*,*,*,*,*,*,*,*,*,*,*,*
Canterbury School District,0220011,Math,N,303,38.6,289,42.6,266,42.1,273,45.1,*,*,*,*
Canterbury School District,0220011,Math,Y,*,*,*,*,*,*,*,*,*,*,*,*
Canton School District,0230011,ELA,N,*,*,*,*,727,*,*,*,*,*,*,*
Canton School District,0230011,ELA,Y,*,*,*,*,7,*,*,*,*,*,*,*
Canton School District,0230011,Math,N,*,*,*,*,726,*,*,*,*,*,*,*
Canton School District,0230011,Math,Y,*,*,*,*,7,*,*,*,*,*,*,*
Capital Preparatory Harbor School District,2970013,ELA,N,110,30.9,115,40.9,185,42.2,270,*,343,*,334,*
Capital Preparatory Harbor School District,2970013,ELA,Y,*,*,*,*,*,*,8,*,28,*,39,*
Capital Preparatory Harbor School District,2970013,Math,N,109,5.5,115,33.9,186,21.5,269,*,343,14.9,334,*
Capital Preparatory Harbor School District,2970013,Math,Y,*,*,*,*,*,*,8,*,28,0,39,*
Capitol Region Education Council,2410014,ELA,N,2928,*,3103,*,3193,*,3313,49.7,3145,31,3118,32.4
