"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Special Education Status (SWD)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,School Code,School,Subject,Special Education Status (SWD),2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0020011,Ansonia School District,0020311,Mead School,Math,Non-Special Education,211,210,194,195,135,144,35.10%,34.30%,36.10%,22.10%,35.60%,41.70%,60.40%,60.00%,59.90%,41.00%,66.60%,73.40%
0020011,Ansonia School District,0020811,Prendergast School,ELA,Special Education,38,40,45,44,21,18,28.90%,15.00%,33.30%,22.70%,14.30%,*,59.80%,37.30%,55.90%,45.20%,36.10%,*
0020011,Ansonia School District,0020811,Prendergast School,ELA,Non-Special Education,202,198,198,203,134,147,37.10%,29.80%,34.30%,26.60%,29.10%,19.70%,60.00%,51.30%,61.30%,48.20%,53.90%,43.70%
0020011,Ansonia School District,0020811,Prendergast School,Math,Special Education,38,40,44,44,21,18,21.10%,27.50%,34.10%,34.10%,23.80%,*,47.10%,51.90%,56.10%,55.10%,42.10%,*
0020011,Ansonia School District,0020811,Prendergast School,Math,Non-Special Education,203,196,197,203,133,147,40.90%,28.60%,41.10%,37.40%,43.60%,27.20%,64.70%,54.40%,69.10%,62.60%,71.50%,50.80%
2440014,Area Cooperative Educational Services,2440214,ACES Mill Elementary School,ELA,Special Education,*,*,*,*,*,*,*,*,*,*,8.70%,*,*,*,*,*,28.70%,*
2440014,Area Cooperative Educational Services,2440214,ACES Mill Elementary School,ELA,Non-Special Education,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440214,ACES Mill Elementary School,Math,Special Education,*,*,*,*,*,*,*,*,*,*,31.80%,*,*,*,*,*,47.20%,*
2440014,Area Cooperative Educational Services,2440214,ACES Mill Elementary School,Math,Non-Special Education,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,ELA,Special Education,*,*,*,*,*,70,*,*,*,*,24.60%,21.40%,*,*,*,*,40.20%,43.20%
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,ELA,Non-Special Education,*,*,*,*,*,8,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,Math,Special Education,*,*,*,*,54,*,*,*,*,*,31.50%,27.90%,*,*,*,*,40.80%,47.70%
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,Math,Non-Special Education,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449414,Mill Academy,ELA,Special Education,*,*,*,*,*,*,21.70%,28.70%,12.10%,12.10%,*,*,44.40%,53.50%,35.30%,30.50%,*,*
2440014,Area Cooperative Educational Services,2449414,Mill Academy,ELA,Non-Special Education,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449414,Mill Academy,Math,Special Education,*,*,*,*,*,*,26.70%,27.90%,20.80%,23.40%,*,*,48.20%,46.20%,42.10%,45.20%,*,*
2440014,Area Cooperative Educational Services,2449414,Mill Academy,Math,Non-Special Education,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440514,ACES at Ansonia Middle School,ELA,Special Education,*,*,*,*,*,6,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440514,ACES at Ansonia Middle School,ELA,Non-Special Education,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440514,ACES at Ansonia Middle School,Math,Special Education,*,*,*,*,*,6,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440514,ACES at Ansonia Middle School,Math,Non-Special Education,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2445114,ACES at Chase,ELA,Special Education,*,*,*,*,70,82,*,*,*,*,30.00%,15.90%,*,*,*,*,47.50%,34.30%
2440014,Area Cooperative Educational Services,2445114,ACES at Chase,ELA,Non-Special Education,*,*,*,*,501,540,*,*,*,*,37.50%,31.70%,*,*,*,*,56.50%,48.90%
2440014,Area Cooperative Educational Services,2445114,ACES at Chase,Math,Special Education,*,*,*,*,66,82,*,*,*,*,27.30%,29.30%,*,*,*,*,47.70%,45.80%
2440014,Area Cooperative Educational Services,2445114,ACES at Chase,Math,Non-Special Education,*,*,*,*,485,539,*,*,*,*,33.80%,35.40%,*,*,*,*,52.30%,54.20%
2440014,Area Cooperative Educational Services,2445114,Thomas Edison Magnet Middle School,ELA,Special Education,79,66,78,76,*,*,20.30%,30.30%,28.20%,26.30%,*,*,38.90%,52.90%,50.90%,46.10%,*,*
2440014,Area Cooperative Educational Services,2445114,Thomas Edison Magnet Middle School,ELA,Non-Special Education,615,641,604,604,*,*,29.60%,38.20%,41.70%,38.90%,*,*,48.60%,57.90%,60.50%,58.00%,*,*
2440014,Area Cooperative Educational Services,2445114,Thomas Edison Magnet Middle School,Math,Special Education,79,66,77,76,*,*,27.80%,34.80%,22.10%,38.20%,*,*,48.50%,50.70%,39.70%,53.50%,*,*
2440014,Area Cooperative Educational Services,2445114,Thomas Edison Magnet Middle School,Math,Non-Special Education,617,640,604,601,*,*,38.10%,42.50%,39.10%,42.30%,*,*,56.40%,61.50%,59.70%,60.80%,*,*
2440014,Area Cooperative Educational Services,2440414,ACES at Mead Elementary School,ELA,Special Education,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440414,ACES at Mead Elementary School,Math,Special Education,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449514,Village School,ELA,Special Education,*,*,*,*,*,9,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449514,Village School,Math,Special Education,*,*,*,*,*,9,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict  Magnet School,ELA,Special Education,40,44,46,40,*,*,35.00%,22.70%,13.00%,30.00%,*,*,55.40%,54.10%,31.10%,58.10%,*,*
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict  Magnet School,ELA,Non-Special Education,294,283,277,245,*,*,37.80%,34.60%,31.40%,34.70%,*,*,62.70%,56.90%,54.00%,54.30%,*,*
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict  Magnet School,Math,Special Education,40,44,46,40,*,*,37.50%,29.50%,28.30%,27.50%,*,*,57.30%,43.50%,50.00%,52.20%,*,*
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict  Magnet School,Math,Non-Special Education,294,283,277,245,*,*,36.40%,32.50%,36.80%,33.50%,*,*,58.40%,52.50%,58.90%,54.60%,*,*
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict Magnet School,ELA,Special Education,*,*,*,*,46,45,*,*,*,*,34.80%,24.40%,*,*,*,*,56.60%,47.50%
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict Magnet School,ELA,Non-Special Education,*,*,*,*,224,215,*,*,*,*,29.50%,27.00%,*,*,*,*,49.00%,46.30%
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict Magnet School,Math,Special Education,*,*,*,*,45,45,*,*,*,*,26.70%,33.30%,*,*,*,*,42.50%,52.50%
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict Magnet School,Math,Non-Special Education,*,*,*,*,210,214,*,*,*,*,27.10%,28.50%,*,*,*,*,46.60%,46.80%
0030011,Ashford School District,0030111,Ashford School,ELA,Special Education,21,21,26,24,21,27,19.00%,33.30%,15.40%,16.70%,23.80%,33.30%,44.30%,45.40%,46.90%,34.10%,52.70%,55.90%
0030011,Ashford School District,0030111,Ashford School,ELA,Non-Special Education,173,173,158,165,143,144,39.90%,41.00%,40.50%,37.60%,36.40%,34.70%,61.20%,58.90%,61.50%,58.80%,56.60%,55.70%
0030011,Ashford School District,0030111,Ashford School,Math,Special Education,20,21,26,24,20,26,50.00%,28.60%,19.20%,37.50%,30.00%,34.60%,80.70%,37.00%,42.00%,51.10%,56.10%,57.30%
0030011,Ashford School District,0030111,Ashford School,Math,Non-Special Education,173,173,158,164,143,143,41.00%,34.70%,46.80%,34.10%,39.20%,44.10%,55.80%,50.80%,64.60%,53.60%,58.40%,63.90%
0040011,Avon School District,0045111,Avon Middle School,ELA,Special Education,53,45,41,41,49,69,39.60%,35.60%,34.10%,39.00%,26.50%,26.10%,59.40%,51.50%,58.50%,55.00%,47.80%,45.70%
0040011,Avon School District,0045111,Avon Middle School,ELA,Non-Special Education,465,477,483,440,428,423,56.10%,44.40%,54.50%,55.00%,47.70%,45.40%,71.20%,59.70%,69.90%,70.20%,62.70%,59.30%
0040011,Avon School District,0045111,Avon Middle School,Math,Special Education,53,45,41,41,48,68,34.00%,37.80%,53.70%,39.00%,33.30%,20.60%,54.70%,56.30%,70.30%,58.30%,47.70%,39.00%
0040011,Avon School District,0045111,Avon Middle School,Math,Non-Special Education,465,475,483,439,426,423,69.00%,66.30%,70.00%,64.20%,54.20%,51.50%,84.40%,80.20%,85.60%,76.70%,67.20%,65.00%
0040011,Avon School District,0040411,Pine Grove School,ELA,Special Education,*,13,11,15,8,13,*,*,*,*,*,*,*,*,*,*,*,*
0040011,Avon School District,0040411,Pine Grove School,ELA,Non-Special Education,*,108,107,120,106,93,50.00%,48.10%,53.30%,60.00%,38.70%,47.30%,70.90%,69.40%,71.10%,77.90%,70.60%,66.40%
0040011,Avon School District,0040411,Pine Grove School,Math,Special Education,*,13,11,15,8,13,*,*,*,*,*,*,*,*,*,*,*,*
0040011,Avon School District,0040411,Pine Grove School,Math,Non-Special Education,*,108,107,120,106,93,43.70%,50.00%,48.60%,46.70%,47.20%,31.20%,71.30%,79.60%,73.40%,78.10%,74.00%,62.80%
0040011,Avon School District,0040311,Roaring Brook School,ELA,Special Education,6,8,6,9,6,14,*,*,*,*,*,*,*,*,*,*,*,*
0040011,Avon School District,0040311,Roaring Brook School,ELA,Non-Special Education,93,104,94,95,67,101,59.10%,50.00%,60.60%,49.50%,53.70%,45.50%,77.00%,66.00%,78.50%,69.20%,64.30%,68.10%
0040011,Avon School District,0040311,Roaring Brook School,Math,Special Education,*,8,6,9,6,14,*,*,*,*,*,*,*,*,*,*,*,*
0040011,Avon School District,0040311,Roaring Brook School,Math,Non-Special Education,*,104,93,95,67,101,46.20%,33.70%,55.90%,42.10%,44.80%,44.60%,66.60%,58.80%,73.50%,66.80%,68.60%,74.60%
0040011,Avon School District,0040511,Thompson Brook School,ELA,Special Education,35,33,40,48,55,41,42.90%,15.20%,40.00%,25.00%,25.50%,22.00%,63.10%,44.20%,54.40%,48.20%,47.90%,44.80%
0040011,Avon School District,0040511,Thompson Brook School,ELA,Non-Special Education,479,435,425,421,399,395,59.50%,52.20%,55.80%,57.00%,46.60%,43.80%,77.60%,69.80%,73.40%,73.80%,63.50%,61.30%
